Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
13402,DataSet_191,human,ENSG00000089280,FUS,786-O,IFI6,Renal cell carcinoma,ENSG00000126709.16,679.2704,2.051,0.0084,up,Renal cell carcinoma,human,Gene
63084,DataSet_177,human,ENSG00000089280,FUS,786-O,IFI6,Renal cell carcinoma,ENSG00000126709.16,679.2704,2.051,0.0084,up,Renal cell carcinoma,human,Gene
63085,DataSet_177,human,ENSG00000089280,FUS,786-O,PAPPA2,Renal cell carcinoma,ENSG00000116183.11,789.3485,-1.8053,0.0039,down,Renal cell carcinoma,human,Gene
13403,DataSet_191,human,ENSG00000089280,FUS,786-O,PAPPA2,Renal cell carcinoma,ENSG00000116183.11,789.3485,-1.8053,0.0039,down,Renal cell carcinoma,human,Gene
13404,DataSet_191,human,ENSG00000089280,FUS,786-O,CDH17,Renal cell carcinoma,ENSG00000079112.10,90.0754,1.7402,0.0023,up,Renal cell carcinoma,human,Gene
63086,DataSet_177,human,ENSG00000089280,FUS,786-O,CDH17,Renal cell carcinoma,ENSG00000079112.10,90.0754,1.7402,0.0023,up,Renal cell carcinoma,human,Gene
63087,DataSet_177,human,ENSG00000089280,FUS,786-O,FUS,Renal cell carcinoma,ENSG00000089280.19,5009.5302,-1.6364,0.0,down,Renal cell carcinoma,human,Gene
13405,DataSet_191,human,ENSG00000089280,FUS,786-O,FUS,Renal cell carcinoma,ENSG00000089280.19,5009.5302,-1.6364,0.0,down,Renal cell carcinoma,human,Gene
13406,DataSet_191,human,ENSG00000089280,FUS,786-O,SHH,Renal cell carcinoma,ENSG00000164690.8,39.3356,-1.5888,0.0098,down,Renal cell carcinoma,human,Gene
63088,DataSet_177,human,ENSG00000089280,FUS,786-O,SHH,Renal cell carcinoma,ENSG00000164690.8,39.3356,-1.5888,0.0098,down,Renal cell carcinoma,human,Gene
63089,DataSet_177,human,ENSG00000089280,FUS,786-O,PDGFB,Renal cell carcinoma,ENSG00000100311.17,472.3844,-1.5535,0.0343,down,Renal cell carcinoma,human,Gene
13407,DataSet_191,human,ENSG00000089280,FUS,786-O,PDGFB,Renal cell carcinoma,ENSG00000100311.17,472.3844,-1.5535,0.0343,down,Renal cell carcinoma,human,Gene
13408,DataSet_191,human,ENSG00000089280,FUS,786-O,RSAD2,Renal cell carcinoma,ENSG00000134321.13,242.0905,1.4197,0.0002,up,Renal cell carcinoma,human,Gene
63090,DataSet_177,human,ENSG00000089280,FUS,786-O,RSAD2,Renal cell carcinoma,ENSG00000134321.13,242.0905,1.4197,0.0002,up,Renal cell carcinoma,human,Gene
63091,DataSet_177,human,ENSG00000089280,FUS,786-O,DDC,Renal cell carcinoma,ENSG00000132437.18,151.3864,1.4191,0.0001,up,Renal cell carcinoma,human,Gene
13409,DataSet_191,human,ENSG00000089280,FUS,786-O,DDC,Renal cell carcinoma,ENSG00000132437.18,151.3864,1.4191,0.0001,up,Renal cell carcinoma,human,Gene
13410,DataSet_191,human,ENSG00000089280,FUS,786-O,ADGRA2,Renal cell carcinoma,ENSG00000020181.18,32.8976,-1.414,0.0358,down,Renal cell carcinoma,human,Gene
63092,DataSet_177,human,ENSG00000089280,FUS,786-O,ADGRA2,Renal cell carcinoma,ENSG00000020181.18,32.8976,-1.414,0.0358,down,Renal cell carcinoma,human,Gene
63093,DataSet_177,human,ENSG00000089280,FUS,786-O,ENSG00000285608,Renal cell carcinoma,ENSG00000285608.1,76.5417,1.3893,0.0106,up,Renal cell carcinoma,human,Gene
13411,DataSet_191,human,ENSG00000089280,FUS,786-O,ENSG00000285608,Renal cell carcinoma,ENSG00000285608.1,76.5417,1.3893,0.0106,up,Renal cell carcinoma,human,Gene
13412,DataSet_191,human,ENSG00000089280,FUS,786-O,C1QTNF1,Renal cell carcinoma,ENSG00000173918.15,115.3719,-1.373,0.0061,down,Renal cell carcinoma,human,Gene
63094,DataSet_177,human,ENSG00000089280,FUS,786-O,C1QTNF1,Renal cell carcinoma,ENSG00000173918.15,115.3719,-1.373,0.0061,down,Renal cell carcinoma,human,Gene
