Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
20357,DataSet_317,human,ENSG00000164896,FASTK,H9,TMEM265,Sezary syndrome,ENSG00000281991.2,22.9376,8.1022,0.0003,up,Sezary syndrome,human,Gene
70896,DataSet_289,human,ENSG00000164896,FASTK,H9,TMEM265,Sezary syndrome,ENSG00000281991.2,22.9376,8.1022,0.0003,up,Sezary syndrome,human,Gene
70897,DataSet_289,human,ENSG00000164896,FASTK,H9,ENSG00000249624,Sezary syndrome,ENSG00000249624.10,14.1658,7.4103,0.0049,up,Sezary syndrome,human,Gene
20358,DataSet_317,human,ENSG00000164896,FASTK,H9,ENSG00000249624,Sezary syndrome,ENSG00000249624.10,14.1658,7.4103,0.0049,up,Sezary syndrome,human,Gene
20359,DataSet_317,human,ENSG00000164896,FASTK,H9,TIMM23B-AGAP6,Sezary syndrome,ENSG00000178440.8,12.2129,-6.921,0.0109,down,Sezary syndrome,human,Gene
70898,DataSet_289,human,ENSG00000164896,FASTK,H9,TIMM23B-AGAP6,Sezary syndrome,ENSG00000178440.8,12.2129,-6.921,0.0109,down,Sezary syndrome,human,Gene
70899,DataSet_289,human,ENSG00000164896,FASTK,H9,H3C15,Sezary syndrome,ENSG00000203852.4,16.1304,6.0865,0.0424,up,Sezary syndrome,human,Gene
20360,DataSet_317,human,ENSG00000164896,FASTK,H9,H3C15,Sezary syndrome,ENSG00000203852.4,16.1304,6.0865,0.0424,up,Sezary syndrome,human,Gene
20361,DataSet_317,human,ENSG00000164896,FASTK,H9,ENSG00000282278,Sezary syndrome,ENSG00000282278.1,14.9175,-5.7366,0.0349,down,Sezary syndrome,human,Gene
70900,DataSet_289,human,ENSG00000164896,FASTK,H9,ENSG00000282278,Sezary syndrome,ENSG00000282278.1,14.9175,-5.7366,0.0349,down,Sezary syndrome,human,Gene
70901,DataSet_289,human,ENSG00000164896,FASTK,H9,D21S2088E,Sezary syndrome,ENSG00000228592.2,31.7707,-5.2899,0.0003,down,Sezary syndrome,human,Gene
20362,DataSet_317,human,ENSG00000164896,FASTK,H9,D21S2088E,Sezary syndrome,ENSG00000228592.2,31.7707,-5.2899,0.0003,down,Sezary syndrome,human,Gene
20365,DataSet_317,human,ENSG00000164896,FASTK,H9,FOXD3-AS1,Sezary syndrome,ENSG00000230798.6,147.8607,-4.1746,0.0,down,Sezary syndrome,human,Gene
70904,DataSet_289,human,ENSG00000164896,FASTK,H9,FOXD3-AS1,Sezary syndrome,ENSG00000230798.6,147.8607,-4.1746,0.0,down,Sezary syndrome,human,Gene
70905,DataSet_289,human,ENSG00000164896,FASTK,H9,VGLL2,Sezary syndrome,ENSG00000170162.14,23.1462,-3.9877,0.0058,down,Sezary syndrome,human,Gene
20366,DataSet_317,human,ENSG00000164896,FASTK,H9,VGLL2,Sezary syndrome,ENSG00000170162.14,23.1462,-3.9877,0.0058,down,Sezary syndrome,human,Gene
20367,DataSet_317,human,ENSG00000164896,FASTK,H9,MAB21L4,Sezary syndrome,ENSG00000172478.18,49.2085,3.4656,0.0003,up,Sezary syndrome,human,Gene
70906,DataSet_289,human,ENSG00000164896,FASTK,H9,MAB21L4,Sezary syndrome,ENSG00000172478.18,49.2085,3.4656,0.0003,up,Sezary syndrome,human,Gene
70907,DataSet_289,human,ENSG00000164896,FASTK,H9,PALM3,Sezary syndrome,ENSG00000187867.10,169.8789,-3.4525,0.0,down,Sezary syndrome,human,Gene
20368,DataSet_317,human,ENSG00000164896,FASTK,H9,PALM3,Sezary syndrome,ENSG00000187867.10,169.8789,-3.4525,0.0,down,Sezary syndrome,human,Gene
20371,DataSet_317,human,ENSG00000164896,FASTK,H9,ANKRD1,Sezary syndrome,ENSG00000148677.7,130.9682,3.2021,0.0,up,Sezary syndrome,human,Gene
70910,DataSet_289,human,ENSG00000164896,FASTK,H9,ANKRD1,Sezary syndrome,ENSG00000148677.7,130.9682,3.2021,0.0,up,Sezary syndrome,human,Gene
70911,DataSet_289,human,ENSG00000164896,FASTK,H9,EGR1,Sezary syndrome,ENSG00000120738.8,110.3951,3.1588,0.0,up,Sezary syndrome,human,Gene
20372,DataSet_317,human,ENSG00000164896,FASTK,H9,EGR1,Sezary syndrome,ENSG00000120738.8,110.3951,3.1588,0.0,up,Sezary syndrome,human,Gene
20373,DataSet_317,human,ENSG00000164896,FASTK,H9,RYR1,Sezary syndrome,ENSG00000196218.14,103.269,-3.0911,0.0,down,Sezary syndrome,human,Gene
