Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
7769,DataSet_85,human,ENSG00000088038,CNOT3,CCRF-CEM,ENSG00000253945,T-cell acute lymphoblastic leukemia,ENSG00000253945.1,153.158,-11.0563,0.0,down,T-cell acute lymphoblastic leukemia,human,Gene
7770,DataSet_85,human,ENSG00000088038,CNOT3,CCRF-CEM,SYNC,T-cell acute lymphoblastic leukemia,ENSG00000162520.15,55.8224,8.8993,0.0,up,T-cell acute lymphoblastic leukemia,human,Gene
103296,DataSet_77,human,ENSG00000088038,CNOT3,CCRF-CEM,ENSG00000264558,T-cell acute lymphoblastic leukemia,ENSG00000264558.1,39.5667,8.7635,0.0,up,T-cell acute lymphoblastic leukemia,human,Gene
7393,DataSet_81,human,ENSG00000088038,CNOT3,CCRF-CEM,ENSG00000264558,T-cell acute lymphoblastic leukemia,ENSG00000264558.1,39.5667,8.7635,0.0,up,T-cell acute lymphoblastic leukemia,human,Gene
7569,DataSet_83,human,ENSG00000088038,CNOT3,CCRF-CEM,SYNC,T-cell acute lymphoblastic leukemia,ENSG00000162520.15,77.2822,8.6145,0.0002,up,T-cell acute lymphoblastic leukemia,human,Gene
71196,DataSet_79,human,ENSG00000088038,CNOT3,CCRF-CEM,SYNC,T-cell acute lymphoblastic leukemia,ENSG00000162520.15,77.2822,8.6145,0.0002,up,T-cell acute lymphoblastic leukemia,human,Gene
7869,DataSet_86,human,ENSG00000088038,CNOT3,CCRF-CEM,IKBKGP1,T-cell acute lymphoblastic leukemia,ENSG00000275882.1,22.995,7.8222,0.0,up,T-cell acute lymphoblastic leukemia,human,Gene
7772,DataSet_85,human,ENSG00000088038,CNOT3,CCRF-CEM,H4C11,T-cell acute lymphoblastic leukemia,ENSG00000197238.5,26.2575,7.8058,0.0,up,T-cell acute lymphoblastic leukemia,human,Gene
7773,DataSet_85,human,ENSG00000088038,CNOT3,CCRF-CEM,PPIAP29,T-cell acute lymphoblastic leukemia,ENSG00000214975.4,11.7887,6.6654,0.0,up,T-cell acute lymphoblastic leukemia,human,Gene
7570,DataSet_83,human,ENSG00000088038,CNOT3,CCRF-CEM,ENSG00000253945,T-cell acute lymphoblastic leukemia,ENSG00000253945.1,32.2372,-6.2759,0.0,down,T-cell acute lymphoblastic leukemia,human,Gene
