Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
31301,DataSet_471,human,ENSG00000134644,PUM1,TCam-2,ENSG00000285976,Testicular seminoma,ENSG00000285976.2,283.0856,4.9306,0.0006,up,Testicular seminoma,human,Gene
79878,DataSet_430,human,ENSG00000134644,PUM1,TCam-2,ENSG00000285976,Testicular seminoma,ENSG00000285976.2,283.0856,4.9306,0.0006,up,Testicular seminoma,human,Gene
79879,DataSet_430,human,ENSG00000134644,PUM1,TCam-2,ENSG00000258017,Testicular seminoma,ENSG00000258017.3,50.8673,-4.7896,0.0036,down,Testicular seminoma,human,Gene
31302,DataSet_471,human,ENSG00000134644,PUM1,TCam-2,ENSG00000258017,Testicular seminoma,ENSG00000258017.3,50.8673,-4.7896,0.0036,down,Testicular seminoma,human,Gene
31303,DataSet_471,human,ENSG00000134644,PUM1,TCam-2,PUM1,Testicular seminoma,ENSG00000134644.16,193.7213,-2.5499,0.0,down,Testicular seminoma,human,Gene
79880,DataSet_430,human,ENSG00000134644,PUM1,TCam-2,PUM1,Testicular seminoma,ENSG00000134644.16,193.7213,-2.5499,0.0,down,Testicular seminoma,human,Gene
79881,DataSet_430,human,ENSG00000134644,PUM1,TCam-2,OGFR,Testicular seminoma,ENSG00000060491.17,543.7738,2.1933,0.0,up,Testicular seminoma,human,Gene
31304,DataSet_471,human,ENSG00000134644,PUM1,TCam-2,OGFR,Testicular seminoma,ENSG00000060491.17,543.7738,2.1933,0.0,up,Testicular seminoma,human,Gene
31305,DataSet_471,human,ENSG00000134644,PUM1,TCam-2,CYP24A1,Testicular seminoma,ENSG00000019186.10,83.1493,2.0649,0.0,up,Testicular seminoma,human,Gene
79882,DataSet_430,human,ENSG00000134644,PUM1,TCam-2,CYP24A1,Testicular seminoma,ENSG00000019186.10,83.1493,2.0649,0.0,up,Testicular seminoma,human,Gene
79883,DataSet_430,human,ENSG00000134644,PUM1,TCam-2,OTOF,Testicular seminoma,ENSG00000115155.19,89.6384,1.7232,0.0,up,Testicular seminoma,human,Gene
31306,DataSet_471,human,ENSG00000134644,PUM1,TCam-2,OTOF,Testicular seminoma,ENSG00000115155.19,89.6384,1.7232,0.0,up,Testicular seminoma,human,Gene
31307,DataSet_471,human,ENSG00000134644,PUM1,TCam-2,ASCL2,Testicular seminoma,ENSG00000183734.5,47.6075,1.5889,0.0,up,Testicular seminoma,human,Gene
