Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
20992,DataSet_337,human,ENSG00000112531,QKI,CAL27,ENSG00000283321,Tongue adenosquamous carcinoma,ENSG00000283321.1,62.7544,9.325,0.0,up,Tongue adenosquamous carcinoma,human,Gene
78731,DataSet_309,human,ENSG00000112531,QKI,CAL27,ENSG00000283321,Tongue adenosquamous carcinoma,ENSG00000283321.1,62.7544,9.325,0.0,up,Tongue adenosquamous carcinoma,human,Gene
78732,DataSet_309,human,ENSG00000112531,QKI,CAL27,KRT1,Tongue adenosquamous carcinoma,ENSG00000167768.4,31.0704,8.3126,0.0,up,Tongue adenosquamous carcinoma,human,Gene
20993,DataSet_337,human,ENSG00000112531,QKI,CAL27,KRT1,Tongue adenosquamous carcinoma,ENSG00000167768.4,31.0704,8.3126,0.0,up,Tongue adenosquamous carcinoma,human,Gene
20994,DataSet_337,human,ENSG00000112531,QKI,CAL27,CGB8,Tongue adenosquamous carcinoma,ENSG00000213030.6,11.5408,-7.0774,0.0,down,Tongue adenosquamous carcinoma,human,Gene
78733,DataSet_309,human,ENSG00000112531,QKI,CAL27,CGB8,Tongue adenosquamous carcinoma,ENSG00000213030.6,11.5408,-7.0774,0.0,down,Tongue adenosquamous carcinoma,human,Gene
78734,DataSet_309,human,ENSG00000112531,QKI,CAL27,PRAL,Tongue adenosquamous carcinoma,ENSG00000279296.1,13.0306,7.0575,0.0,up,Tongue adenosquamous carcinoma,human,Gene
20995,DataSet_337,human,ENSG00000112531,QKI,CAL27,PRAL,Tongue adenosquamous carcinoma,ENSG00000279296.1,13.0306,7.0575,0.0,up,Tongue adenosquamous carcinoma,human,Gene
20996,DataSet_337,human,ENSG00000112531,QKI,CAL27,C8orf44-SGK3,Tongue adenosquamous carcinoma,ENSG00000288602.1,9.4651,-6.7902,0.0,down,Tongue adenosquamous carcinoma,human,Gene
78735,DataSet_309,human,ENSG00000112531,QKI,CAL27,C8orf44-SGK3,Tongue adenosquamous carcinoma,ENSG00000288602.1,9.4651,-6.7902,0.0,down,Tongue adenosquamous carcinoma,human,Gene
78736,DataSet_309,human,ENSG00000112531,QKI,CAL27,ENSG00000278996,Tongue adenosquamous carcinoma,ENSG00000278996.1,8.1931,-6.5785,0.0,down,Tongue adenosquamous carcinoma,human,Gene
20997,DataSet_337,human,ENSG00000112531,QKI,CAL27,ENSG00000278996,Tongue adenosquamous carcinoma,ENSG00000278996.1,8.1931,-6.5785,0.0,down,Tongue adenosquamous carcinoma,human,Gene
20998,DataSet_337,human,ENSG00000112531,QKI,CAL27,BBOX1,Tongue adenosquamous carcinoma,ENSG00000129151.9,31.9801,6.4798,0.0,up,Tongue adenosquamous carcinoma,human,Gene
78737,DataSet_309,human,ENSG00000112531,QKI,CAL27,BBOX1,Tongue adenosquamous carcinoma,ENSG00000129151.9,31.9801,6.4798,0.0,up,Tongue adenosquamous carcinoma,human,Gene
78738,DataSet_309,human,ENSG00000112531,QKI,CAL27,ENSG00000249967,Tongue adenosquamous carcinoma,ENSG00000249967.1,8.4692,6.4335,0.0,up,Tongue adenosquamous carcinoma,human,Gene
20999,DataSet_337,human,ENSG00000112531,QKI,CAL27,ENSG00000249967,Tongue adenosquamous carcinoma,ENSG00000249967.1,8.4692,6.4335,0.0,up,Tongue adenosquamous carcinoma,human,Gene
21000,DataSet_337,human,ENSG00000112531,QKI,CAL27,KRT4,Tongue adenosquamous carcinoma,ENSG00000170477.13,39.6141,6.2025,0.0,up,Tongue adenosquamous carcinoma,human,Gene
78739,DataSet_309,human,ENSG00000112531,QKI,CAL27,KRT4,Tongue adenosquamous carcinoma,ENSG00000170477.13,39.6141,6.2025,0.0,up,Tongue adenosquamous carcinoma,human,Gene
78740,DataSet_309,human,ENSG00000112531,QKI,CAL27,CDH23,Tongue adenosquamous carcinoma,ENSG00000107736.22,22.278,5.95,0.0,up,Tongue adenosquamous carcinoma,human,Gene
21001,DataSet_337,human,ENSG00000112531,QKI,CAL27,CDH23,Tongue adenosquamous carcinoma,ENSG00000107736.22,22.278,5.95,0.0,up,Tongue adenosquamous carcinoma,human,Gene
21002,DataSet_337,human,ENSG00000112531,QKI,CAL27,AS3MT,Tongue adenosquamous carcinoma,ENSG00000214435.9,5.6805,5.8621,0.0002,up,Tongue adenosquamous carcinoma,human,Gene
78741,DataSet_309,human,ENSG00000112531,QKI,CAL27,AS3MT,Tongue adenosquamous carcinoma,ENSG00000214435.9,5.6805,5.8621,0.0002,up,Tongue adenosquamous carcinoma,human,Gene
78742,DataSet_309,human,ENSG00000112531,QKI,CAL27,PGLYRP4,Tongue adenosquamous carcinoma,ENSG00000163218.15,114.4031,5.8567,0.0,up,Tongue adenosquamous carcinoma,human,Gene
21003,DataSet_337,human,ENSG00000112531,QKI,CAL27,PGLYRP4,Tongue adenosquamous carcinoma,ENSG00000163218.15,114.4031,5.8567,0.0,up,Tongue adenosquamous carcinoma,human,Gene
21004,DataSet_337,human,ENSG00000112531,QKI,CAL27,ENSG00000286239,Tongue adenosquamous carcinoma,ENSG00000286239.1,5.5857,5.8355,0.0003,up,Tongue adenosquamous carcinoma,human,Gene
78743,DataSet_309,human,ENSG00000112531,QKI,CAL27,ENSG00000286239,Tongue adenosquamous carcinoma,ENSG00000286239.1,5.5857,5.8355,0.0003,up,Tongue adenosquamous carcinoma,human,Gene
78744,DataSet_309,human,ENSG00000112531,QKI,CAL27,NUPR1,Tongue adenosquamous carcinoma,ENSG00000176046.9,81.9798,5.8265,0.0,up,Tongue adenosquamous carcinoma,human,Gene
21005,DataSet_337,human,ENSG00000112531,QKI,CAL27,NUPR1,Tongue adenosquamous carcinoma,ENSG00000176046.9,81.9798,5.8265,0.0,up,Tongue adenosquamous carcinoma,human,Gene
21006,DataSet_337,human,ENSG00000112531,QKI,CAL27,S100A7A,Tongue adenosquamous carcinoma,ENSG00000184330.12,751.7478,5.8174,0.0,up,Tongue adenosquamous carcinoma,human,Gene
78745,DataSet_309,human,ENSG00000112531,QKI,CAL27,S100A7A,Tongue adenosquamous carcinoma,ENSG00000184330.12,751.7478,5.8174,0.0,up,Tongue adenosquamous carcinoma,human,Gene
78746,DataSet_309,human,ENSG00000112531,QKI,CAL27,LTF,Tongue adenosquamous carcinoma,ENSG00000012223.13,20.0291,5.7992,0.0,up,Tongue adenosquamous carcinoma,human,Gene
21007,DataSet_337,human,ENSG00000112531,QKI,CAL27,LTF,Tongue adenosquamous carcinoma,ENSG00000012223.13,20.0291,5.7992,0.0,up,Tongue adenosquamous carcinoma,human,Gene
21008,DataSet_337,human,ENSG00000112531,QKI,CAL27,ARMCX5-GPRASP2,Tongue adenosquamous carcinoma,ENSG00000286237.1,5.4347,5.7958,0.0003,up,Tongue adenosquamous carcinoma,human,Gene
78747,DataSet_309,human,ENSG00000112531,QKI,CAL27,ARMCX5-GPRASP2,Tongue adenosquamous carcinoma,ENSG00000286237.1,5.4347,5.7958,0.0003,up,Tongue adenosquamous carcinoma,human,Gene
78748,DataSet_309,human,ENSG00000112531,QKI,CAL27,AZGP1,Tongue adenosquamous carcinoma,ENSG00000160862.13,126.5903,5.7525,0.0,up,Tongue adenosquamous carcinoma,human,Gene
21009,DataSet_337,human,ENSG00000112531,QKI,CAL27,AZGP1,Tongue adenosquamous carcinoma,ENSG00000160862.13,126.5903,5.7525,0.0,up,Tongue adenosquamous carcinoma,human,Gene
21010,DataSet_337,human,ENSG00000112531,QKI,CAL27,PGLYRP3,Tongue adenosquamous carcinoma,ENSG00000159527.4,54.0188,5.6404,0.0,up,Tongue adenosquamous carcinoma,human,Gene
78749,DataSet_309,human,ENSG00000112531,QKI,CAL27,PGLYRP3,Tongue adenosquamous carcinoma,ENSG00000159527.4,54.0188,5.6404,0.0,up,Tongue adenosquamous carcinoma,human,Gene
78750,DataSet_309,human,ENSG00000112531,QKI,CAL27,ENSG00000254632,Tongue adenosquamous carcinoma,ENSG00000254632.2,4.8083,5.6193,0.0004,up,Tongue adenosquamous carcinoma,human,Gene
21011,DataSet_337,human,ENSG00000112531,QKI,CAL27,ENSG00000254632,Tongue adenosquamous carcinoma,ENSG00000254632.2,4.8083,5.6193,0.0004,up,Tongue adenosquamous carcinoma,human,Gene
21012,DataSet_337,human,ENSG00000112531,QKI,CAL27,S100A7,Tongue adenosquamous carcinoma,ENSG00000143556.9,4616.3467,5.4641,0.0,up,Tongue adenosquamous carcinoma,human,Gene
78751,DataSet_309,human,ENSG00000112531,QKI,CAL27,S100A7,Tongue adenosquamous carcinoma,ENSG00000143556.9,4616.3467,5.4641,0.0,up,Tongue adenosquamous carcinoma,human,Gene
78752,DataSet_309,human,ENSG00000112531,QKI,CAL27,PLA2G4E,Tongue adenosquamous carcinoma,ENSG00000188089.13,47.4158,5.4502,0.0,up,Tongue adenosquamous carcinoma,human,Gene
21013,DataSet_337,human,ENSG00000112531,QKI,CAL27,PLA2G4E,Tongue adenosquamous carcinoma,ENSG00000188089.13,47.4158,5.4502,0.0,up,Tongue adenosquamous carcinoma,human,Gene
21014,DataSet_337,human,ENSG00000112531,QKI,CAL27,CP,Tongue adenosquamous carcinoma,ENSG00000047457.14,39.0958,5.4274,0.0,up,Tongue adenosquamous carcinoma,human,Gene
78753,DataSet_309,human,ENSG00000112531,QKI,CAL27,CP,Tongue adenosquamous carcinoma,ENSG00000047457.14,39.0958,5.4274,0.0,up,Tongue adenosquamous carcinoma,human,Gene
78754,DataSet_309,human,ENSG00000112531,QKI,CAL27,ENSG00000242317,Tongue adenosquamous carcinoma,ENSG00000242317.1,4.0136,5.3597,0.0014,up,Tongue adenosquamous carcinoma,human,Gene
21015,DataSet_337,human,ENSG00000112531,QKI,CAL27,ENSG00000242317,Tongue adenosquamous carcinoma,ENSG00000242317.1,4.0136,5.3597,0.0014,up,Tongue adenosquamous carcinoma,human,Gene
