Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,baseMean,log2FC,padj,Change,_disease,_species,_type
1,DataSet_37,human,ADAR,AGS,hsa-miR-30d-5p,Gastric adenocarcinoma,3478.0,-12.7642496053672,0.0,Down,Gastric adenocarcinoma,human,miRNA
2,DataSet_37,human,ADAR,AGS,hsa-miR-200b-5p,Gastric adenocarcinoma,3054.5,-12.5769566647061,0.0,Down,Gastric adenocarcinoma,human,miRNA
3,DataSet_37,human,ADAR,AGS,hsa-miR-181a-5p,Gastric adenocarcinoma,1145.5,-11.1623913287569,0.0,Down,Gastric adenocarcinoma,human,miRNA
4,DataSet_37,human,ADAR,AGS,hsa-miR-423-5p,Gastric adenocarcinoma,1064.5,-11.0566377151132,0.0,Down,Gastric adenocarcinoma,human,miRNA
5,DataSet_37,human,ADAR,AGS,hsa-let-7b-5p,Gastric adenocarcinoma,934.5,10.868822554775,0.0,Up,Gastric adenocarcinoma,human,miRNA
6,DataSet_37,human,ADAR,AGS,hsa-miR-192-5p,Gastric adenocarcinoma,845.0,-10.72366094441,0.0,Down,Gastric adenocarcinoma,human,miRNA
7,DataSet_37,human,ADAR,AGS,hsa-miR-27a-3p,Gastric adenocarcinoma,550.5,10.1059085085712,0.0,Up,Gastric adenocarcinoma,human,miRNA
8,DataSet_37,human,ADAR,AGS,hsa-miR-27a-5p,Gastric adenocarcinoma,550.5,10.1059085085712,0.0,Up,Gastric adenocarcinoma,human,miRNA
9,DataSet_37,human,ADAR,AGS,hsa-let-7c-5p,Gastric adenocarcinoma,534.0,10.0620461377205,0.0,Up,Gastric adenocarcinoma,human,miRNA
10,DataSet_37,human,ADAR,AGS,hsa-miR-425-5p,Gastric adenocarcinoma,531.5,-10.0552824355012,0.0,Down,Gastric adenocarcinoma,human,miRNA
11,DataSet_37,human,ADAR,AGS,hsa-miR-374b-5p,Gastric adenocarcinoma,454.0,-9.82813648419411,0.0,Down,Gastric adenocarcinoma,human,miRNA
12,DataSet_37,human,ADAR,AGS,hsa-miR-302b-3p,Gastric adenocarcinoma,452.0,-9.82177398197057,0.0,Down,Gastric adenocarcinoma,human,miRNA
13,DataSet_37,human,ADAR,AGS,hsa-miR-302b-5p,Gastric adenocarcinoma,452.0,-9.82177398197057,0.0,Down,Gastric adenocarcinoma,human,miRNA
14,DataSet_37,human,ADAR,AGS,hsa-miR-532-5p,Gastric adenocarcinoma,355.0,9.47370574961942,0.0,Up,Gastric adenocarcinoma,human,miRNA
15,DataSet_37,human,ADAR,AGS,hsa-miR-362-5p,Gastric adenocarcinoma,326.0,-9.35093918154643,0.0,Down,Gastric adenocarcinoma,human,miRNA
16,DataSet_37,human,ADAR,AGS,hsa-miR-19b-1-5p,Gastric adenocarcinoma,313.5,-9.29462074889163,0.0,Down,Gastric adenocarcinoma,human,miRNA
17,DataSet_37,human,ADAR,AGS,hsa-miR-29c-5p,Gastric adenocarcinoma,217.0,8.76487159073609,0.0,Up,Gastric adenocarcinoma,human,miRNA
18,DataSet_37,human,ADAR,AGS,hsa-miR-302a-5p,Gastric adenocarcinoma,189.0,8.56605403817109,0.0,Up,Gastric adenocarcinoma,human,miRNA
19,DataSet_37,human,ADAR,AGS,hsa-miR-501-5p,Gastric adenocarcinoma,120.5,7.91886323727459,0.0,Up,Gastric adenocarcinoma,human,miRNA
20,DataSet_37,human,ADAR,AGS,hsa-miR-141-5p,Gastric adenocarcinoma,94.5,-7.56985560833095,0.0,Down,Gastric adenocarcinoma,human,miRNA
