Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
1,DataSet_58,human,ENSG00000091542,ALKBH5,THP-1,INHBE,Childhood acute monocytic leukemia,ENSG00000139269.3,0.5276,6.013,0.0003,up,Childhood acute monocytic leukemia,human,Translation
2,DataSet_58,human,ENSG00000091542,ALKBH5,THP-1,LOC100128770,Childhood acute monocytic leukemia,ENSG00000205890.3,11.2988,5.826,0.0062,up,Childhood acute monocytic leukemia,human,Translation
3,DataSet_58,human,ENSG00000091542,ALKBH5,THP-1,ENSG00000285040,Childhood acute monocytic leukemia,ENSG00000285040.2,22.5976,5.6628,0.0003,up,Childhood acute monocytic leukemia,human,Translation
4,DataSet_58,human,ENSG00000091542,ALKBH5,THP-1,ENSG00000235586,Childhood acute monocytic leukemia,ENSG00000235586.1,10.164,5.5544,0.0099,up,Childhood acute monocytic leukemia,human,Translation
5,DataSet_58,human,ENSG00000091542,ALKBH5,THP-1,ENSG00000286307,Childhood acute monocytic leukemia,ENSG00000286307.1,0.3441,-5.4915,0.0035,down,Childhood acute monocytic leukemia,human,Translation
6,DataSet_58,human,ENSG00000091542,ALKBH5,THP-1,LOC124905143,Childhood acute monocytic leukemia,ENSG00000285722.2,2.1709,5.2281,0.0001,up,Childhood acute monocytic leukemia,human,Translation
7,DataSet_58,human,ENSG00000091542,ALKBH5,THP-1,ENSG00000228150,Childhood acute monocytic leukemia,ENSG00000228150.2,0.2608,-4.7963,0.0139,down,Childhood acute monocytic leukemia,human,Translation
8,DataSet_58,human,ENSG00000091542,ALKBH5,THP-1,ENSG00000260156,Childhood acute monocytic leukemia,ENSG00000260156.2,0.1032,-4.7343,0.0085,down,Childhood acute monocytic leukemia,human,Translation
9,DataSet_58,human,ENSG00000091542,ALKBH5,THP-1,ENSG00000287586,Childhood acute monocytic leukemia,ENSG00000287586.1,2.101,4.7325,0.0043,up,Childhood acute monocytic leukemia,human,Translation
10,DataSet_58,human,ENSG00000091542,ALKBH5,THP-1,SBSN,Childhood acute monocytic leukemia,ENSG00000189001.11,5.3193,-4.6837,0.0002,down,Childhood acute monocytic leukemia,human,Translation
11,DataSet_58,human,ENSG00000091542,ALKBH5,THP-1,TMEM71,Childhood acute monocytic leukemia,ENSG00000165071.15,4.5162,4.6519,0.0006,up,Childhood acute monocytic leukemia,human,Translation
12,DataSet_58,human,ENSG00000091542,ALKBH5,THP-1,LOC400627,Childhood acute monocytic leukemia,ENSG00000261924.2,0.1421,-4.5607,0.0067,down,Childhood acute monocytic leukemia,human,Translation
13,DataSet_58,human,ENSG00000091542,ALKBH5,THP-1,ST6GALNAC3,Childhood acute monocytic leukemia,ENSG00000184005.12,0.4511,4.541,0.0002,up,Childhood acute monocytic leukemia,human,Translation
14,DataSet_58,human,ENSG00000091542,ALKBH5,THP-1,ODAD4,Childhood acute monocytic leukemia,ENSG00000204815.10,0.9249,4.5321,0.0033,up,Childhood acute monocytic leukemia,human,Translation
15,DataSet_58,human,ENSG00000091542,ALKBH5,THP-1,ADAMTS13,Childhood acute monocytic leukemia,ENSG00000160323.19,0.1437,4.5111,0.0112,up,Childhood acute monocytic leukemia,human,Translation
16,DataSet_58,human,ENSG00000091542,ALKBH5,THP-1,SUPT16HP1,Childhood acute monocytic leukemia,ENSG00000256238.1,12.2546,4.5003,0.0002,up,Childhood acute monocytic leukemia,human,Translation
17,DataSet_58,human,ENSG00000091542,ALKBH5,THP-1,STEAP1B-AS1,Childhood acute monocytic leukemia,ENSG00000232759.2,0.2313,-4.4843,0.0177,down,Childhood acute monocytic leukemia,human,Translation
18,DataSet_58,human,ENSG00000091542,ALKBH5,THP-1,ENSG00000237637,Childhood acute monocytic leukemia,ENSG00000237637.2,0.3407,4.4637,0.0148,up,Childhood acute monocytic leukemia,human,Translation
19,DataSet_58,human,ENSG00000091542,ALKBH5,THP-1,KRT15,Childhood acute monocytic leukemia,ENSG00000171346.16,0.3147,-4.4238,0.0286,down,Childhood acute monocytic leukemia,human,Translation
20,DataSet_58,human,ENSG00000091542,ALKBH5,THP-1,LOC105373780,Childhood acute monocytic leukemia,ENSG00000283839.4,0.2573,4.3905,0.0003,up,Childhood acute monocytic leukemia,human,Translation
21,DataSet_58,human,ENSG00000091542,ALKBH5,THP-1,CNKSR1,Childhood acute monocytic leukemia,ENSG00000142675.18,0.0112,-4.3815,0.0063,down,Childhood acute monocytic leukemia,human,Translation
22,DataSet_58,human,ENSG00000091542,ALKBH5,THP-1,CLEC2L,Childhood acute monocytic leukemia,ENSG00000236279.7,24.8746,4.3772,0.0026,up,Childhood acute monocytic leukemia,human,Translation
23,DataSet_58,human,ENSG00000091542,ALKBH5,THP-1,SLC26A11,Childhood acute monocytic leukemia,ENSG00000181045.16,0.0127,-4.3515,0.0018,down,Childhood acute monocytic leukemia,human,Translation
24,DataSet_58,human,ENSG00000091542,ALKBH5,THP-1,UPP2,Childhood acute monocytic leukemia,ENSG00000007001.14,4.8978,4.3164,0.0183,up,Childhood acute monocytic leukemia,human,Translation
25,DataSet_58,human,ENSG00000091542,ALKBH5,THP-1,SLC6A9,Childhood acute monocytic leukemia,ENSG00000196517.13,0.3432,4.3075,0.0012,up,Childhood acute monocytic leukemia,human,Translation
26,DataSet_58,human,ENSG00000091542,ALKBH5,THP-1,RPS18P13,Childhood acute monocytic leukemia,ENSG00000243455.3,10.5451,4.2829,0.0059,up,Childhood acute monocytic leukemia,human,Translation
27,DataSet_58,human,ENSG00000091542,ALKBH5,THP-1,GPC2,Childhood acute monocytic leukemia,ENSG00000213420.8,0.1308,4.2327,0.0106,up,Childhood acute monocytic leukemia,human,Translation
28,DataSet_58,human,ENSG00000091542,ALKBH5,THP-1,LINC00595,Childhood acute monocytic leukemia,ENSG00000230417.13,0.7398,-4.2273,0.0003,down,Childhood acute monocytic leukemia,human,Translation
30,DataSet_58,human,ENSG00000091542,ALKBH5,THP-1,DIP2C,Childhood acute monocytic leukemia,ENSG00000151240.18,0.5755,-4.217,0.0003,down,Childhood acute monocytic leukemia,human,Translation
31,DataSet_58,human,ENSG00000091542,ALKBH5,THP-1,TAF12-DT,Childhood acute monocytic leukemia,ENSG00000229388.2,0.2592,-4.1233,0.0376,down,Childhood acute monocytic leukemia,human,Translation
32,DataSet_58,human,ENSG00000091542,ALKBH5,THP-1,PPP1R14B-AS1,Childhood acute monocytic leukemia,ENSG00000256940.5,0.1023,-4.1129,0.0233,down,Childhood acute monocytic leukemia,human,Translation
33,DataSet_58,human,ENSG00000091542,ALKBH5,THP-1,EGLN3,Childhood acute monocytic leukemia,ENSG00000129521.15,0.2188,-4.0958,0.014,down,Childhood acute monocytic leukemia,human,Translation
34,DataSet_58,human,ENSG00000091542,ALKBH5,THP-1,GOLGA7B,Childhood acute monocytic leukemia,ENSG00000155265.12,0.1242,-4.0919,0.0116,down,Childhood acute monocytic leukemia,human,Translation
35,DataSet_58,human,ENSG00000091542,ALKBH5,THP-1,ENSG00000307107,Childhood acute monocytic leukemia,ENSG00000307107.1,3.7355,4.0763,0.0169,up,Childhood acute monocytic leukemia,human,Translation
36,DataSet_58,human,ENSG00000091542,ALKBH5,THP-1,ENSG00000308747,Childhood acute monocytic leukemia,ENSG00000308747.1,0.0927,-4.0621,0.0265,down,Childhood acute monocytic leukemia,human,Translation
37,DataSet_58,human,ENSG00000091542,ALKBH5,THP-1,GFPT2,Childhood acute monocytic leukemia,ENSG00000131459.13,0.0209,-4.0569,0.033,down,Childhood acute monocytic leukemia,human,Translation
38,DataSet_58,human,ENSG00000091542,ALKBH5,THP-1,CXCL5,Childhood acute monocytic leukemia,ENSG00000163735.7,0.38,-4.0542,0.0027,down,Childhood acute monocytic leukemia,human,Translation
39,DataSet_58,human,ENSG00000091542,ALKBH5,THP-1,RRH,Childhood acute monocytic leukemia,ENSG00000180245.7,0.1464,-4.0466,0.0005,down,Childhood acute monocytic leukemia,human,Translation
40,DataSet_58,human,ENSG00000091542,ALKBH5,THP-1,FLVCR1-DT,Childhood acute monocytic leukemia,ENSG00000198468.12,0.0477,-4.0428,0.0406,down,Childhood acute monocytic leukemia,human,Translation
