Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
418,DataSet_320,human,ENSG00000173812,EIF1,HCT116,ALKBH6,Colon adenocarcinoma,ENSG00000239382.11,-,6.775,0.0,up,Colon adenocarcinoma,human,Translation
419,DataSet_320,human,ENSG00000173812,EIF1,HCT116,SPSB4,Colon adenocarcinoma,ENSG00000175093.5,-,5.914,0.0,up,Colon adenocarcinoma,human,Translation
420,DataSet_320,human,ENSG00000173812,EIF1,HCT116,ENSG00000273524,Colon adenocarcinoma,ENSG00000273524.1,-,5.568,0.0,up,Colon adenocarcinoma,human,Translation
421,DataSet_320,human,ENSG00000173812,EIF1,HCT116,ENSG00000269867,Colon adenocarcinoma,ENSG00000269867.1,-,5.296,0.0,up,Colon adenocarcinoma,human,Translation
422,DataSet_320,human,ENSG00000173812,EIF1,HCT116,ENSG00000287335,Colon adenocarcinoma,ENSG00000287335.3,-,5.1652,0.0008,up,Colon adenocarcinoma,human,Translation
423,DataSet_320,human,ENSG00000173812,EIF1,HCT116,RN7SL210P,Colon adenocarcinoma,ENSG00000275961.1,-,4.8004,0.0,up,Colon adenocarcinoma,human,Translation
424,DataSet_320,human,ENSG00000173812,EIF1,HCT116,GFAP,Colon adenocarcinoma,ENSG00000131095.14,-,4.7042,0.0008,up,Colon adenocarcinoma,human,Translation
425,DataSet_320,human,ENSG00000173812,EIF1,HCT116,ENSG00000260271,Colon adenocarcinoma,ENSG00000260271.5,-,4.5356,0.0001,up,Colon adenocarcinoma,human,Translation
426,DataSet_320,human,ENSG00000173812,EIF1,HCT116,LINC00624,Colon adenocarcinoma,ENSG00000278811.5,-,-4.3251,0.0036,down,Colon adenocarcinoma,human,Translation
427,DataSet_320,human,ENSG00000173812,EIF1,HCT116,ENSG00000219487,Colon adenocarcinoma,ENSG00000219487.2,-,-4.3239,0.0053,down,Colon adenocarcinoma,human,Translation
918,DataSet_425,human,ENSG00000173812,EIF1,HCT116,ENSG00000225746,Colon adenocarcinoma,ENSG00000225746.15,-,4.313,0.0,up,Colon adenocarcinoma,human,Translation
428,DataSet_320,human,ENSG00000173812,EIF1,HCT116,NDUFA7,Colon adenocarcinoma,ENSG00000267855.6,-,4.2534,0.0,up,Colon adenocarcinoma,human,Translation
429,DataSet_320,human,ENSG00000173812,EIF1,HCT116,ENSG00000251661,Colon adenocarcinoma,ENSG00000251661.4,-,-4.0817,0.0407,down,Colon adenocarcinoma,human,Translation
430,DataSet_320,human,ENSG00000173812,EIF1,HCT116,LINC00639,Colon adenocarcinoma,ENSG00000259070.10,-,4.0645,0.0032,up,Colon adenocarcinoma,human,Translation
431,DataSet_320,human,ENSG00000173812,EIF1,HCT116,ENSG00000288875,Colon adenocarcinoma,ENSG00000288875.3,-,3.9755,0.0005,up,Colon adenocarcinoma,human,Translation
432,DataSet_320,human,ENSG00000173812,EIF1,HCT116,RN7SL709P,Colon adenocarcinoma,ENSG00000241032.3,-,3.8678,0.0002,up,Colon adenocarcinoma,human,Translation
434,DataSet_320,human,ENSG00000173812,EIF1,HCT116,EN2,Colon adenocarcinoma,ENSG00000164778.4,-,3.8151,0.0064,up,Colon adenocarcinoma,human,Translation
435,DataSet_320,human,ENSG00000173812,EIF1,HCT116,SH2D4B,Colon adenocarcinoma,ENSG00000178217.15,-,3.7763,0.0037,up,Colon adenocarcinoma,human,Translation
436,DataSet_320,human,ENSG00000173812,EIF1,HCT116,ENSG00000305681,Colon adenocarcinoma,ENSG00000305681.1,-,3.7431,0.0021,up,Colon adenocarcinoma,human,Translation
437,DataSet_320,human,ENSG00000173812,EIF1,HCT116,KRTDAP,Colon adenocarcinoma,ENSG00000188508.11,-,3.7381,0.0005,up,Colon adenocarcinoma,human,Translation
919,DataSet_425,human,ENSG00000173812,EIF1,HCT116,ENSG00000297626,Colon adenocarcinoma,ENSG00000297626.1,-,3.7291,0.0124,up,Colon adenocarcinoma,human,Translation
438,DataSet_320,human,ENSG00000173812,EIF1,HCT116,FIGN,Colon adenocarcinoma,ENSG00000182263.14,-,3.6891,0.0024,up,Colon adenocarcinoma,human,Translation
439,DataSet_320,human,ENSG00000173812,EIF1,HCT116,PLXDC2,Colon adenocarcinoma,ENSG00000120594.17,-,3.6826,0.0193,up,Colon adenocarcinoma,human,Translation
440,DataSet_320,human,ENSG00000173812,EIF1,HCT116,OBSCN-AS1,Colon adenocarcinoma,ENSG00000162913.10,-,3.6809,0.0022,up,Colon adenocarcinoma,human,Translation
441,DataSet_320,human,ENSG00000173812,EIF1,HCT116,ENSG00000280011,Colon adenocarcinoma,ENSG00000280011.1,-,3.666,0.0174,up,Colon adenocarcinoma,human,Translation
442,DataSet_320,human,ENSG00000173812,EIF1,HCT116,ENSG00000217268,Colon adenocarcinoma,ENSG00000217268.1,-,3.6549,0.0218,up,Colon adenocarcinoma,human,Translation
444,DataSet_320,human,ENSG00000173812,EIF1,HCT116,ENSG00000258365,Colon adenocarcinoma,ENSG00000258365.1,-,3.6075,0.0008,up,Colon adenocarcinoma,human,Translation
