Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
1218,DataSet_636,human,ENSG00000138382,METTL5,HepG2,LINC02180,Hepatocellular carcinoma,ENSG00000261749.4,191.3257,11.4798,0.0003,up,Hepatocellular carcinoma,human,Translation
1219,DataSet_636,human,ENSG00000138382,METTL5,HepG2,ENSG00000304874,Hepatocellular carcinoma,ENSG00000304874.1,0.3783,-7.076,0.0125,down,Hepatocellular carcinoma,human,Translation
1220,DataSet_636,human,ENSG00000138382,METTL5,HepG2,ANKRD6,Hepatocellular carcinoma,ENSG00000135299.18,0.2348,-6.7552,0.0125,down,Hepatocellular carcinoma,human,Translation
1221,DataSet_636,human,ENSG00000138382,METTL5,HepG2,GNG2,Hepatocellular carcinoma,ENSG00000186469.9,33.4982,5.8765,0.015,up,Hepatocellular carcinoma,human,Translation
1222,DataSet_636,human,ENSG00000138382,METTL5,HepG2,ENSG00000300151,Hepatocellular carcinoma,ENSG00000300151.1,1.0746,-5.3947,0.0327,down,Hepatocellular carcinoma,human,Translation
1223,DataSet_636,human,ENSG00000138382,METTL5,HepG2,TROAP-AS1,Hepatocellular carcinoma,ENSG00000258334.2,0.3438,-5.1211,0.0114,down,Hepatocellular carcinoma,human,Translation
1224,DataSet_636,human,ENSG00000138382,METTL5,HepG2,APLF,Hepatocellular carcinoma,ENSG00000169621.11,0.7747,-4.9886,0.0314,down,Hepatocellular carcinoma,human,Translation
1227,DataSet_636,human,ENSG00000138382,METTL5,HepG2,DSC2,Hepatocellular carcinoma,ENSG00000134755.19,0.9013,4.646,0.0472,up,Hepatocellular carcinoma,human,Translation
1228,DataSet_636,human,ENSG00000138382,METTL5,HepG2,TMEM132D,Hepatocellular carcinoma,ENSG00000151952.16,5.7021,4.4573,0.023,up,Hepatocellular carcinoma,human,Translation
1230,DataSet_636,human,ENSG00000138382,METTL5,HepG2,COX6B2,Hepatocellular carcinoma,ENSG00000160471.13,9.6922,4.2425,0.0499,up,Hepatocellular carcinoma,human,Translation
1232,DataSet_636,human,ENSG00000138382,METTL5,HepG2,GPC6,Hepatocellular carcinoma,ENSG00000183098.12,0.7254,4.0255,0.0438,up,Hepatocellular carcinoma,human,Translation
1235,DataSet_636,human,ENSG00000138382,METTL5,HepG2,TRPC4,Hepatocellular carcinoma,ENSG00000133107.15,0.0412,-3.7913,0.041,down,Hepatocellular carcinoma,human,Translation
1238,DataSet_636,human,ENSG00000138382,METTL5,HepG2,RUFY4,Hepatocellular carcinoma,ENSG00000188282.13,0.5571,-3.6097,0.041,down,Hepatocellular carcinoma,human,Translation
1241,DataSet_636,human,ENSG00000138382,METTL5,HepG2,HRK,Hepatocellular carcinoma,ENSG00000135116.9,1.7771,3.4279,0.0118,up,Hepatocellular carcinoma,human,Translation
1244,DataSet_636,human,ENSG00000138382,METTL5,HepG2,ENSG00000262074,Hepatocellular carcinoma,ENSG00000262074.7,0.2321,-3.1269,0.0249,down,Hepatocellular carcinoma,human,Translation
1245,DataSet_636,human,ENSG00000138382,METTL5,HepG2,KCNIP3,Hepatocellular carcinoma,ENSG00000115041.14,0.5064,-3.1234,0.0083,down,Hepatocellular carcinoma,human,Translation
1247,DataSet_636,human,ENSG00000138382,METTL5,HepG2,PNMA8C,Hepatocellular carcinoma,ENSG00000277531.3,0.6308,-3.0249,0.0002,down,Hepatocellular carcinoma,human,Translation
1249,DataSet_636,human,ENSG00000138382,METTL5,HepG2,NLRP2B,Hepatocellular carcinoma,ENSG00000215174.2,0.0428,-3.0055,0.0093,down,Hepatocellular carcinoma,human,Translation
1250,DataSet_636,human,ENSG00000138382,METTL5,HepG2,GBP5,Hepatocellular carcinoma,ENSG00000154451.15,0.3975,-3.0004,0.0157,down,Hepatocellular carcinoma,human,Translation
1251,DataSet_636,human,ENSG00000138382,METTL5,HepG2,SNORA38B,Hepatocellular carcinoma,ENSG00000200394.1,1.1942,2.8451,0.041,up,Hepatocellular carcinoma,human,Translation
1254,DataSet_636,human,ENSG00000138382,METTL5,HepG2,SNTG1,Hepatocellular carcinoma,ENSG00000147481.17,0.3617,-2.7301,0.0309,down,Hepatocellular carcinoma,human,Translation
1255,DataSet_636,human,ENSG00000138382,METTL5,HepG2,SLCO4A1-AS1,Hepatocellular carcinoma,ENSG00000232803.1,0.3617,-2.6912,0.0038,down,Hepatocellular carcinoma,human,Translation
1257,DataSet_636,human,ENSG00000138382,METTL5,HepG2,FGF8,Hepatocellular carcinoma,ENSG00000107831.14,23.2448,2.6231,0.009,up,Hepatocellular carcinoma,human,Translation
