Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
1118,DataSet_484,human,ENSG00000135930,EIF4E2,A549,FMO8P,Lung adenocarcinoma,ENSG00000238087.3,0.0964,-7.3317,0.0336,down,Lung adenocarcinoma,human,Translation
1120,DataSet_484,human,ENSG00000135930,EIF4E2,A549,ENSG00000286347,Lung adenocarcinoma,ENSG00000286347.1,0.3319,-6.1173,0.0019,down,Lung adenocarcinoma,human,Translation
1121,DataSet_484,human,ENSG00000135930,EIF4E2,A549,LOC100133920,Lung adenocarcinoma,ENSG00000290941.2,0.237,-5.9527,0.0351,down,Lung adenocarcinoma,human,Translation
1122,DataSet_484,human,ENSG00000135930,EIF4E2,A549,LOC124904732,Lung adenocarcinoma,ENSG00000238653.1,0.558,-5.684,0.0009,down,Lung adenocarcinoma,human,Translation
1124,DataSet_484,human,ENSG00000135930,EIF4E2,A549,RNU6-647P,Lung adenocarcinoma,ENSG00000201113.1,1.0925,5.3387,0.0012,up,Lung adenocarcinoma,human,Translation
1125,DataSet_484,human,ENSG00000135930,EIF4E2,A549,ENSG00000206824,Lung adenocarcinoma,ENSG00000206824.1,1.1193,5.3148,0.0324,up,Lung adenocarcinoma,human,Translation
1127,DataSet_484,human,ENSG00000135930,EIF4E2,A549,LINC00587,Lung adenocarcinoma,ENSG00000204250.4,0.5511,-5.2872,0.0172,down,Lung adenocarcinoma,human,Translation
1128,DataSet_484,human,ENSG00000135930,EIF4E2,A549,RAB9BP1,Lung adenocarcinoma,ENSG00000232159.3,8.9318,5.048,0.0245,up,Lung adenocarcinoma,human,Translation
1130,DataSet_484,human,ENSG00000135930,EIF4E2,A549,RNU6-1130P,Lung adenocarcinoma,ENSG00000202304.1,5.9628,4.9505,0.0002,up,Lung adenocarcinoma,human,Translation
1132,DataSet_484,human,ENSG00000135930,EIF4E2,A549,CLDN20,Lung adenocarcinoma,ENSG00000171217.5,14.4701,4.7847,0.0001,up,Lung adenocarcinoma,human,Translation
1133,DataSet_484,human,ENSG00000135930,EIF4E2,A549,ENSG00000265912,Lung adenocarcinoma,ENSG00000265912.1,0.3143,-4.775,0.0372,down,Lung adenocarcinoma,human,Translation
1134,DataSet_484,human,ENSG00000135930,EIF4E2,A549,RN7SL815P,Lung adenocarcinoma,ENSG00000243359.3,12.6952,4.7188,0.0038,up,Lung adenocarcinoma,human,Translation
1135,DataSet_484,human,ENSG00000135930,EIF4E2,A549,ENSG00000224746,Lung adenocarcinoma,ENSG00000224746.3,0.3783,-4.6006,0.0062,down,Lung adenocarcinoma,human,Translation
1139,DataSet_484,human,ENSG00000135930,EIF4E2,A549,RN7SKP254,Lung adenocarcinoma,ENSG00000222617.1,0.1001,-4.4321,0.0012,down,Lung adenocarcinoma,human,Translation
1140,DataSet_484,human,ENSG00000135930,EIF4E2,A549,ENSG00000309246,Lung adenocarcinoma,ENSG00000309246.1,18.5392,4.3646,0.0078,up,Lung adenocarcinoma,human,Translation
1141,DataSet_484,human,ENSG00000135930,EIF4E2,A549,RN7SL629P,Lung adenocarcinoma,ENSG00000241243.3,0.2684,4.3422,0.0082,up,Lung adenocarcinoma,human,Translation
1142,DataSet_484,human,ENSG00000135930,EIF4E2,A549,ENSG00000201228,Lung adenocarcinoma,ENSG00000201228.1,5.0396,4.3155,0.037,up,Lung adenocarcinoma,human,Translation
1143,DataSet_484,human,ENSG00000135930,EIF4E2,A549,LOC124902744,Lung adenocarcinoma,ENSG00000289232.2,0.9927,-4.3013,0.0004,down,Lung adenocarcinoma,human,Translation
1145,DataSet_484,human,ENSG00000135930,EIF4E2,A549,LOC643014,Lung adenocarcinoma,ENSG00000251017.1,5.207,4.1403,0.0025,up,Lung adenocarcinoma,human,Translation
1146,DataSet_484,human,ENSG00000135930,EIF4E2,A549,ENSG00000302182,Lung adenocarcinoma,ENSG00000302182.1,0.4264,-4.122,0.0126,down,Lung adenocarcinoma,human,Translation
1147,DataSet_484,human,ENSG00000135930,EIF4E2,A549,NRG1-IT3,Lung adenocarcinoma,ENSG00000254049.3,2.2962,-4.086,0.0359,down,Lung adenocarcinoma,human,Translation
1148,DataSet_484,human,ENSG00000135930,EIF4E2,A549,ENSG00000285366,Lung adenocarcinoma,ENSG00000285366.1,2.2749,-4.0711,0.0335,down,Lung adenocarcinoma,human,Translation
1150,DataSet_484,human,ENSG00000135930,EIF4E2,A549,ENSG00000285638,Lung adenocarcinoma,ENSG00000285638.1,49.2883,3.9424,0.0443,up,Lung adenocarcinoma,human,Translation
1151,DataSet_484,human,ENSG00000135930,EIF4E2,A549,ENSG00000307758,Lung adenocarcinoma,ENSG00000307758.1,0.9475,-3.8892,0.018,down,Lung adenocarcinoma,human,Translation
1152,DataSet_484,human,ENSG00000135930,EIF4E2,A549,RNU6-1323P,Lung adenocarcinoma,ENSG00000206752.1,0.4467,3.8734,0.005,up,Lung adenocarcinoma,human,Translation
1153,DataSet_484,human,ENSG00000135930,EIF4E2,A549,SNORA65,Lung adenocarcinoma,ENSG00000201302.1,0.1319,-3.8702,0.0068,down,Lung adenocarcinoma,human,Translation
1154,DataSet_484,human,ENSG00000135930,EIF4E2,A549,ENSG00000306327,Lung adenocarcinoma,ENSG00000306327.1,3.6437,3.8347,0.0001,up,Lung adenocarcinoma,human,Translation
1155,DataSet_484,human,ENSG00000135930,EIF4E2,A549,ENSG00000277327,Lung adenocarcinoma,ENSG00000277327.1,0.6671,-3.8243,0.0084,down,Lung adenocarcinoma,human,Translation
1157,DataSet_484,human,ENSG00000135930,EIF4E2,A549,ENSG00000306539,Lung adenocarcinoma,ENSG00000306539.1,15.0228,3.6689,0.0444,up,Lung adenocarcinoma,human,Translation
1159,DataSet_484,human,ENSG00000135930,EIF4E2,A549,ENSG00000302035,Lung adenocarcinoma,ENSG00000302035.1,2.0986,-3.5598,0.0001,down,Lung adenocarcinoma,human,Translation
1160,DataSet_484,human,ENSG00000135930,EIF4E2,A549,NIFKP2,Lung adenocarcinoma,ENSG00000251122.1,0.383,-3.5018,0.0372,down,Lung adenocarcinoma,human,Translation
1161,DataSet_484,human,ENSG00000135930,EIF4E2,A549,ENSG00000294296,Lung adenocarcinoma,ENSG00000294296.1,18.2384,3.493,0.002,up,Lung adenocarcinoma,human,Translation
1162,DataSet_484,human,ENSG00000135930,EIF4E2,A549,ZKSCAN8P1,Lung adenocarcinoma,ENSG00000226314.9,0.9322,-3.4703,0.0001,down,Lung adenocarcinoma,human,Translation
1163,DataSet_484,human,ENSG00000135930,EIF4E2,A549,ENSG00000276272,Lung adenocarcinoma,ENSG00000276272.1,0.6244,-3.466,0.005,down,Lung adenocarcinoma,human,Translation
