Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
1019,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,LOC105374524,Normal,ENSG00000248837.8,10.6586,5.743,0.0001,up,Normal,human,Translation
1020,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,ENSG00000248884,Normal,ENSG00000248884.3,0.2112,-5.0449,0.0236,down,Normal,human,Translation
1021,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,ENSG00000238273,Normal,ENSG00000238273.3,10.8425,4.9665,0.0192,up,Normal,human,Translation
1023,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,CXCL12,Normal,ENSG00000107562.18,33.6674,4.9127,0.0351,up,Normal,human,Translation
1024,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,FPGT-TNNI3K,Normal,ENSG00000259030.8,3.783,4.7146,0.0036,up,Normal,human,Translation
1028,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,FAM163B,Normal,ENSG00000196990.10,7.4173,3.8901,0.0015,up,Normal,human,Translation
1029,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,DRD1,Normal,ENSG00000184845.4,4.4135,-3.7932,0.0002,down,Normal,human,Translation
1031,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,SYT1,Normal,ENSG00000067715.15,6.395,3.5013,0.0236,up,Normal,human,Translation
1032,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,PABPC4L,Normal,ENSG00000254535.4,3.3611,3.4944,0.0353,up,Normal,human,Translation
1033,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,LOC124902045,Normal,ENSG00000254007.3,17.2712,3.346,0.0283,up,Normal,human,Translation
1035,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,CALN1,Normal,ENSG00000183166.12,219.3035,3.3368,0.0015,up,Normal,human,Translation
1036,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,SLC38A4,Normal,ENSG00000139209.16,0.1939,-3.3195,0.0075,down,Normal,human,Translation
1037,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,SORL1-AS1,Normal,ENSG00000246790.4,2.6359,-3.3021,0.0202,down,Normal,human,Translation
1040,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,ENSG00000273759,Normal,ENSG00000273759.1,1.6446,3.2165,0.049,up,Normal,human,Translation
1045,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,LOC780529,Normal,ENSG00000271776.1,27.5731,3.0797,0.0282,up,Normal,human,Translation
1046,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,ENSG00000294614,Normal,ENSG00000294614.1,0.1636,-3.0222,0.0006,down,Normal,human,Translation
1048,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,ECHDC3,Normal,ENSG00000134463.15,4.0738,2.9133,0.0109,up,Normal,human,Translation
1051,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,ASB9,Normal,ENSG00000102048.16,2.4057,2.8377,0.0416,up,Normal,human,Translation
1054,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,ENSG00000216347,Normal,ENSG00000216347.1,1.3801,-2.5901,0.0001,down,Normal,human,Translation
1055,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,EPHA5,Normal,ENSG00000145242.14,4.5389,2.3735,0.0235,up,Normal,human,Translation
1056,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,HMSD,Normal,ENSG00000221887.6,1.8686,2.3456,0.0186,up,Normal,human,Translation
1058,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,CSMD2,Normal,ENSG00000121904.19,4.3832,2.2939,0.0097,up,Normal,human,Translation
1062,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,ADAMTS16-DT,Normal,ENSG00000250579.4,1.9156,-2.123,0.0243,down,Normal,human,Translation
1063,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,B3GALT1,Normal,ENSG00000172318.6,1.3772,2.1175,0.0065,up,Normal,human,Translation
1064,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,RENO1,Normal,ENSG00000287431.2,1.567,2.1126,0.0193,up,Normal,human,Translation
1067,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,ZNF600,Normal,ENSG00000189190.11,5.7316,2.0214,0.0043,up,Normal,human,Translation
1068,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,ENSG00000260271,Normal,ENSG00000260271.5,1.9657,-2.0077,0.0378,down,Normal,human,Translation
1069,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,BNC1,Normal,ENSG00000169594.14,2.514,1.9996,0.0019,up,Normal,human,Translation
1071,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,RNVU1-31,Normal,ENSG00000270722.1,252.1464,-1.9726,0.0001,down,Normal,human,Translation
1073,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,ACTBL2,Normal,ENSG00000169067.4,2.2653,-1.8978,0.0321,down,Normal,human,Translation
1076,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,PPFIBP2,Normal,ENSG00000166387.14,1.223,-1.7308,0.0468,down,Normal,human,Translation
1077,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,C10orf67,Normal,ENSG00000179133.15,0.8094,-1.6622,0.0372,down,Normal,human,Translation
1079,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,RNU4-2,Normal,ENSG00000202538.1,17.9968,-1.597,0.025,down,Normal,human,Translation
1080,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,ZNF354C,Normal,ENSG00000177932.7,0.7482,1.5902,0.0046,up,Normal,human,Translation
1081,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,COLQ,Normal,ENSG00000206561.14,0.2894,-1.5632,0.0372,down,Normal,human,Translation
1084,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,CITED4,Normal,ENSG00000179862.7,2.1357,1.5004,0.0468,up,Normal,human,Translation
1085,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,MAPK6,Normal,ENSG00000069956.14,0.0269,-1.4788,0.0001,down,Normal,human,Translation
1086,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,LOC124904122,Normal,ENSG00000290039.2,0.4875,-1.4783,0.0006,down,Normal,human,Translation
1087,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,SLC25A33,Normal,ENSG00000171612.7,0.0122,-1.458,0.0192,down,Normal,human,Translation
1088,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,TENM1,Normal,ENSG00000009694.14,0.2964,1.4069,0.0001,up,Normal,human,Translation
1090,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,RNVU1-34,Normal,ENSG00000200997.1,1.471,-1.3902,0.0339,down,Normal,human,Translation
1092,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,MKKS,Normal,ENSG00000125863.20,0.0323,-1.3388,0.0468,down,Normal,human,Translation
1093,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,ZSCAN5A,Normal,ENSG00000131848.10,0.1074,-1.3334,0.0235,down,Normal,human,Translation
1094,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,RPS2,Normal,ENSG00000140988.16,0.0107,-1.2814,0.0196,down,Normal,human,Translation
1095,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,SNX25,Normal,ENSG00000109762.17,0.0155,-1.2661,0.0032,down,Normal,human,Translation
1096,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,KIFC3,Normal,ENSG00000140859.16,0.0418,-1.2629,0.002,down,Normal,human,Translation
1097,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,NCKAP1L,Normal,ENSG00000123338.13,0.0238,-1.2312,0.016,down,Normal,human,Translation
1098,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,LOC124904154,Normal,ENSG00000212195.2,0.0885,-1.2005,0.001,down,Normal,human,Translation
1099,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,FAM13B,Normal,ENSG00000031003.11,0.0936,1.1848,0.0002,up,Normal,human,Translation
1100,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,LRRC8B,Normal,ENSG00000197147.15,0.0323,-1.1656,0.0036,down,Normal,human,Translation
1103,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,AGBL5,Normal,ENSG00000084693.16,0.0286,-1.1417,0.0005,down,Normal,human,Translation
1104,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,RAB11FIP2,Normal,ENSG00000107560.12,0.0423,-1.1159,0.0015,down,Normal,human,Translation
1106,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,PPP6R2,Normal,ENSG00000100239.16,0.0287,-1.0642,0.0002,down,Normal,human,Translation
1107,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,ZDHHC3,Normal,ENSG00000163812.16,0.0399,-1.064,0.0049,down,Normal,human,Translation
1109,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,EIF5,Normal,ENSG00000100664.11,0.0406,-1.0566,0.0001,down,Normal,human,Translation
1110,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,HDAC5,Normal,ENSG00000108840.17,0.0525,-1.0498,0.0003,down,Normal,human,Translation
1112,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,RAPGEF1,Normal,ENSG00000107263.19,0.0476,-1.0333,0.0042,down,Normal,human,Translation
1113,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,WWP1,Normal,ENSG00000123124.14,0.0568,-1.0274,0.002,down,Normal,human,Translation
1114,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,ATP13A2,Normal,ENSG00000159363.19,0.0634,-1.0271,0.0406,down,Normal,human,Translation
1115,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,ZNF236,Normal,ENSG00000130856.18,0.0463,-1.0161,0.0055,down,Normal,human,Translation
1116,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,GBA2,Normal,ENSG00000070610.14,0.0412,-1.0092,0.0008,down,Normal,human,Translation
1117,DataSet_481,human,ENSG00000156976,EIF4A2,HEK293T,KIF1C,Normal,ENSG00000129250.12,0.0165,-1.0063,0.0001,down,Normal,human,Translation
