Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAPA,ORF_APA,LOF_APA,_disease,_species,_type
178753,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,LAMA2,Leukemia,8,0,0,Leukemia,mouse,APA
178720,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,ENSG00000263435,Leukemia,4,0,0,Leukemia,mouse,APA
178768,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,NCOA2,Leukemia,4,10,0,Leukemia,mouse,APA
178711,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,ENSG00000227896,Leukemia,3,0,0,Leukemia,mouse,APA
178683,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,ANXA11,Leukemia,3,5,0,Leukemia,mouse,APA
178689,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,BMT2,Leukemia,3,6,0,Leukemia,mouse,APA
178708,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,ELK2BP,Leukemia,2,0,0,Leukemia,mouse,APA
178701,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,COBLL1,Leukemia,2,0,0,Leukemia,mouse,APA
178703,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,CYB5R4,Leukemia,2,0,0,Leukemia,mouse,APA
178706,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,DPY19L2P3,Leukemia,2,0,0,Leukemia,mouse,APA
178736,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,FBXL4,Leukemia,2,4,0,Leukemia,mouse,APA
178815,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,UGGT1,Leukemia,2,2,0,Leukemia,mouse,APA
178709,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,ENSG00000170409,Leukemia,2,0,0,Leukemia,mouse,APA
178758,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,LINC01934,Leukemia,2,0,0,Leukemia,mouse,APA
178755,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,LINC00640,Leukemia,2,0,0,Leukemia,mouse,APA
178745,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,HOXB3,Leukemia,2,16,0,Leukemia,mouse,APA
178742,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,GRM8,Leukemia,2,0,0,Leukemia,mouse,APA
178765,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,MIR194-2HG,Leukemia,2,0,0,Leukemia,mouse,APA
178707,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,DROSHA,Leukemia,2,0,0,Leukemia,mouse,APA
178697,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,CEP97,Leukemia,2,0,0,Leukemia,mouse,APA
178690,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,C18orf63,Leukemia,2,2,2,Leukemia,mouse,APA
178812,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,TRPA1,Leukemia,2,4,0,Leukemia,mouse,APA
178808,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,TEP1,Leukemia,2,0,0,Leukemia,mouse,APA
178797,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,SDK1,Leukemia,2,4,0,Leukemia,mouse,APA
178685,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,ARFIP2,Leukemia,2,0,0,Leukemia,mouse,APA
178696,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,CDH6,Leukemia,2,0,0,Leukemia,mouse,APA
178795,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,SCLT1,Leukemia,2,14,0,Leukemia,mouse,APA
178794,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,SCFD1,Leukemia,2,0,0,Leukemia,mouse,APA
178793,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,SAGE1,Leukemia,2,4,0,Leukemia,mouse,APA
178737,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,GAB2,Leukemia,2,0,0,Leukemia,mouse,APA
178790,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,RGS7BP,Leukemia,2,2,0,Leukemia,mouse,APA
178784,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,PRKD3,Leukemia,2,4,0,Leukemia,mouse,APA
178780,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,PDE2A,Leukemia,2,4,2,Leukemia,mouse,APA
178775,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,NPIPA9,Leukemia,2,0,0,Leukemia,mouse,APA
178774,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,NPC1L1,Leukemia,2,6,6,Leukemia,mouse,APA
178748,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,KIAA0408,Leukemia,1,2,0,Leukemia,mouse,APA
178738,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,GABBR2,Leukemia,1,1,0,Leukemia,mouse,APA
178739,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,GJC3,Leukemia,1,1,1,Leukemia,mouse,APA
178740,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,GPA33,Leukemia,1,0,0,Leukemia,mouse,APA
178741,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,GRM4,Leukemia,1,0,0,Leukemia,mouse,APA
178764,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,MEF2D,Leukemia,1,3,0,Leukemia,mouse,APA
178743,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,HELLPAR,Leukemia,1,0,0,Leukemia,mouse,APA
178744,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,HEPHL1,Leukemia,1,1,0,Leukemia,mouse,APA
178746,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,IRGC,Leukemia,1,2,1,Leukemia,mouse,APA
178747,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,KDM4B,Leukemia,1,0,0,Leukemia,mouse,APA
178750,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,KLHL36,Leukemia,1,2,0,Leukemia,mouse,APA
178749,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,KLHL33,Leukemia,1,2,0,Leukemia,mouse,APA
178760,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,LINC02379,Leukemia,1,0,0,Leukemia,mouse,APA
178751,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,KRTAP4-17P,Leukemia,1,0,0,Leukemia,mouse,APA
178763,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,MED13L,Leukemia,1,4,0,Leukemia,mouse,APA
178752,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,LACTB2-AS1,Leukemia,1,0,0,Leukemia,mouse,APA
178762,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,LRRC28,Leukemia,1,0,0,Leukemia,mouse,APA
178761,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,LINCMD1,Leukemia,1,0,0,Leukemia,mouse,APA
178756,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,LINC00857,Leukemia,1,0,0,Leukemia,mouse,APA
178757,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,LINC01405,Leukemia,1,0,0,Leukemia,mouse,APA
178759,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,LINC02025,Leukemia,1,0,0,Leukemia,mouse,APA
178754,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,LEF1,Leukemia,1,7,0,Leukemia,mouse,APA
178679,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,ACVRL1,Leukemia,1,0,0,Leukemia,mouse,APA
178735,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,FANCI,Leukemia,1,1,0,Leukemia,mouse,APA
178694,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,CCDC174,Leukemia,1,2,2,Leukemia,mouse,APA
178710,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,ENSG00000224612,Leukemia,1,0,0,Leukemia,mouse,APA
178705,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,DOCK9,Leukemia,1,4,0,Leukemia,mouse,APA
178704,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,CYTH3,Leukemia,1,2,0,Leukemia,mouse,APA
178702,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,CTSO,Leukemia,1,9,2,Leukemia,mouse,APA
178700,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,CLASP1,Leukemia,1,6,0,Leukemia,mouse,APA
178699,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,CHSY1,Leukemia,1,1,0,Leukemia,mouse,APA
178698,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,CFAP44,Leukemia,1,3,1,Leukemia,mouse,APA
178695,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,CDC23,Leukemia,1,1,0,Leukemia,mouse,APA
178693,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,CAMK1,Leukemia,1,2,2,Leukemia,mouse,APA
178734,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,FAM214B,Leukemia,1,0,0,Leukemia,mouse,APA
178692,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,CADM1,Leukemia,1,0,0,Leukemia,mouse,APA
178691,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,CA14,Leukemia,1,3,0,Leukemia,mouse,APA
178688,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,ATAD2,Leukemia,1,1,0,Leukemia,mouse,APA
178687,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,ARHGEF33,Leukemia,1,2,0,Leukemia,mouse,APA
178686,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,ARHGEF12,Leukemia,1,3,0,Leukemia,mouse,APA
178684,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,AP4S1,Leukemia,1,0,0,Leukemia,mouse,APA
178682,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,ANKFN1,Leukemia,1,0,0,Leukemia,mouse,APA
178681,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,AFG1L,Leukemia,1,0,0,Leukemia,mouse,APA
178712,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,ENSG00000227907,Leukemia,1,0,0,Leukemia,mouse,APA
178713,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,ENSG00000234181,Leukemia,1,0,0,Leukemia,mouse,APA
178714,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,ENSG00000249776,Leukemia,1,0,0,Leukemia,mouse,APA
178715,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,ENSG00000254002,Leukemia,1,0,0,Leukemia,mouse,APA
178733,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,ENSG00000289250,Leukemia,1,0,0,Leukemia,mouse,APA
178732,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,ENSG00000288047,Leukemia,1,0,0,Leukemia,mouse,APA
178731,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,ENSG00000287134,Leukemia,1,0,0,Leukemia,mouse,APA
178730,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,ENSG00000286545,Leukemia,1,0,0,Leukemia,mouse,APA
178680,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,ADAMTS12,Leukemia,1,2,0,Leukemia,mouse,APA
178728,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,ENSG00000285904,Leukemia,1,0,0,Leukemia,mouse,APA
178727,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,ENSG00000285679,Leukemia,1,0,0,Leukemia,mouse,APA
178726,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,ENSG00000284523,Leukemia,1,0,0,Leukemia,mouse,APA
178725,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,ENSG00000281369,Leukemia,1,0,0,Leukemia,mouse,APA
178724,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,ENSG00000279977,Leukemia,1,0,0,Leukemia,mouse,APA
178723,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,ENSG00000268170,Leukemia,1,0,0,Leukemia,mouse,APA
178722,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,ENSG00000268087,Leukemia,1,0,0,Leukemia,mouse,APA
178721,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,ENSG00000264701,Leukemia,1,0,0,Leukemia,mouse,APA
178719,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,ENSG00000261596,Leukemia,1,0,0,Leukemia,mouse,APA
178718,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,ENSG00000259649,Leukemia,1,0,0,Leukemia,mouse,APA
178717,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,ENSG00000258455,Leukemia,1,0,0,Leukemia,mouse,APA
178716,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,ENSG00000255330,Leukemia,1,0,0,Leukemia,mouse,APA
178729,DataSet_270,mouse,Msi2,c-Kit high leukemic cell,ENSG00000285943,Leukemia,1,0,0,Leukemia,mouse,APA
