Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAPA,ORF_APA,LOF_APA,_disease,_species,_type
175799,DataSet_263,mouse,Mettl14,CT26,ELP1,Mouse colon adenocarcinoma,3,0,0,Mouse colon adenocarcinoma,mouse,APA
175802,DataSet_263,mouse,Mettl14,CT26,ENSG00000261222,Mouse colon adenocarcinoma,3,0,0,Mouse colon adenocarcinoma,mouse,APA
175795,DataSet_263,mouse,Mettl14,CT26,ARHGAP11A-SCG5,Mouse colon adenocarcinoma,1,2,0,Mouse colon adenocarcinoma,mouse,APA
175808,DataSet_263,mouse,Mettl14,CT26,GTF2IP4,Mouse colon adenocarcinoma,1,0,0,Mouse colon adenocarcinoma,mouse,APA
175816,DataSet_263,mouse,Mettl14,CT26,UBE4B,Mouse colon adenocarcinoma,1,0,0,Mouse colon adenocarcinoma,mouse,APA
175815,DataSet_263,mouse,Mettl14,CT26,SCG5,Mouse colon adenocarcinoma,1,3,1,Mouse colon adenocarcinoma,mouse,APA
175814,DataSet_263,mouse,Mettl14,CT26,PMP22,Mouse colon adenocarcinoma,1,0,0,Mouse colon adenocarcinoma,mouse,APA
175813,DataSet_263,mouse,Mettl14,CT26,PDHB,Mouse colon adenocarcinoma,1,5,1,Mouse colon adenocarcinoma,mouse,APA
175812,DataSet_263,mouse,Mettl14,CT26,NR2F1-AS1,Mouse colon adenocarcinoma,1,0,0,Mouse colon adenocarcinoma,mouse,APA
175811,DataSet_263,mouse,Mettl14,CT26,NEK11,Mouse colon adenocarcinoma,1,0,0,Mouse colon adenocarcinoma,mouse,APA
175810,DataSet_263,mouse,Mettl14,CT26,MYO5B,Mouse colon adenocarcinoma,1,0,0,Mouse colon adenocarcinoma,mouse,APA
175809,DataSet_263,mouse,Mettl14,CT26,MTATP6P25,Mouse colon adenocarcinoma,1,0,0,Mouse colon adenocarcinoma,mouse,APA
175806,DataSet_263,mouse,Mettl14,CT26,ERICH3,Mouse colon adenocarcinoma,1,0,0,Mouse colon adenocarcinoma,mouse,APA
175807,DataSet_263,mouse,Mettl14,CT26,FAM71D,Mouse colon adenocarcinoma,1,3,3,Mouse colon adenocarcinoma,mouse,APA
175796,DataSet_263,mouse,Mettl14,CT26,ARHGEF40,Mouse colon adenocarcinoma,1,0,0,Mouse colon adenocarcinoma,mouse,APA
175805,DataSet_263,mouse,Mettl14,CT26,ENSG00000271955,Mouse colon adenocarcinoma,1,0,0,Mouse colon adenocarcinoma,mouse,APA
175804,DataSet_263,mouse,Mettl14,CT26,ENSG00000267360,Mouse colon adenocarcinoma,1,1,1,Mouse colon adenocarcinoma,mouse,APA
175803,DataSet_263,mouse,Mettl14,CT26,ENSG00000265445,Mouse colon adenocarcinoma,1,0,0,Mouse colon adenocarcinoma,mouse,APA
175801,DataSet_263,mouse,Mettl14,CT26,ENSG00000255434,Mouse colon adenocarcinoma,1,0,0,Mouse colon adenocarcinoma,mouse,APA
175800,DataSet_263,mouse,Mettl14,CT26,ENSG00000255326,Mouse colon adenocarcinoma,1,0,0,Mouse colon adenocarcinoma,mouse,APA
175798,DataSet_263,mouse,Mettl14,CT26,C4orf33,Mouse colon adenocarcinoma,1,0,0,Mouse colon adenocarcinoma,mouse,APA
175797,DataSet_263,mouse,Mettl14,CT26,ASTE1,Mouse colon adenocarcinoma,1,0,0,Mouse colon adenocarcinoma,mouse,APA
175817,DataSet_263,mouse,Mettl14,CT26,ZNF585B,Mouse colon adenocarcinoma,1,4,3,Mouse colon adenocarcinoma,mouse,APA
175778,DataSet_262,mouse,Mettl3,CT26,ENSG00000280215,Mouse colon adenocarcinoma,4,0,0,Mouse colon adenocarcinoma,mouse,APA
175772,DataSet_262,mouse,Mettl3,CT26,ATXN2,Mouse colon adenocarcinoma,3,0,0,Mouse colon adenocarcinoma,mouse,APA
175774,DataSet_262,mouse,Mettl3,CT26,ELP1,Mouse colon adenocarcinoma,2,0,0,Mouse colon adenocarcinoma,mouse,APA
175792,DataSet_262,mouse,Mettl3,CT26,STX6,Mouse colon adenocarcinoma,2,2,0,Mouse colon adenocarcinoma,mouse,APA
175790,DataSet_262,mouse,Mettl3,CT26,SLFN12L,Mouse colon adenocarcinoma,2,0,0,Mouse colon adenocarcinoma,mouse,APA
175779,DataSet_262,mouse,Mettl3,CT26,ENSG00000288788,Mouse colon adenocarcinoma,2,0,0,Mouse colon adenocarcinoma,mouse,APA
175780,DataSet_262,mouse,Mettl3,CT26,ENSG00000289424,Mouse colon adenocarcinoma,2,0,0,Mouse colon adenocarcinoma,mouse,APA
175771,DataSet_262,mouse,Mettl3,CT26,ARHGEF12,Mouse colon adenocarcinoma,1,0,0,Mouse colon adenocarcinoma,mouse,APA
175786,DataSet_262,mouse,Mettl3,CT26,PTPN13,Mouse colon adenocarcinoma,1,5,0,Mouse colon adenocarcinoma,mouse,APA
175793,DataSet_262,mouse,Mettl3,CT26,TTYH2,Mouse colon adenocarcinoma,1,0,0,Mouse colon adenocarcinoma,mouse,APA
175791,DataSet_262,mouse,Mettl3,CT26,STK24,Mouse colon adenocarcinoma,1,0,0,Mouse colon adenocarcinoma,mouse,APA
175789,DataSet_262,mouse,Mettl3,CT26,RPS20P24,Mouse colon adenocarcinoma,1,0,0,Mouse colon adenocarcinoma,mouse,APA
175788,DataSet_262,mouse,Mettl3,CT26,RNY3P5,Mouse colon adenocarcinoma,1,0,0,Mouse colon adenocarcinoma,mouse,APA
175787,DataSet_262,mouse,Mettl3,CT26,REXO1L10P,Mouse colon adenocarcinoma,1,0,0,Mouse colon adenocarcinoma,mouse,APA
175783,DataSet_262,mouse,Mettl3,CT26,FARP1,Mouse colon adenocarcinoma,1,0,0,Mouse colon adenocarcinoma,mouse,APA
175785,DataSet_262,mouse,Mettl3,CT26,PDHB,Mouse colon adenocarcinoma,1,5,1,Mouse colon adenocarcinoma,mouse,APA
175784,DataSet_262,mouse,Mettl3,CT26,LINC01320,Mouse colon adenocarcinoma,1,0,0,Mouse colon adenocarcinoma,mouse,APA
175782,DataSet_262,mouse,Mettl3,CT26,FAM71D,Mouse colon adenocarcinoma,1,3,3,Mouse colon adenocarcinoma,mouse,APA
175781,DataSet_262,mouse,Mettl3,CT26,EVA1A,Mouse colon adenocarcinoma,1,0,0,Mouse colon adenocarcinoma,mouse,APA
175777,DataSet_262,mouse,Mettl3,CT26,ENSG00000258168,Mouse colon adenocarcinoma,1,0,0,Mouse colon adenocarcinoma,mouse,APA
175776,DataSet_262,mouse,Mettl3,CT26,ENSG00000255434,Mouse colon adenocarcinoma,1,0,0,Mouse colon adenocarcinoma,mouse,APA
175775,DataSet_262,mouse,Mettl3,CT26,ENSG00000255326,Mouse colon adenocarcinoma,1,0,0,Mouse colon adenocarcinoma,mouse,APA
175773,DataSet_262,mouse,Mettl3,CT26,BIRC3,Mouse colon adenocarcinoma,1,1,0,Mouse colon adenocarcinoma,mouse,APA
175794,DataSet_262,mouse,Mettl3,CT26,WDR87,Mouse colon adenocarcinoma,1,2,0,Mouse colon adenocarcinoma,mouse,APA
