Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAPA,ORF_APA,LOF_APA,_disease,_species,_type
211900,DataSet_307,mouse,Vipr2,Panc02,TRPC7-AS2,Mouse pancreatic ductal adenocarcinoma,6,0,0,Mouse pancreatic ductal adenocarcinoma,mouse,APA
211893,DataSet_307,mouse,Vipr2,Panc02,TMEM37,Mouse pancreatic ductal adenocarcinoma,5,10,2,Mouse pancreatic ductal adenocarcinoma,mouse,APA
211761,DataSet_307,mouse,Vipr2,Panc02,GALNT8,Mouse pancreatic ductal adenocarcinoma,4,8,0,Mouse pancreatic ductal adenocarcinoma,mouse,APA
211830,DataSet_307,mouse,Vipr2,Panc02,OTUD4,Mouse pancreatic ductal adenocarcinoma,4,0,0,Mouse pancreatic ductal adenocarcinoma,mouse,APA
211715,DataSet_307,mouse,Vipr2,Panc02,ENSG00000255639,Mouse pancreatic ductal adenocarcinoma,4,4,0,Mouse pancreatic ductal adenocarcinoma,mouse,APA
211790,DataSet_307,mouse,Vipr2,Panc02,LINC01405,Mouse pancreatic ductal adenocarcinoma,4,0,0,Mouse pancreatic ductal adenocarcinoma,mouse,APA
211871,DataSet_307,mouse,Vipr2,Panc02,SLC35B3,Mouse pancreatic ductal adenocarcinoma,4,20,0,Mouse pancreatic ductal adenocarcinoma,mouse,APA
211840,DataSet_307,mouse,Vipr2,Panc02,PMP22,Mouse pancreatic ductal adenocarcinoma,3,2,0,Mouse pancreatic ductal adenocarcinoma,mouse,APA
211846,DataSet_307,mouse,Vipr2,Panc02,PRSS54,Mouse pancreatic ductal adenocarcinoma,3,9,0,Mouse pancreatic ductal adenocarcinoma,mouse,APA
211818,DataSet_307,mouse,Vipr2,Panc02,NRBF2,Mouse pancreatic ductal adenocarcinoma,3,0,0,Mouse pancreatic ductal adenocarcinoma,mouse,APA
211851,DataSet_307,mouse,Vipr2,Panc02,RBM28,Mouse pancreatic ductal adenocarcinoma,3,0,0,Mouse pancreatic ductal adenocarcinoma,mouse,APA
211672,DataSet_307,mouse,Vipr2,Panc02,CEP350,Mouse pancreatic ductal adenocarcinoma,3,8,0,Mouse pancreatic ductal adenocarcinoma,mouse,APA
211812,DataSet_307,mouse,Vipr2,Panc02,NAA15,Mouse pancreatic ductal adenocarcinoma,3,6,0,Mouse pancreatic ductal adenocarcinoma,mouse,APA
211801,DataSet_307,mouse,Vipr2,Panc02,MBNL3,Mouse pancreatic ductal adenocarcinoma,3,0,0,Mouse pancreatic ductal adenocarcinoma,mouse,APA
211721,DataSet_307,mouse,Vipr2,Panc02,ENSG00000259986,Mouse pancreatic ductal adenocarcinoma,3,0,0,Mouse pancreatic ductal adenocarcinoma,mouse,APA
211795,DataSet_307,mouse,Vipr2,Panc02,LINC02632,Mouse pancreatic ductal adenocarcinoma,3,0,0,Mouse pancreatic ductal adenocarcinoma,mouse,APA
211664,DataSet_307,mouse,Vipr2,Panc02,CACNA1E,Mouse pancreatic ductal adenocarcinoma,3,21,0,Mouse pancreatic ductal adenocarcinoma,mouse,APA
211662,DataSet_307,mouse,Vipr2,Panc02,BRCA1,Mouse pancreatic ductal adenocarcinoma,3,61,6,Mouse pancreatic ductal adenocarcinoma,mouse,APA
211884,DataSet_307,mouse,Vipr2,Panc02,SYTL2,Mouse pancreatic ductal adenocarcinoma,3,0,0,Mouse pancreatic ductal adenocarcinoma,mouse,APA
211885,DataSet_307,mouse,Vipr2,Panc02,TAF6,Mouse pancreatic ductal adenocarcinoma,3,0,0,Mouse pancreatic ductal adenocarcinoma,mouse,APA
211908,DataSet_307,mouse,Vipr2,Panc02,USP42,Mouse pancreatic ductal adenocarcinoma,3,9,0,Mouse pancreatic ductal adenocarcinoma,mouse,APA
211792,DataSet_307,mouse,Vipr2,Panc02,LINC01748,Mouse pancreatic ductal adenocarcinoma,2,0,0,Mouse pancreatic ductal adenocarcinoma,mouse,APA
211797,DataSet_307,mouse,Vipr2,Panc02,LRRC8D,Mouse pancreatic ductal adenocarcinoma,2,0,0,Mouse pancreatic ductal adenocarcinoma,mouse,APA
211798,DataSet_307,mouse,Vipr2,Panc02,LRRC8D-DT,Mouse pancreatic ductal adenocarcinoma,2,0,0,Mouse pancreatic ductal adenocarcinoma,mouse,APA
211787,DataSet_307,mouse,Vipr2,Panc02,LINC00391,Mouse pancreatic ductal adenocarcinoma,2,0,0,Mouse pancreatic ductal adenocarcinoma,mouse,APA
211782,DataSet_307,mouse,Vipr2,Panc02,KCNH8,Mouse pancreatic ductal adenocarcinoma,2,4,0,Mouse pancreatic ductal adenocarcinoma,mouse,APA
211781,DataSet_307,mouse,Vipr2,Panc02,KAT5,Mouse pancreatic ductal adenocarcinoma,2,12,12,Mouse pancreatic ductal adenocarcinoma,mouse,APA
211778,DataSet_307,mouse,Vipr2,Panc02,IRAG2,Mouse pancreatic ductal adenocarcinoma,2,15,1,Mouse pancreatic ductal adenocarcinoma,mouse,APA
211819,DataSet_307,mouse,Vipr2,Panc02,NRXN3,Mouse pancreatic ductal adenocarcinoma,2,16,0,Mouse pancreatic ductal adenocarcinoma,mouse,APA
211822,DataSet_307,mouse,Vipr2,Panc02,NUTM2B-AS1,Mouse pancreatic ductal adenocarcinoma,2,0,0,Mouse pancreatic ductal adenocarcinoma,mouse,APA
211771,DataSet_307,mouse,Vipr2,Panc02,HIBADH,Mouse pancreatic ductal adenocarcinoma,2,4,0,Mouse pancreatic ductal adenocarcinoma,mouse,APA
211829,DataSet_307,mouse,Vipr2,Panc02,OTOA,Mouse pancreatic ductal adenocarcinoma,2,10,0,Mouse pancreatic ductal adenocarcinoma,mouse,APA
211756,DataSet_307,mouse,Vipr2,Panc02,FMO3,Mouse pancreatic ductal adenocarcinoma,2,3,0,Mouse pancreatic ductal adenocarcinoma,mouse,APA
211837,DataSet_307,mouse,Vipr2,Panc02,PIGM,Mouse pancreatic ductal adenocarcinoma,2,0,0,Mouse pancreatic ductal adenocarcinoma,mouse,APA
