Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAPA,ORF_APA,LOF_APA,_disease,_species,_type
91461,DataSet_18,mouse,Abcf1,Mouse embryonic fibroblast,FUT3,Normal,1,0,0,Normal,mouse,APA
273322,DataSet_39,mouse,Adar,Fetal Liver cells,GRHPR,Normal,4,4,4,Normal,mouse,APA
273317,DataSet_39,mouse,Adar,Fetal Liver cells,FHIT,Normal,4,4,0,Normal,mouse,APA
142800,DataSet_22,mouse,Adar,Liver,TMEM254,Normal,4,0,0,Normal,mouse,APA
273256,DataSet_39,mouse,Adar,Fetal Liver cells,CHCHD4P3,Normal,4,0,0,Normal,mouse,APA
273428,DataSet_39,mouse,Adar,Fetal Liver cells,TMEM254,Normal,4,0,0,Normal,mouse,APA
142781,DataSet_22,mouse,Adar,Liver,PPP1R1AP2,Normal,4,0,0,Normal,mouse,APA
273324,DataSet_39,mouse,Adar,Fetal Liver cells,GTSCR1,Normal,4,0,0,Normal,mouse,APA
142752,DataSet_22,mouse,Adar,Liver,GLI2,Normal,3,6,0,Normal,mouse,APA
273409,DataSet_39,mouse,Adar,Fetal Liver cells,SEC22B,Normal,3,0,0,Normal,mouse,APA
142807,DataSet_22,mouse,Adar,Liver,UHRF1,Normal,3,14,0,Normal,mouse,APA
142797,DataSet_22,mouse,Adar,Liver,TECTA,Normal,3,9,0,Normal,mouse,APA
273368,DataSet_39,mouse,Adar,Fetal Liver cells,NLRC3,Normal,3,0,0,Normal,mouse,APA
273374,DataSet_39,mouse,Adar,Fetal Liver cells,NRBF2,Normal,3,0,0,Normal,mouse,APA
142750,DataSet_22,mouse,Adar,Liver,FKBP14,Normal,3,0,0,Normal,mouse,APA
273294,DataSet_39,mouse,Adar,Fetal Liver cells,ENSG00000274441,Normal,3,0,0,Normal,mouse,APA
142784,DataSet_22,mouse,Adar,Liver,PRUNE1,Normal,3,6,0,Normal,mouse,APA
142745,DataSet_22,mouse,Adar,Liver,ENSG00000287959,Normal,3,0,0,Normal,mouse,APA
142783,DataSet_22,mouse,Adar,Liver,PRKDC,Normal,3,6,0,Normal,mouse,APA
142773,DataSet_22,mouse,Adar,Liver,OSBPL9,Normal,3,0,0,Normal,mouse,APA
142811,DataSet_22,mouse,Adar,Liver,ZFP30,Normal,3,0,0,Normal,mouse,APA
142771,DataSet_22,mouse,Adar,Liver,NRDC,Normal,3,12,12,Normal,mouse,APA
142760,DataSet_22,mouse,Adar,Liver,LACTB2,Normal,3,0,0,Normal,mouse,APA
273318,DataSet_39,mouse,Adar,Fetal Liver cells,FUT3,Normal,3,0,0,Normal,mouse,APA
142713,DataSet_22,mouse,Adar,Liver,ANKRD24,Normal,3,3,0,Normal,mouse,APA
273438,DataSet_39,mouse,Adar,Fetal Liver cells,USP34-DT,Normal,3,0,0,Normal,mouse,APA
273417,DataSet_39,mouse,Adar,Fetal Liver cells,SLC9B1,Normal,3,0,0,Normal,mouse,APA
273418,DataSet_39,mouse,Adar,Fetal Liver cells,SLC9B2,Normal,3,3,3,Normal,mouse,APA
142715,DataSet_22,mouse,Adar,Liver,ATXN2,Normal,3,0,0,Normal,mouse,APA
273414,DataSet_39,mouse,Adar,Fetal Liver cells,SLC25A41,Normal,3,6,6,Normal,mouse,APA
273232,DataSet_39,mouse,Adar,Fetal Liver cells,ABHD17AP7,Normal,3,0,0,Normal,mouse,APA
273268,DataSet_39,mouse,Adar,Fetal Liver cells,DTNA,Normal,3,32,30,Normal,mouse,APA
273306,DataSet_39,mouse,Adar,Fetal Liver cells,ENSG00000288850,Normal,2,0,0,Normal,mouse,APA
273298,DataSet_39,mouse,Adar,Fetal Liver cells,ENSG00000284613,Normal,2,0,0,Normal,mouse,APA
273297,DataSet_39,mouse,Adar,Fetal Liver cells,ENSG00000283674,Normal,2,0,0,Normal,mouse,APA
