Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEAS,ORF_AS,LOF_AS,_disease,_species,_type
230,DataSet_111,mouse,Ddx1,Blastocyst,ADAMTS7,Normal,1,0,0,Normal,mouse,AS
231,DataSet_111,mouse,Ddx1,Blastocyst,FARP1,Normal,1,0,0,Normal,mouse,AS
599,DataSet_115,mouse,Ddx25,Round spermatids,ZNF677,Normal,2,0,0,Normal,mouse,AS
598,DataSet_115,mouse,Ddx25,Round spermatids,FRRS1,Normal,1,0,0,Normal,mouse,AS
1020,DataSet_125,mouse,Dhx36,Zygotene spermatocytes,SARM1,Normal,4,0,0,Normal,mouse,AS
1008,DataSet_125,mouse,Dhx36,Zygotene spermatocytes,ANKRD24,Normal,3,0,0,Normal,mouse,AS
1010,DataSet_125,mouse,Dhx36,Zygotene spermatocytes,ENSG00000258924,Normal,3,0,0,Normal,mouse,AS
1009,DataSet_125,mouse,Dhx36,Zygotene spermatocytes,ARHGEF33,Normal,1,0,0,Normal,mouse,AS
1011,DataSet_125,mouse,Dhx36,Zygotene spermatocytes,ENSG00000260777,Normal,1,0,0,Normal,mouse,AS
1012,DataSet_125,mouse,Dhx36,Zygotene spermatocytes,ENSG00000262732,Normal,1,0,0,Normal,mouse,AS
1013,DataSet_125,mouse,Dhx36,Zygotene spermatocytes,ENSG00000263788,Normal,1,0,0,Normal,mouse,AS
1014,DataSet_125,mouse,Dhx36,Zygotene spermatocytes,ENSG00000264486,Normal,1,0,0,Normal,mouse,AS
1015,DataSet_125,mouse,Dhx36,Zygotene spermatocytes,ENSG00000269604,Normal,1,0,0,Normal,mouse,AS
1016,DataSet_125,mouse,Dhx36,Zygotene spermatocytes,ERCC4,Normal,1,0,0,Normal,mouse,AS
1017,DataSet_125,mouse,Dhx36,Zygotene spermatocytes,FEM1A,Normal,1,0,0,Normal,mouse,AS
1018,DataSet_125,mouse,Dhx36,Zygotene spermatocytes,GUCY1A2,Normal,1,0,0,Normal,mouse,AS
