Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,DEEditing,ORF_Editing,LOF_Editing,_disease,_species,_type
99514,DataSet_18,mouse,Abcf1,Mouse embryonic fibroblast,SSR3,Normal,4,-,-,Normal,mouse,Editing
99501,DataSet_18,mouse,Abcf1,Mouse embryonic fibroblast,ENSG00000258790,Normal,1,-,-,Normal,mouse,Editing
99502,DataSet_18,mouse,Abcf1,Mouse embryonic fibroblast,GSR,Normal,1,-,-,Normal,mouse,Editing
99503,DataSet_18,mouse,Abcf1,Mouse embryonic fibroblast,H2AZ2,Normal,1,-,-,Normal,mouse,Editing
99504,DataSet_18,mouse,Abcf1,Mouse embryonic fibroblast,MAGT1,Normal,1,-,-,Normal,mouse,Editing
99505,DataSet_18,mouse,Abcf1,Mouse embryonic fibroblast,MAVS,Normal,1,-,-,Normal,mouse,Editing
99506,DataSet_18,mouse,Abcf1,Mouse embryonic fibroblast,METTL7A,Normal,1,-,-,Normal,mouse,Editing
99507,DataSet_18,mouse,Abcf1,Mouse embryonic fibroblast,MRPL30,Normal,1,-,-,Normal,mouse,Editing
99508,DataSet_18,mouse,Abcf1,Mouse embryonic fibroblast,MYO1C,Normal,1,-,-,Normal,mouse,Editing
99509,DataSet_18,mouse,Abcf1,Mouse embryonic fibroblast,PECR,Normal,1,-,-,Normal,mouse,Editing
99510,DataSet_18,mouse,Abcf1,Mouse embryonic fibroblast,PGAM5,Normal,1,-,-,Normal,mouse,Editing
99511,DataSet_18,mouse,Abcf1,Mouse embryonic fibroblast,PLEKHB2,Normal,1,-,-,Normal,mouse,Editing
99512,DataSet_18,mouse,Abcf1,Mouse embryonic fibroblast,PRORP,Normal,1,-,-,Normal,mouse,Editing
99513,DataSet_18,mouse,Abcf1,Mouse embryonic fibroblast,RPL7L1,Normal,1,-,-,Normal,mouse,Editing
99515,DataSet_18,mouse,Abcf1,Mouse embryonic fibroblast,UGGT1,Normal,1,-,-,Normal,mouse,Editing
99709,DataSet_22,mouse,Adar,Liver,SPN,Normal,6,-,-,Normal,mouse,Editing
101567,DataSet_39,mouse,Adar,Fetal Liver cells,GABPB1-AS1,Normal,4,-,-,Normal,mouse,Editing
99689,DataSet_22,mouse,Adar,Liver,PGPEP1,Normal,3,-,-,Normal,mouse,Editing
99685,DataSet_22,mouse,Adar,Liver,NUP43,Normal,3,-,-,Normal,mouse,Editing
99693,DataSet_22,mouse,Adar,Liver,PRKAR2A,Normal,3,-,-,Normal,mouse,Editing
99669,DataSet_22,mouse,Adar,Liver,GATC,Normal,3,-,-,Normal,mouse,Editing
101588,DataSet_39,mouse,Adar,Fetal Liver cells,SNRPD3,Normal,3,-,-,Normal,mouse,Editing
101564,DataSet_39,mouse,Adar,Fetal Liver cells,F11R,Normal,3,-,-,Normal,mouse,Editing
