Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
18358,DataSet_270,mouse,ENSMUSG00000069769,Msi2,c-Kit high leukemic cell,Pgk1-rs7,Leukemia,ENSMUSG00000066632.4,82.7338,22.0083,0.0003,up,Leukemia,mouse,Gene
76380,DataSet_252,mouse,ENSG00000153944,Msi2,c-Kit high leukemic cell,Pgk1-rs7,Leukemia,ENSMUSG00000066632.4,82.7338,22.0083,0.0003,up,Leukemia,mouse,Gene
76381,DataSet_252,mouse,ENSG00000153944,Msi2,c-Kit high leukemic cell,Ifi213,Leukemia,ENSMUSG00000073491.12,1768.5612,12.77,0.0,up,Leukemia,mouse,Gene
18359,DataSet_270,mouse,ENSMUSG00000069769,Msi2,c-Kit high leukemic cell,Ifi213,Leukemia,ENSMUSG00000073491.12,1768.5612,12.77,0.0,up,Leukemia,mouse,Gene
18360,DataSet_270,mouse,ENSMUSG00000069769,Msi2,c-Kit high leukemic cell,3830403N18Rik,Leukemia,ENSMUSG00000031125.3,336.8871,-11.8856,0.0,down,Leukemia,mouse,Gene
76382,DataSet_252,mouse,ENSG00000153944,Msi2,c-Kit high leukemic cell,3830403N18Rik,Leukemia,ENSMUSG00000031125.3,336.8871,-11.8856,0.0,down,Leukemia,mouse,Gene
76383,DataSet_252,mouse,ENSG00000153944,Msi2,c-Kit high leukemic cell,Xist,Leukemia,ENSMUSG00000086503.6,39622.6651,-11.3701,0.0,down,Leukemia,mouse,Gene
18361,DataSet_270,mouse,ENSMUSG00000069769,Msi2,c-Kit high leukemic cell,Xist,Leukemia,ENSMUSG00000086503.6,39622.6651,-11.3701,0.0,down,Leukemia,mouse,Gene
18362,DataSet_270,mouse,ENSMUSG00000069769,Msi2,c-Kit high leukemic cell,Gm8210,Leukemia,ENSMUSG00000094497.2,4326.0041,10.591,0.0,up,Leukemia,mouse,Gene
18363,DataSet_270,mouse,ENSMUSG00000069769,Msi2,c-Kit high leukemic cell,Gm13841,Leukemia,ENSMUSG00000083833.5,4326.0041,10.591,0.0,up,Leukemia,mouse,Gene
76384,DataSet_252,mouse,ENSG00000153944,Msi2,c-Kit high leukemic cell,Gm8210,Leukemia,ENSMUSG00000094497.2,4326.0041,10.591,0.0,up,Leukemia,mouse,Gene
76385,DataSet_252,mouse,ENSG00000153944,Msi2,c-Kit high leukemic cell,Gm13841,Leukemia,ENSMUSG00000083833.5,4326.0041,10.591,0.0,up,Leukemia,mouse,Gene
18364,DataSet_270,mouse,ENSMUSG00000069769,Msi2,c-Kit high leukemic cell,Alpi,Leukemia,ENSMUSG00000079440.3,131.1903,-10.5242,0.0,down,Leukemia,mouse,Gene
76386,DataSet_252,mouse,ENSG00000153944,Msi2,c-Kit high leukemic cell,Alpi,Leukemia,ENSMUSG00000079440.3,131.1903,-10.5242,0.0,down,Leukemia,mouse,Gene
76387,DataSet_252,mouse,ENSG00000153944,Msi2,c-Kit high leukemic cell,Fez1,Leukemia,ENSMUSG00000032118.17,102.5595,-10.1701,0.0,down,Leukemia,mouse,Gene
18365,DataSet_270,mouse,ENSMUSG00000069769,Msi2,c-Kit high leukemic cell,Fez1,Leukemia,ENSMUSG00000032118.17,102.5595,-10.1701,0.0,down,Leukemia,mouse,Gene
18366,DataSet_270,mouse,ENSMUSG00000069769,Msi2,c-Kit high leukemic cell,Gm31597,Leukemia,ENSMUSG00000109602.4,99.9031,-10.1309,0.0,down,Leukemia,mouse,Gene
76388,DataSet_252,mouse,ENSG00000153944,Msi2,c-Kit high leukemic cell,Gm31597,Leukemia,ENSMUSG00000109602.4,99.9031,-10.1309,0.0,down,Leukemia,mouse,Gene
76389,DataSet_252,mouse,ENSG00000153944,Msi2,c-Kit high leukemic cell,Slc15a2,Leukemia,ENSMUSG00000022899.11,562.4485,10.0827,0.0,up,Leukemia,mouse,Gene
18367,DataSet_270,mouse,ENSMUSG00000069769,Msi2,c-Kit high leukemic cell,Slc15a2,Leukemia,ENSMUSG00000022899.11,562.4485,10.0827,0.0,up,Leukemia,mouse,Gene
18368,DataSet_270,mouse,ENSMUSG00000069769,Msi2,c-Kit high leukemic cell,Gnasas1,Leukemia,ENSMUSG00000086537.10,83.9189,-9.8801,0.0079,down,Leukemia,mouse,Gene
76390,DataSet_252,mouse,ENSG00000153944,Msi2,c-Kit high leukemic cell,Gnasas1,Leukemia,ENSMUSG00000086537.10,83.9189,-9.8801,0.0079,down,Leukemia,mouse,Gene
76391,DataSet_252,mouse,ENSG00000153944,Msi2,c-Kit high leukemic cell,Ppp1r14c,Leukemia,ENSMUSG00000040653.7,356.3795,-9.524,0.0,down,Leukemia,mouse,Gene
18369,DataSet_270,mouse,ENSMUSG00000069769,Msi2,c-Kit high leukemic cell,Ppp1r14c,Leukemia,ENSMUSG00000040653.7,356.3795,-9.524,0.0,down,Leukemia,mouse,Gene
18370,DataSet_270,mouse,ENSMUSG00000069769,Msi2,c-Kit high leukemic cell,Erdr1x,Leukemia,ENSMUSG00000095562.10,289.6537,-9.2238,0.0,down,Leukemia,mouse,Gene
76392,DataSet_252,mouse,ENSG00000153944,Msi2,c-Kit high leukemic cell,Erdr1x,Leukemia,ENSMUSG00000095562.10,289.6537,-9.2238,0.0,down,Leukemia,mouse,Gene
76393,DataSet_252,mouse,ENSG00000153944,Msi2,c-Kit high leukemic cell,Arhgap28,Leukemia,ENSMUSG00000024043.14,144.3296,-9.2213,0.0,down,Leukemia,mouse,Gene
18371,DataSet_270,mouse,ENSMUSG00000069769,Msi2,c-Kit high leukemic cell,Arhgap28,Leukemia,ENSMUSG00000024043.14,144.3296,-9.2213,0.0,down,Leukemia,mouse,Gene
18372,DataSet_270,mouse,ENSMUSG00000069769,Msi2,c-Kit high leukemic cell,Zfp781b,Leukemia,ENSMUSG00000096718.3,51.4335,-9.1743,0.0,down,Leukemia,mouse,Gene
76394,DataSet_252,mouse,ENSG00000153944,Msi2,c-Kit high leukemic cell,Zfp781b,Leukemia,ENSMUSG00000096718.3,51.4335,-9.1743,0.0,down,Leukemia,mouse,Gene
76395,DataSet_252,mouse,ENSG00000153944,Msi2,c-Kit high leukemic cell,Cryab,Leukemia,ENSMUSG00000032060.11,263.5298,-9.0857,0.0,down,Leukemia,mouse,Gene
18373,DataSet_270,mouse,ENSMUSG00000069769,Msi2,c-Kit high leukemic cell,Cryab,Leukemia,ENSMUSG00000032060.11,263.5298,-9.0857,0.0,down,Leukemia,mouse,Gene
18374,DataSet_270,mouse,ENSMUSG00000069769,Msi2,c-Kit high leukemic cell,Gm28539,Leukemia,ENSMUSG00000099908.2,46.5106,8.9497,0.0,up,Leukemia,mouse,Gene
76396,DataSet_252,mouse,ENSG00000153944,Msi2,c-Kit high leukemic cell,Gm28539,Leukemia,ENSMUSG00000099908.2,46.5106,8.9497,0.0,up,Leukemia,mouse,Gene
76397,DataSet_252,mouse,ENSG00000153944,Msi2,c-Kit high leukemic cell,Erdr1y,Leukemia,ENSMUSG00000096768.11,1579.7739,-8.8992,0.0,down,Leukemia,mouse,Gene
18375,DataSet_270,mouse,ENSMUSG00000069769,Msi2,c-Kit high leukemic cell,Erdr1y,Leukemia,ENSMUSG00000096768.11,1579.7739,-8.8992,0.0,down,Leukemia,mouse,Gene
18376,DataSet_270,mouse,ENSMUSG00000069769,Msi2,c-Kit high leukemic cell,Thap6,Leukemia,ENSMUSG00000102644.8,40.9193,-8.8442,0.0,down,Leukemia,mouse,Gene
76398,DataSet_252,mouse,ENSG00000153944,Msi2,c-Kit high leukemic cell,Thap6,Leukemia,ENSMUSG00000102644.8,40.9193,-8.8442,0.0,down,Leukemia,mouse,Gene
76399,DataSet_252,mouse,ENSG00000153944,Msi2,c-Kit high leukemic cell,Gm28439,Leukemia,ENSMUSG00000100131.2,35.4714,-8.6368,0.0,down,Leukemia,mouse,Gene
18377,DataSet_270,mouse,ENSMUSG00000069769,Msi2,c-Kit high leukemic cell,Gm28439,Leukemia,ENSMUSG00000100131.2,35.4714,-8.6368,0.0,down,Leukemia,mouse,Gene
18378,DataSet_270,mouse,ENSMUSG00000069769,Msi2,c-Kit high leukemic cell,Nog,Leukemia,ENSMUSG00000048616.5,32.8998,-8.5286,0.0,down,Leukemia,mouse,Gene
76400,DataSet_252,mouse,ENSG00000153944,Msi2,c-Kit high leukemic cell,Nog,Leukemia,ENSMUSG00000048616.5,32.8998,-8.5286,0.0,down,Leukemia,mouse,Gene
76402,DataSet_252,mouse,ENSG00000153944,Msi2,c-Kit high leukemic cell,Adgrg7,Leukemia,ENSMUSG00000022755.5,162.6529,-8.3879,0.0003,down,Leukemia,mouse,Gene
18380,DataSet_270,mouse,ENSMUSG00000069769,Msi2,c-Kit high leukemic cell,Adgrg7,Leukemia,ENSMUSG00000022755.5,162.6529,-8.3879,0.0003,down,Leukemia,mouse,Gene
