Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
17958,DataSet_263,mouse,ENSMUSG00000028114,Mettl14,CT26,Gm4294,Mouse colon adenocarcinoma,ENSMUSG00000078377.6,28.2242,-23.0158,0.0,down,Mouse colon adenocarcinoma,mouse,Gene
86895,DataSet_245,mouse,ENSG00000145388,Mettl14,CT26,Gm4294,Mouse colon adenocarcinoma,ENSMUSG00000078377.6,28.2242,-23.0158,0.0,down,Mouse colon adenocarcinoma,mouse,Gene
86896,DataSet_245,mouse,ENSG00000145388,Mettl14,CT26,Rpl7a-ps11,Mouse colon adenocarcinoma,ENSMUSG00000067147.8,69.0274,9.6602,0.0,up,Mouse colon adenocarcinoma,mouse,Gene
17959,DataSet_263,mouse,ENSMUSG00000028114,Mettl14,CT26,Rpl7a-ps11,Mouse colon adenocarcinoma,ENSMUSG00000067147.8,69.0274,9.6602,0.0,up,Mouse colon adenocarcinoma,mouse,Gene
17960,DataSet_263,mouse,ENSMUSG00000028114,Mettl14,CT26,ENSMUSG00000128004,Mouse colon adenocarcinoma,ENSMUSG00000128004.1,213.1997,5.4275,0.0008,up,Mouse colon adenocarcinoma,mouse,Gene
86897,DataSet_245,mouse,ENSG00000145388,Mettl14,CT26,ENSMUSG00000128004,Mouse colon adenocarcinoma,ENSMUSG00000128004.1,213.1997,5.4275,0.0008,up,Mouse colon adenocarcinoma,mouse,Gene
86899,DataSet_245,mouse,ENSG00000145388,Mettl14,CT26,Acta1,Mouse colon adenocarcinoma,ENSMUSG00000031972.6,268.4454,-4.9784,0.0001,down,Mouse colon adenocarcinoma,mouse,Gene
17962,DataSet_263,mouse,ENSMUSG00000028114,Mettl14,CT26,Acta1,Mouse colon adenocarcinoma,ENSMUSG00000031972.6,268.4454,-4.9784,0.0001,down,Mouse colon adenocarcinoma,mouse,Gene
17963,DataSet_263,mouse,ENSMUSG00000028114,Mettl14,CT26,Myh4,Mouse colon adenocarcinoma,ENSMUSG00000057003.13,637.2156,-4.7288,0.0036,down,Mouse colon adenocarcinoma,mouse,Gene
86900,DataSet_245,mouse,ENSG00000145388,Mettl14,CT26,Myh4,Mouse colon adenocarcinoma,ENSMUSG00000057003.13,637.2156,-4.7288,0.0036,down,Mouse colon adenocarcinoma,mouse,Gene
86901,DataSet_245,mouse,ENSG00000145388,Mettl14,CT26,Myh1,Mouse colon adenocarcinoma,ENSMUSG00000056328.15,196.1019,-4.6464,0.0,down,Mouse colon adenocarcinoma,mouse,Gene
17964,DataSet_263,mouse,ENSMUSG00000028114,Mettl14,CT26,Myh1,Mouse colon adenocarcinoma,ENSMUSG00000056328.15,196.1019,-4.6464,0.0,down,Mouse colon adenocarcinoma,mouse,Gene
17965,DataSet_263,mouse,ENSMUSG00000028114,Mettl14,CT26,Tnnc2,Mouse colon adenocarcinoma,ENSMUSG00000017300.10,44.1143,-4.5698,0.0258,down,Mouse colon adenocarcinoma,mouse,Gene
86902,DataSet_245,mouse,ENSG00000145388,Mettl14,CT26,Tnnc2,Mouse colon adenocarcinoma,ENSMUSG00000017300.10,44.1143,-4.5698,0.0258,down,Mouse colon adenocarcinoma,mouse,Gene
86903,DataSet_245,mouse,ENSG00000145388,Mettl14,CT26,ENSMUSG00000133096,Mouse colon adenocarcinoma,ENSMUSG00000133096.1,75.1774,4.5308,0.0036,up,Mouse colon adenocarcinoma,mouse,Gene
