Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
20133,DataSet_307,mouse,ENSMUSG00000011171,Vipr2,Panc02,Prr32,Mouse pancreatic ductal adenocarcinoma,ENSMUSG00000037086.4,45.4303,-8.048,0.0074,down,Mouse pancreatic ductal adenocarcinoma,mouse,Gene
20134,DataSet_307,mouse,ENSMUSG00000011171,Vipr2,Panc02,Mamdc2,Mouse pancreatic ductal adenocarcinoma,ENSMUSG00000033207.8,16.5799,-7.5593,0.0001,down,Mouse pancreatic ductal adenocarcinoma,mouse,Gene
20135,DataSet_307,mouse,ENSMUSG00000011171,Vipr2,Panc02,4930524C18Rik,Mouse pancreatic ductal adenocarcinoma,ENSMUSG00000115320.3,12.6385,-7.1677,0.0,down,Mouse pancreatic ductal adenocarcinoma,mouse,Gene
20136,DataSet_307,mouse,ENSMUSG00000011171,Vipr2,Panc02,C4bp,Mouse pancreatic ductal adenocarcinoma,ENSMUSG00000026405.15,88.3345,6.9989,0.0055,up,Mouse pancreatic ductal adenocarcinoma,mouse,Gene
20137,DataSet_307,mouse,ENSMUSG00000011171,Vipr2,Panc02,Gm32857,Mouse pancreatic ductal adenocarcinoma,ENSMUSG00000115536.3,9.5558,-6.7644,0.0006,down,Mouse pancreatic ductal adenocarcinoma,mouse,Gene
20138,DataSet_307,mouse,ENSMUSG00000011171,Vipr2,Panc02,Orm1,Mouse pancreatic ductal adenocarcinoma,ENSMUSG00000039196.3,9.6089,6.6626,0.0007,up,Mouse pancreatic ductal adenocarcinoma,mouse,Gene
20139,DataSet_307,mouse,ENSMUSG00000011171,Vipr2,Panc02,Pmfbp1,Mouse pancreatic ductal adenocarcinoma,ENSMUSG00000031727.9,8.446,6.4864,0.0003,up,Mouse pancreatic ductal adenocarcinoma,mouse,Gene
20140,DataSet_307,mouse,ENSMUSG00000011171,Vipr2,Panc02,ENSMUSG00000134344,Mouse pancreatic ductal adenocarcinoma,ENSMUSG00000134344.1,7.6877,-6.4505,0.0014,down,Mouse pancreatic ductal adenocarcinoma,mouse,Gene
20141,DataSet_307,mouse,ENSMUSG00000011171,Vipr2,Panc02,Gm20402,Mouse pancreatic ductal adenocarcinoma,ENSMUSG00000092405.2,7.4894,-6.4132,0.0012,down,Mouse pancreatic ductal adenocarcinoma,mouse,Gene
20142,DataSet_307,mouse,ENSMUSG00000011171,Vipr2,Panc02,Rtl3,Mouse pancreatic ductal adenocarcinoma,ENSMUSG00000047686.10,15.2714,6.3563,0.0005,up,Mouse pancreatic ductal adenocarcinoma,mouse,Gene
20143,DataSet_307,mouse,ENSMUSG00000011171,Vipr2,Panc02,Gm38110,Mouse pancreatic ductal adenocarcinoma,ENSMUSG00000103071.2,12.8576,6.1094,0.0003,up,Mouse pancreatic ductal adenocarcinoma,mouse,Gene
20144,DataSet_307,mouse,ENSMUSG00000011171,Vipr2,Panc02,Cxcl15,Mouse pancreatic ductal adenocarcinoma,ENSMUSG00000029375.7,12.7502,6.0919,0.0024,up,Mouse pancreatic ductal adenocarcinoma,mouse,Gene
20145,DataSet_307,mouse,ENSMUSG00000011171,Vipr2,Panc02,Tspan11,Mouse pancreatic ductal adenocarcinoma,ENSMUSG00000030351.6,33.3118,-6.0534,0.0,down,Mouse pancreatic ductal adenocarcinoma,mouse,Gene
20146,DataSet_307,mouse,ENSMUSG00000011171,Vipr2,Panc02,Il5ra,Mouse pancreatic ductal adenocarcinoma,ENSMUSG00000005364.12,21.527,-6.0524,0.0,down,Mouse pancreatic ductal adenocarcinoma,mouse,Gene
