Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
2467,DataSet_18,mouse,ENSMUSG00000038762,Abcf1,Mouse embryonic fibroblast,Gm25890,Normal,ENSMUSG00000118698.1,333.9555,-25.4486,0.0032,down,Normal,mouse,Gene
64282,DataSet_17,mouse,ENSG00000204574,Abcf1,Mouse embryonic fibroblast,Gm25890,Normal,ENSMUSG00000118698.1,333.9555,-25.4486,0.0032,down,Normal,mouse,Gene
64283,DataSet_17,mouse,ENSG00000204574,Abcf1,Mouse embryonic fibroblast,Snord80,Normal,ENSMUSG00002075950.1,135.9805,-24.2137,0.0032,down,Normal,mouse,Gene
2468,DataSet_18,mouse,ENSMUSG00000038762,Abcf1,Mouse embryonic fibroblast,Snord80,Normal,ENSMUSG00002075950.1,135.9805,-24.2137,0.0032,down,Normal,mouse,Gene
2469,DataSet_18,mouse,ENSMUSG00000038762,Abcf1,Mouse embryonic fibroblast,Gm25964,Normal,ENSMUSG00000087796.3,111.2093,-23.9482,0.0032,down,Normal,mouse,Gene
64284,DataSet_17,mouse,ENSG00000204574,Abcf1,Mouse embryonic fibroblast,Gm25964,Normal,ENSMUSG00000087796.3,111.2093,-23.9482,0.0032,down,Normal,mouse,Gene
2471,DataSet_18,mouse,ENSMUSG00000038762,Abcf1,Mouse embryonic fibroblast,Gm54611,Normal,ENSMUSG00002075983.1,143.779,23.9439,0.0032,up,Normal,mouse,Gene
2470,DataSet_18,mouse,ENSMUSG00000038762,Abcf1,Mouse embryonic fibroblast,Gm54521,Normal,ENSMUSG00002075625.1,143.779,23.9439,0.0032,up,Normal,mouse,Gene
64286,DataSet_17,mouse,ENSG00000204574,Abcf1,Mouse embryonic fibroblast,Gm54611,Normal,ENSMUSG00002075983.1,143.779,23.9439,0.0032,up,Normal,mouse,Gene
64287,DataSet_17,mouse,ENSG00000204574,Abcf1,Mouse embryonic fibroblast,Gm54587,Normal,ENSMUSG00002076451.1,143.779,23.9439,0.0032,up,Normal,mouse,Gene
2472,DataSet_18,mouse,ENSMUSG00000038762,Abcf1,Mouse embryonic fibroblast,Gm54587,Normal,ENSMUSG00002076451.1,143.779,23.9439,0.0032,up,Normal,mouse,Gene
64285,DataSet_17,mouse,ENSG00000204574,Abcf1,Mouse embryonic fibroblast,Gm54521,Normal,ENSMUSG00002075625.1,143.779,23.9439,0.0032,up,Normal,mouse,Gene
64288,DataSet_17,mouse,ENSG00000204574,Abcf1,Mouse embryonic fibroblast,Pgk1-rs7,Normal,ENSMUSG00000066632.4,81.7586,-23.5292,0.0043,down,Normal,mouse,Gene
2473,DataSet_18,mouse,ENSMUSG00000038762,Abcf1,Mouse embryonic fibroblast,Pgk1-rs7,Normal,ENSMUSG00000066632.4,81.7586,-23.5292,0.0043,down,Normal,mouse,Gene
2474,DataSet_18,mouse,ENSMUSG00000038762,Abcf1,Mouse embryonic fibroblast,Gm25142,Normal,ENSMUSG00000064632.3,133.1696,6.616,0.0032,up,Normal,mouse,Gene
64289,DataSet_17,mouse,ENSG00000204574,Abcf1,Mouse embryonic fibroblast,Gm25142,Normal,ENSMUSG00000064632.3,133.1696,6.616,0.0032,up,Normal,mouse,Gene
3645,DataSet_39,mouse,ENSMUSG00000027951,Adar,Fetal Liver cells,Fam177a2,Normal,ENSMUSG00000094103.3,130.5666,-23.8452,0.0001,down,Normal,mouse,Gene
93281,DataSet_35,mouse,ENSG00000160710,Adar,Fetal Liver cells,Fam177a2,Normal,ENSMUSG00000094103.3,130.5666,-23.8452,0.0001,down,Normal,mouse,Gene
93282,DataSet_35,mouse,ENSG00000160710,Adar,Fetal Liver cells,Tpt1-ps3,Normal,ENSMUSG00000084319.4,151.0068,-10.6645,0.002,down,Normal,mouse,Gene
3646,DataSet_39,mouse,ENSMUSG00000027951,Adar,Fetal Liver cells,Tpt1-ps3,Normal,ENSMUSG00000084319.4,151.0068,-10.6645,0.002,down,Normal,mouse,Gene
3647,DataSet_39,mouse,ENSMUSG00000027951,Adar,Fetal Liver cells,Xist,Normal,ENSMUSG00000086503.6,12938.7689,10.2652,0.0232,up,Normal,mouse,Gene
93283,DataSet_35,mouse,ENSG00000160710,Adar,Fetal Liver cells,Xist,Normal,ENSMUSG00000086503.6,12938.7689,10.2652,0.0232,up,Normal,mouse,Gene
93284,DataSet_35,mouse,ENSG00000160710,Adar,Fetal Liver cells,2210418O10Rik,Normal,ENSMUSG00000078894.10,105.4346,-10.1493,0.0,down,Normal,mouse,Gene
3648,DataSet_39,mouse,ENSMUSG00000027951,Adar,Fetal Liver cells,2210418O10Rik,Normal,ENSMUSG00000078894.10,105.4346,-10.1493,0.0,down,Normal,mouse,Gene
3649,DataSet_39,mouse,ENSMUSG00000027951,Adar,Fetal Liver cells,Oas3,Normal,ENSMUSG00000032661.10,1521.3239,9.7997,0.0,up,Normal,mouse,Gene
93285,DataSet_35,mouse,ENSG00000160710,Adar,Fetal Liver cells,Oas3,Normal,ENSMUSG00000032661.10,1521.3239,9.7997,0.0,up,Normal,mouse,Gene
2484,DataSet_22,mouse,ENSMUSG00000027951,Adar,Liver,Xist,Normal,ENSMUSG00000086503.6,3217.5175,-9.5872,0.0031,down,Normal,mouse,Gene
2485,DataSet_22,mouse,ENSMUSG00000027951,Adar,Liver,Commd1b,Normal,ENSMUSG00000098650.2,54.0103,-9.3673,0.0,down,Normal,mouse,Gene
93287,DataSet_35,mouse,ENSG00000160710,Adar,Fetal Liver cells,Oas1g,Normal,ENSMUSG00000066861.15,164.9405,8.597,0.0004,up,Normal,mouse,Gene
3651,DataSet_39,mouse,ENSMUSG00000027951,Adar,Fetal Liver cells,Oas1g,Normal,ENSMUSG00000066861.15,164.9405,8.597,0.0004,up,Normal,mouse,Gene
3652,DataSet_39,mouse,ENSMUSG00000027951,Adar,Fetal Liver cells,Gm28539,Normal,ENSMUSG00000099908.2,30.5496,-8.3527,0.0001,down,Normal,mouse,Gene
93288,DataSet_35,mouse,ENSG00000160710,Adar,Fetal Liver cells,Gm28539,Normal,ENSMUSG00000099908.2,30.5496,-8.3527,0.0001,down,Normal,mouse,Gene
93289,DataSet_35,mouse,ENSG00000160710,Adar,Fetal Liver cells,Klk1b22,Normal,ENSMUSG00000060177.7,30.5361,-8.3506,0.0001,down,Normal,mouse,Gene
3653,DataSet_39,mouse,ENSMUSG00000027951,Adar,Fetal Liver cells,Klk1b22,Normal,ENSMUSG00000060177.7,30.5361,-8.3506,0.0001,down,Normal,mouse,Gene
3654,DataSet_39,mouse,ENSMUSG00000027951,Adar,Fetal Liver cells,Mx2,Normal,ENSMUSG00000023341.17,56.9901,7.9082,0.0004,up,Normal,mouse,Gene
93290,DataSet_35,mouse,ENSG00000160710,Adar,Fetal Liver cells,Mx2,Normal,ENSMUSG00000023341.17,56.9901,7.9082,0.0004,up,Normal,mouse,Gene
93291,DataSet_35,mouse,ENSG00000160710,Adar,Fetal Liver cells,Gm11007,Normal,ENSMUSG00000094475.9,21.3901,7.8987,0.0005,up,Normal,mouse,Gene
3655,DataSet_39,mouse,ENSMUSG00000027951,Adar,Fetal Liver cells,Gm11007,Normal,ENSMUSG00000094475.9,21.3901,7.8987,0.0005,up,Normal,mouse,Gene
3656,DataSet_39,mouse,ENSMUSG00000027951,Adar,Fetal Liver cells,Sp100,Normal,ENSMUSG00000026222.17,888.6643,7.8848,0.0,up,Normal,mouse,Gene
93292,DataSet_35,mouse,ENSG00000160710,Adar,Fetal Liver cells,Sp100,Normal,ENSMUSG00000026222.17,888.6643,7.8848,0.0,up,Normal,mouse,Gene
93293,DataSet_35,mouse,ENSG00000160710,Adar,Fetal Liver cells,Oas1a,Normal,ENSMUSG00000052776.11,591.7295,7.8596,0.0,up,Normal,mouse,Gene
3657,DataSet_39,mouse,ENSMUSG00000027951,Adar,Fetal Liver cells,Oas1a,Normal,ENSMUSG00000052776.11,591.7295,7.8596,0.0,up,Normal,mouse,Gene
3658,DataSet_39,mouse,ENSMUSG00000027951,Adar,Fetal Liver cells,Gm2412,Normal,ENSMUSG00000112186.2,19.8955,-7.7355,0.0008,down,Normal,mouse,Gene
93294,DataSet_35,mouse,ENSG00000160710,Adar,Fetal Liver cells,Gm2412,Normal,ENSMUSG00000112186.2,19.8955,-7.7355,0.0008,down,Normal,mouse,Gene
93295,DataSet_35,mouse,ENSG00000160710,Adar,Fetal Liver cells,Rtp4,Normal,ENSMUSG00000033355.7,506.6343,7.7116,0.0,up,Normal,mouse,Gene
3659,DataSet_39,mouse,ENSMUSG00000027951,Adar,Fetal Liver cells,Rtp4,Normal,ENSMUSG00000033355.7,506.6343,7.7116,0.0,up,Normal,mouse,Gene
3660,DataSet_39,mouse,ENSMUSG00000027951,Adar,Fetal Liver cells,Esm1,Normal,ENSMUSG00000042379.9,16.359,7.5124,0.0023,up,Normal,mouse,Gene
