Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
102424,DataSet_214,mouse,ENSG00000015479,Matr3,Jurkat,Spi1,T-cell acute lymphoblastic leukemia,ENSMUSG00000002111.10,52.1791,9.025,0.0,up,T-cell acute lymphoblastic leukemia,mouse,Gene
102425,DataSet_214,mouse,ENSG00000015479,Matr3,Jurkat,Gm49450,T-cell acute lymphoblastic leukemia,ENSMUSG00000116358.2,26.5038,8.0451,0.0001,up,T-cell acute lymphoblastic leukemia,mouse,Gene
102426,DataSet_214,mouse,ENSG00000015479,Matr3,Jurkat,Zeb2,T-cell acute lymphoblastic leukemia,ENSMUSG00000026872.19,15.5731,7.2751,0.0025,up,T-cell acute lymphoblastic leukemia,mouse,Gene
102427,DataSet_214,mouse,ENSG00000015479,Matr3,Jurkat,Mpo,T-cell acute lymphoblastic leukemia,ENSMUSG00000009350.14,12.5602,6.9728,0.0057,up,T-cell acute lymphoblastic leukemia,mouse,Gene
102428,DataSet_214,mouse,ENSG00000015479,Matr3,Jurkat,Dach1,T-cell acute lymphoblastic leukemia,ENSMUSG00000055639.17,26.7898,6.5989,0.0039,up,T-cell acute lymphoblastic leukemia,mouse,Gene
102430,DataSet_214,mouse,ENSG00000015479,Matr3,Jurkat,Mest,T-cell acute lymphoblastic leukemia,ENSMUSG00000051855.16,8.5615,6.4163,0.0364,up,T-cell acute lymphoblastic leukemia,mouse,Gene
102431,DataSet_214,mouse,ENSG00000015479,Matr3,Jurkat,Gm50163,T-cell acute lymphoblastic leukemia,ENSMUSG00000118030.3,17.3951,5.9759,0.0225,up,T-cell acute lymphoblastic leukemia,mouse,Gene
102432,DataSet_214,mouse,ENSG00000015479,Matr3,Jurkat,Runx2,T-cell acute lymphoblastic leukemia,ENSMUSG00000039153.18,20.6211,4.1637,0.0047,up,T-cell acute lymphoblastic leukemia,mouse,Gene
102433,DataSet_214,mouse,ENSG00000015479,Matr3,Jurkat,Cebpa,T-cell acute lymphoblastic leukemia,ENSMUSG00000034957.11,30.0075,3.891,0.0005,up,T-cell acute lymphoblastic leukemia,mouse,Gene
102437,DataSet_214,mouse,ENSG00000015479,Matr3,Jurkat,Aplp2,T-cell acute lymphoblastic leukemia,ENSMUSG00000031996.18,39.2253,2.9142,0.001,up,T-cell acute lymphoblastic leukemia,mouse,Gene
