Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,baseMean,log2FC,padj,Change,_disease,_species,_type
247,DataSet_193,mouse,Dgcr8,Cortex,mmu-miR-5099,Normal,127.83789768909,-23.7511176818189,7.31953007667977e-06,Down,Normal,mouse,miRNA
406,DataSet_124,mouse,Dgcr8,Cortex,mmu-miR-5099,Normal,127.83789768909,-23.7511176818189,7.31953007667977e-06,Down,Normal,mouse,miRNA
407,DataSet_124,mouse,Dgcr8,Cortex,mmu-miR-99b-5p,Normal,9815.92501302243,16.8064415105266,2.71434373830291e-29,Up,Normal,mouse,miRNA
248,DataSet_193,mouse,Dgcr8,Cortex,mmu-miR-99b-5p,Normal,9815.92501302243,16.8064415105266,2.71434373830291e-29,Up,Normal,mouse,miRNA
249,DataSet_193,mouse,Dgcr8,Cortex,mmu-miR-99a-5p,Normal,323.031370688271,11.8809496452834,2.16342573713365e-14,Up,Normal,mouse,miRNA
408,DataSet_124,mouse,Dgcr8,Cortex,mmu-miR-99a-5p,Normal,323.031370688271,11.8809496452834,2.16342573713365e-14,Up,Normal,mouse,miRNA
409,DataSet_124,mouse,Dgcr8,Cortex,mmu-miR-3473a,Normal,149.258267263737,10.768654340795,7.69247849398478e-11,Up,Normal,mouse,miRNA
250,DataSet_193,mouse,Dgcr8,Cortex,mmu-miR-3473a,Normal,149.258267263737,10.768654340795,7.69247849398478e-11,Up,Normal,mouse,miRNA
251,DataSet_193,mouse,Dgcr8,Cortex,mmu-miR-133a-5p,Normal,74.5690183140293,9.76750643413744,7.47840562385749e-09,Up,Normal,mouse,miRNA
410,DataSet_124,mouse,Dgcr8,Cortex,mmu-miR-133a-5p,Normal,74.5690183140293,9.76750643413744,7.47840562385749e-09,Up,Normal,mouse,miRNA
411,DataSet_124,mouse,Dgcr8,Cortex,mmu-miR-485-5p,Normal,37.2214329493365,-8.56430231725599,0.0645942413516495,Down,Normal,mouse,miRNA
252,DataSet_193,mouse,Dgcr8,Cortex,mmu-miR-485-5p,Normal,37.2214329493365,-8.56430231725599,0.0645942413516495,Down,Normal,mouse,miRNA
253,DataSet_193,mouse,Dgcr8,Cortex,mmu-miR-324-5p,Normal,31.6878304566128,8.53197845689932,0.0665971247750251,Up,Normal,mouse,miRNA
412,DataSet_124,mouse,Dgcr8,Cortex,mmu-miR-324-5p,Normal,31.6878304566128,8.53197845689932,0.0665971247750251,Up,Normal,mouse,miRNA
413,DataSet_124,mouse,Dgcr8,Cortex,mmu-miR-6546-5p,Normal,31.7778742407715,-8.33557456244663,1.45727964327232e-05,Down,Normal,mouse,miRNA
254,DataSet_193,mouse,Dgcr8,Cortex,mmu-miR-6546-5p,Normal,31.7778742407715,-8.33557456244663,1.45727964327232e-05,Down,Normal,mouse,miRNA
255,DataSet_193,mouse,Dgcr8,Cortex,mmu-miR-1843a-5p,Normal,26.4655144099946,-8.07184890130949,3.37674791712001e-05,Down,Normal,mouse,miRNA
414,DataSet_124,mouse,Dgcr8,Cortex,mmu-miR-1843a-5p,Normal,26.4655144099946,-8.07184890130949,3.37674791712001e-05,Down,Normal,mouse,miRNA
415,DataSet_124,mouse,Dgcr8,Cortex,mmu-miR-6899-5p,Normal,5.10418596082013,5.89602395419325,0.0833750222808431,Up,Normal,mouse,miRNA
256,DataSet_193,mouse,Dgcr8,Cortex,mmu-miR-6899-5p,Normal,5.10418596082013,5.89602395419325,0.0833750222808431,Up,Normal,mouse,miRNA
257,DataSet_193,mouse,Dgcr8,Cortex,mmu-miR-3104-5p,Normal,4.96714372409764,5.85526488695145,0.0961342193373367,Up,Normal,mouse,miRNA
416,DataSet_124,mouse,Dgcr8,Cortex,mmu-miR-3104-5p,Normal,4.96714372409764,5.85526488695145,0.0961342193373367,Up,Normal,mouse,miRNA
417,DataSet_124,mouse,Dgcr8,Cortex,mmu-miR-376a-5p,Normal,5.3725016663789,-5.77153353270276,0.0833750222808431,Down,Normal,mouse,miRNA
