Index,DataSetID,species,RBPID,RBPSYMBOL,CELLLINE,Genesymbol,Disease,GeneID,baseMean,log2FC,padj,Change,_disease,_species,_type
116,DataSet_156,mouse,ENSMUSG00000005610,Eif4g2,NIH3T3,Chst7,Normal,ENSMUSG00000037347.8,215.8858,10.0112,0.0052,up,Normal,mouse,Translation
101,DataSet_155,mouse,ENSMUSG00000005610,Eif4g2,NIH3T3,Gm24145,Normal,ENSMUSG00000064565.3,1.8309,-8.7555,0.0408,down,Normal,mouse,Translation
102,DataSet_155,mouse,ENSMUSG00000005610,Eif4g2,NIH3T3,Gm26110,Normal,ENSMUSG00000065905.3,2.2673,-8.4746,0.0233,down,Normal,mouse,Translation
103,DataSet_155,mouse,ENSMUSG00000005610,Eif4g2,NIH3T3,Gm24041,Normal,ENSMUSG00000065049.4,0.7788,-8.4092,0.0233,down,Normal,mouse,Translation
104,DataSet_155,mouse,ENSMUSG00000005610,Eif4g2,NIH3T3,Gm22739,Normal,ENSMUSG00000065371.3,1.6558,-8.0608,0.0233,down,Normal,mouse,Translation
105,DataSet_155,mouse,ENSMUSG00000005610,Eif4g2,NIH3T3,Gm26146,Normal,ENSMUSG00000077666.4,0.6938,-7.8401,0.0408,down,Normal,mouse,Translation
106,DataSet_155,mouse,ENSMUSG00000005610,Eif4g2,NIH3T3,Gm23405,Normal,ENSMUSG00000064476.4,0.8121,-7.6441,0.0408,down,Normal,mouse,Translation
818,DataSet_336,mouse,ENSMUSG00000028790,Khdrbs1,mESC,Krt222,Normal,ENSMUSG00000035849.15,3.1896,7.5068,0.0025,up,Normal,mouse,Translation
718,DataSet_335,mouse,ENSMUSG00000028790,Khdrbs1,mESC,ENSMUSG00000085423,Normal,ENSMUSG00000085423.2,0.0228,-6.9922,0.0006,down,Normal,mouse,Translation
719,DataSet_335,mouse,ENSMUSG00000028790,Khdrbs1,mESC,ENSMUSG00000086324,Normal,ENSMUSG00000086324.11,0.0021,-6.926,0.0021,down,Normal,mouse,Translation
819,DataSet_336,mouse,ENSMUSG00000028790,Khdrbs1,mESC,Gpnmb,Normal,ENSMUSG00000029816.11,1.413,6.8224,0.001,up,Normal,mouse,Translation
720,DataSet_335,mouse,ENSMUSG00000028790,Khdrbs1,mESC,ENSMUSG00000104999,Normal,ENSMUSG00000104999.2,0.1072,-6.7811,0.0012,down,Normal,mouse,Translation
820,DataSet_336,mouse,ENSMUSG00000028790,Khdrbs1,mESC,Mir6240,Normal,ENSMUSG00000098343.3,132.3511,-6.3813,0.0459,down,Normal,mouse,Translation
821,DataSet_336,mouse,ENSMUSG00000028790,Khdrbs1,mESC,Il18r1,Normal,ENSMUSG00000026070.17,1.7195,6.3328,0.0094,up,Normal,mouse,Translation
822,DataSet_336,mouse,ENSMUSG00000028790,Khdrbs1,mESC,Pou2f2,Normal,ENSMUSG00000008496.20,10.0737,6.1891,0.0002,up,Normal,mouse,Translation
721,DataSet_335,mouse,ENSMUSG00000028790,Khdrbs1,mESC,ENSMUSG00000117682,Normal,ENSMUSG00000117682.2,0.0466,-6.1141,0.0006,down,Normal,mouse,Translation
823,DataSet_336,mouse,ENSMUSG00000028790,Khdrbs1,mESC,Rgsl1,Normal,ENSMUSG00000042641.20,0.8757,6.0546,0.0258,up,Normal,mouse,Translation
722,DataSet_335,mouse,ENSMUSG00000028790,Khdrbs1,mESC,ENSMUSG00000106604,Normal,ENSMUSG00000106604.3,0.0928,-5.8655,0.017,down,Normal,mouse,Translation
723,DataSet_335,mouse,ENSMUSG00000028790,Khdrbs1,mESC,Mir6236,Normal,ENSMUSG00000098973.3,1.2802,-5.8588,0.0006,down,Normal,mouse,Translation
826,DataSet_336,mouse,ENSMUSG00000028790,Khdrbs1,mESC,Cldn11,Normal,ENSMUSG00000037625.8,0.1491,5.8416,0.0002,up,Normal,mouse,Translation
724,DataSet_335,mouse,ENSMUSG00000028790,Khdrbs1,mESC,ENSMUSG00000142590,Normal,ENSMUSG00000142590.1,0.0804,-5.8155,0.0048,down,Normal,mouse,Translation
827,DataSet_336,mouse,ENSMUSG00000028790,Khdrbs1,mESC,Stac,Normal,ENSMUSG00000032502.9,0.0937,5.7474,0.0001,up,Normal,mouse,Translation
725,DataSet_335,mouse,ENSMUSG00000028790,Khdrbs1,mESC,ENSMUSG00000103885,Normal,ENSMUSG00000103885.2,0.4215,-5.6282,0.0001,down,Normal,mouse,Translation
828,DataSet_336,mouse,ENSMUSG00000028790,Khdrbs1,mESC,ENSMUSG00000136278,Normal,ENSMUSG00000136278.1,1.3489,5.6085,0.0007,up,Normal,mouse,Translation
727,DataSet_335,mouse,ENSMUSG00000028790,Khdrbs1,mESC,ENSMUSG00000117000,Normal,ENSMUSG00000117000.3,0.2611,-5.5618,0.0005,down,Normal,mouse,Translation
829,DataSet_336,mouse,ENSMUSG00000028790,Khdrbs1,mESC,Tmc3,Normal,ENSMUSG00000038540.15,0.2564,5.5144,0.0039,up,Normal,mouse,Translation
