PMID,Gene Name,Gene Type,Cell Name,Cell Type,Tissue Type,Experiment Type,Experimental Method,Title,Description of Gene,Interacting Gene,CellOntologyID
7503811,FUS,I Marker,Liposarcoma cell,Cancer cell,Adipose,low-throughput,Western blot,Fusion of the dominant negative transcription regulator CHOP with a novel gene FUS by translocation t(12;17) in malignant liposarcoma,"FUS, which can result in fusion of the FUS glycine-rich protein with the whole CHOP coding region.",DDIT3,
15252308,MUC2,I Marker,Sinonasal adenocarcinomas cell,Cancer cell,Respiratory tract,low-throughput,Immunohistochemistry;Microscopic observation,Immunophenotypic Differences Between Intestinal-type and Low-grade Papillary Sinonasal Adenocarcinomas,"Antibodies to CDX2, a transcription factor gene highly specific for intestinal adenocarcinomas, MUC2, a mucin gene expressed in adenocarcinomas from various sites, and cytokeratins (CK) 7 and 20 were used to examine the two groups of tumors.",KRT20;KRT7,
15543136,SMARCA5,I Marker,Hela cell,Cancer cell,Uterus,low-throughput,Western blot;Immunofluorescent staining;Flow cytometry;qRT-PCR,The Williams syndrome transcription factor interacts  with PCNA to target chromatin remodelling by ISWI to replication foci,"RNA-interference-mediated depletion of WSTF or SNF2H causes a compaction of newly replicated chromatin and increases the amount of heterochromatin markers, including HP1β.",BAZ1B;PCNA,
15958583,NES,I Marker,Stem cell,Cancer cell,Blood vessel,low-throughput,Immunofluorescent staining;Microscopic observation;Immunohistochemistry,Nestin-linked green fluorescent protein transgenic nude mouse for imaging human tumor angiogenesis,We have recently shown that the neural stem cell marker NESTIN is expressed in hair follicle stem cells and blood vessel networks in the skin of C57/B6 transgenic mice with NESTIN regulatory element-driven green fluorescent protein (ND-GFP).,,CL_0000034
16103077,CA9,I Marker,Stem cell,Cancer cell,Colon,low-throughput + high-throughput,Immunoblotting;Flow cytometry;Survival analysis,Reduced expression of hypoxia-inducible factor-1alpha in perinecrotic regions of solid tumors,CA9 is the marker expressed in Cancer stem cell  regulated by HIF1A,HIF1A,CL_0000034
16103077,CA9,I Marker,Stem cell,Cancer cell,Colon,low-throughput + high-throughput,Immunoblotting;Flow cytometry;Survival analysis,Reduced expression of hypoxia-inducible factor-1alpha in perinecrotic regions of solid tumors,CAIX is the marker expressed in Cancer stem cell  regulated by HIF1A,HIF1A,CL_0000034
16500746,PECAM1,I Marker,Stem cell,Cancer cell,Blood vessel,low-throughput,Immunofluorescent staining;Microscopic observation;Immunohistochemistry,Dual-color imaging of nascent blood vessels vascularizing pancreatic cancer in an orthotopic model demonstrates antiangiogenesis efficacy of gemcitabine,Results of immunohistochemical staining showed that CD31 co-localized in ND-GFPexpressing nascent blood vessels.,NES,CL_0000034
16981245,MKI67,I Marker,Stomach carcinoma cell,Cancer cell,Stomach,low-throughput + high-throughput,Western blot;Immunohistochemistry;;Immunofluorescent staining;Microscopic observation,C/EBPbeta is over-expressed in gastric carcinogenesis andis associated with COX-2 expression,"C/EBPbeta and KI67, a marker of cell proliferation, were also co-expressedin primary GC.",CEBPA,CL_0001064
17418866,PECAM1,I Marker,Stem cell,Cancer cell,Blood vessel,low-throughput,Immunohistochemistry;Immunofluorescent staining,Dual-color imaging of angiogenesis and its inhibition in bone and soft tissue sarcoma,Immunohistochemical staining in a sister frozen section shows CD31 co-localizing with ND-GFP in blood vessels in the growing tumor.,NES,CL_0000034
17465193,NES,I Marker,Stem cell,Cancer cell,Blood vessel,low-throughput + high-throughput, Immunohistochemistry;Immunofluorescent staining,The camptothecin derivative CPT-11 inhibits angiogenesis in a dual-color imageable orthotopic metastatic nude mouse model of human colon cancer,"Recent studies have shown the expression of a stem cell marker protein, NESTIN, in nascent blood vessels.",PECAM1,CL_0000034
17465193,PECAM1,I Marker,Endothelial cell,Cancer cell,Colon,low-throughput + high-throughput, Immunohistochemistry;Immunofluorescent staining,The camptothecin derivative CPT-11 inhibits angiogenesis in a dual-color imageable orthotopic metastatic nude mouse model of human colon cancer,The nascent blood vessels showed co-localization of the endothelial-cell-specific marker CD-31 under immunohistochemical staining.,NES,CL_0000115
18317352,ENG,I Marker,Endothelial cell,Cancer cell,Blood vessel,low-throughput,Immunohistological Staining,Heterogeneous tumor vasculature in retinoblastoma: implications for vessel targeting therapy,Total microvessel density was detected by staining endothelial cells using a lectin from Bandeira simplicifolia; novel vasculature was detected with the endothelial cell marker endoglin (CD105).,VEGFA,CL_0000115
18371365,PROM1,I Marker,Stem cell,Cancer cell,Pancreas,low-throughput,Microscopic observation;Immunohistochemistry;Flow cytometry;Immunofluorescent staining,Distinct populations of cancer stem cells determine tumor growth and metastatic activity in human pancreatic cancer,"In conclusion, we demonstrate that a subpopulation of migrating CD133(+) CXCR4(+) cancer stem cells is essential for tumor metastasis.",CXCR4,CL_0000034
18602000,GSK3B,I Marker,Melanocytes cell,Cancer cell,Skin,low-throughput,RT-PCR;qRT-PCR;Western blot;Immunofluorescent staining,GSK3β inhibition promotes melanogenesis in mouse B16 Melanoma cells and normal Human melanocytes,"Glycogen synthase kinase 3β (GSK3β) is implicated in many biological events, including embryonic development, cell differentiation, apoptosis, and the insulin response. GSK3β also plays a key role in the Wnt/β-catenin pathway.GSK3β is implicated in the regulation of melanogenesis and that pharmacological inhibition of its activity could increase melanin synthesis through mechanisms probably not restricted to Wnt/β-catenin pathway activation",,
18753972,SF1,I Marker,ovarian cell,Cancer cell,Uterus,low-throughput,Immunohistochemistry;Microscopic observation,SF-1 is a diagnostically useful immunohistochemical marker and comparable to other sex cord-stromal tumor markers for the differential diagnosis of ovarian sertoli cell tumor,"We conclude that for the differential diagnosis with endometrioid tumors and carcinoid of the ovary, SF-1 is a sensitive and specific immunohistochemical marker for Sertoli cell tumor and that SF-1 is diagnostically comparable with other good sex cord-stromal markers.",WT1,
18850008,JUN,I Marker,Stem cell,Cancer cell,Breast,low-throughput,Weston blot;Gene knock down,An autoregulatory loop mediated by miR-21 and PDCD4 controls the AP-1 activity in RAS transformation,Our data reveal a novel mechanism of positive autoregulation of the AP-1 complex in RAS transformation and disclose the function of oncomirs as critical targets and regulators of AP-1 in tumorigenesis.,PDCD4,CL_0000034
18928543,IGFBP4,I Marker,Stem cell,Cancer cell,Breast,low-throughput,RT-qPCR;qPCR;Immunohistochemistry,A candidate molecular signature associated with tamoxifen failure in primary breast cancer,"In addition to ESR1/ERα, the top-ranked genes selected by statistical cross-analyses were MET, FOS, SNCG, IGFBP4, and BCL2, which were subsequently validated in a larger set of tumor samples.",SNCG;ESR1;BCL2,CL_0000034
19030762,PROM1,I Marker,Intestinal stem cell,Cancer cell,Colon,low-throughput,Immunohistochemistry;Microscopic observation,"Immunostaining of Lgr5, an intestinal stem cell marker, in normal and premalignant human gastrointestinal tissue","CD133, a marker for tumor-initiating cells in colon cancer.",LGR5,CL_0000034
19030762,PROM1,I Marker,Colon cancer,Cancer cell,Colon,low-throughput,Immunohistochemistry;Microscopic observation,"Immunostaining of Lgr5, an intestinal stem cell marker, in normal and premalignant human gastrointestinal tissue","CD133, a marker for tumor-initiating cells in colon cancer.",LGR5,
19057705,CYP1B1,I Marker,Blood cell,Cancer cell,Blood,low-throughput + high-throughput,qPCR;PCR;Sequencing technique,Transcriptome analysis in peripheral blood of humans exposed to environmental carcinogens: a promising new biomarker in environmental health studies,"CYP1B1(cytochrome P450 1B1) is a marker expressed in Blood cell;The only negative correlation was found between CYP1B1 expression levels and urinary levels of t,t-MA. Up to now, CYP1B1 gene expression in vivo has not been reported to be influenced by benzene or its metabolites such as t,t-MA. CYP1B1 gene expression is known to be inducible by dioxin and PAH. This was not demonstrated in this population, possibly because of heterogeneity of the general population for blood levels of this environmental carcinogen.",,
19057705,MAPK14,I Marker,Blood cell,Cancer cell,Blood,low-throughput + high-throughput,qPCR;PCR;Sequencing technique,Transcriptome analysis in peripheral blood of humans exposed to environmental carcinogens: a promising new biomarker in environmental health studies,MAPK14(mitogen-activated protein kinase 14) is a marker expressed in Blood cell;MAPK14 gene expression returned correlations with most of the environmental carcinogens.,COX2,
