PMID,Gene Name,Gene Type,Cell Name,Cell Type,Tissue Type,Experiment Type,Experimental Method,Title,Description of Gene,Interacting Gene,CellOntologyID
7915745,HOXC4,TFMarker,epithelial cell,Cancer cell,Skin,low-throughput + high-throughput,RT-PCR;DNA-seq;Microscopic observation,Expression of the homeobox gene HOXC4 in keratinocytes of normal skin and epithelial skin tumors is correlated with differentiation,HOXC4 is expressed mainly in differentiated keratinocytes. Lack of differentiation (as in neoplastic cells) is accompanied by downregulation o HOXC4 eTipression.,KRT10,
7915745,KRT10,TFMarker,epithelial cell,Cancer cell,Skin,low-throughput + high-throughput,RT-PCR;DNA-seq;Microscopic observation,Expression of the homeobox gene HOXC4 in keratinocytes of normal skin and epithelial skin tumors is correlated with differentiation,Further study of epidermal neoplasms with RISH and cytokeratin 10 (CK10) immunostaining revealed a similar distribution pattern C3( HOXC4 and CKIO expression in atypical and neoplastic keratinocytes.,HOXC4,
8477653,GAP43,TFMarker,Nerve cell,Cancer cell,Brain,low-throughput,Western blot,Insulin-Like Growth Factor I Regulates c-wtyc and GAP-43 Messenger Ribonucleic Acid Expression in SH-SY5Y Human Neuroblastoma Cells,Insulin-Like growth factor I regulates c-wtyc and GAP-43 messenger ribonucleic acid expression in SH-SY5Y human neuroblastoma cells.,IGF1,CL_0002319
8477653,IGF1,TFMarker,Nerve cell,Cancer cell,Brain,low-throughput,Western blot,Insulin-Like Growth Factor I Regulates c-wtyc and GAP-43 Messenger Ribonucleic Acid Expression in SH-SY5Y Human Neuroblastoma Cells,IGF-I is a neurotrophic factor which exhibits developmental- and region-specific regulation in the human brain.,GAP43,CL_0002319
9020185,LMO1,TFMarker,T cell,Cancer cell,Lymph,low-throughput,Weston blot;RT-PCR;Flow cytometry,"Transcriptional Activity of TAL1 in T Cell Acute Lymphoblastic Leukemia (T-ALL) Requires RBTN1 or -2 and Induces TALLA1, a Highly Specific Tumor Marker of T-ALL","Ectopic TAL1 and RBTN1 or -2, together with some endogenous T cell-specific cofactors like GATA3, constitute a highly collaborative set of transcription factors whose aberrant activity in T cells may lead to leukemogenesis by modulating expression of downstream genes such as TALLA1.",TAL1;LMO2;GATA3,CL_0000084
9020185,LMO2,TFMarker,T cell,Cancer cell,Lymph,low-throughput,Weston blot;RT-PCR;Flow cytometry,"Transcriptional Activity of TAL1 in T Cell Acute Lymphoblastic Leukemia (T-ALL) Requires RBTN1 or -2 and Induces TALLA1, a Highly Specific Tumor Marker of T-ALL","Ectopic TAL1 and RBTN1 or -2, together with some endogenous T cell-specific cofactors like GATA3, constitute a highly collaborative set of transcription factors whose aberrant activity in T cells may lead to leukemogenesis by modulating expression of downstream genes such as TALLA1.",LMO1;TAL1;GATA3,CL_0000084
9020185,GATA3,TFMarker,T cell,Cancer cell,Lymph,low-throughput,Weston blot;RT-PCR;Flow cytometry,"Transcriptional Activity of TAL1 in T Cell Acute Lymphoblastic Leukemia (T-ALL) Requires RBTN1 or -2 and Induces TALLA1, a Highly Specific Tumor Marker of T-ALL","Ectopic TAL1 and RBTN1 or -2, together with some endogenous T cell-specific cofactors like GATA3, constitute a highly collaborative set of transcription factors whose aberrant activity in T cells may lead to leukemogenesis by modulating expression of downstream genes such as TALLA1.",LMO1;TAL1;LMO2,CL_0000084
10595911,GATA4,TFMarker,Germ cell,Cancer cell,Gonad,low-throughput,Immunohistochemistry;Microscopic observation,Transcription Factor GATA-4 Is Expressed in Pediatric Yolk Sac Tumors ,We conclude that GATA-4 is a clinically useful marker of human YSTs and speculate that it may play a role in the maintenance of the malignant phenotype,,CL_0000586
10595911,GATA4,TFMarker,Germ cell,Cancer cell,Gonad,low-throughput,Immunohistochemistry;Microscopic observation,Transcription Factor GATA-4 Is Expressed in Pediatric Yolk Sac Tumors ,We conclude that GATA-4 is a clinically useful marker of human YSTs and speculate that it may play a role in the maintenance of the malignant phenotype,,CL_0000670
10665914,TTF1,TFMarker,Metastatic small cell lung carcinoma cell,Cancer cell,Lung,low-throughput,Immunohistochemistry;Microscopic observation,Differential Expression of Thyroid Transcription Factor 1 in Small Cell Lung Carcinoma and Merkel Cell Tumor ,These data indicate that TTF-1 is a sensitive (97%) and specific (100%) marker for SCLCs and can be used to differentiate SCLCs from Merkel cell tumors.,KRT20,
11211309,MITF,TFMarker,Melanocytes cell,Cancer cell,Lung,low-throughput,Microscopic observation,Clear Cell Sarcoma Shows Immunoreactivity for Microphthalmia Transcription Factor: Further Evidence for Melanocytic Differentiation,"Recently, microphthalmia transcription factor expression was shown to be both a sensitive and specific marker of epithelioid melanoma.",,
11776479,TP63,TFMarker,Basal cell,Cancer cell,Prostate,low-throughput,Immunohistochemistry,Cell differentiation lineage in the prostate ,"However, a small fraction of adult prostatic basal epithelial cells co-expressed the full spectrum of basal and luminal epithelial cell markers (CK5, CK14, CK8, CK18, CK19, p63, GSTpi).",,CL_0000646
14597395,MITF,TFMarker,Melanocytes cell,Cancer cell,Nerve,low-throughput,Western blot;RT-PCR,MITF-M plays an essential role in transcriptional activation and signaltransduction in Xiphophorus melanoma,"A entral regulator of melanocyte specific gene expression, which is also a marker for melanomas, is thetranscription factor microphthalmia-associated transcription factor (MITF).",RANBP2,
14597395,RANBP2,TFMarker,Melanocytes cell,Cancer cell,Nerve,low-throughput,Western blot;RT-PCR,MITF-M plays an essential role in transcriptional activation and signaltransduction in Xiphophorus melanoma,The enzymatic conversion of tyrosine to melanin pigments requires tyrosinase and the two related proteins TRP-1 and -2.,MITF,
14608905,PAX5,TFMarker,B cell,Cancer cell,Lymph,low-throughput,Western blot;Microscopic observation;Immunohistochemistry,"The B-cell Transcription Factors BSAP, Oct-2, and BOB.1 and the pan-B-cell Markers CD20, CD22, and CD79a Are Useful in the Differential Diagnosis of Classic Hodgkin Lymphoma",PAX5  is a marker expressed in B cell.,MS4A1;CD79A;CD22,CL_0000236
14608905,POU2F2,TFMarker,B cell,Cancer cell,Lymph,low-throughput,Western blot;Microscopic observation;Immunohistochemistry,"The B-cell Transcription Factors BSAP, Oct-2, and BOB.1 and the pan-B-cell Markers CD20, CD22, and CD79a Are Useful in the Differential Diagnosis of Classic Hodgkin Lymphoma",POU2F2  is a marker expressed in B cell.,MS4A1;CD79A;CD22,CL_0000236
14652811,NCAM1,TFMarker,Small cell,Cancer cell,Nerve,low-throughput + high-throughput,Immunohistochemistry;Survival analysis,Primary Esophageal Small Cell Carcinoma With Concomitant Invasive Squamous Cell Carcinoma or Carcinoma in Situ,"Our study suggests that NCAM and ENO2 are useful markers in diagnosing esophageal SmCC, and KRT19 are useful for differentiating SqCC components from SmCC.",ENO2;KRT19,
14652811,ENO2,TFMarker,Small cell,Cancer cell,Nerve,low-throughput + high-throughput,Immunohistochemistry;Survival analysis,Primary Esophageal Small Cell Carcinoma With Concomitant Invasive Squamous Cell Carcinoma or Carcinoma in Situ,"Our study suggests that NCAM and ENO2 are useful markers in diagnosing esophageal SmCC, and KRT19 are useful for differentiating SqCC components from SmCC.",NCAM1;KRT19,
14652811,KRT19,TFMarker,Small cell,Cancer cell,Nerve,low-throughput + high-throughput,Immunohistochemistry;Survival analysis,Primary Esophageal Small Cell Carcinoma With Concomitant Invasive Squamous Cell Carcinoma or Carcinoma in Situ,"Our study suggests that NCAM and ENO2 are useful markers in diagnosing esophageal SmCC, and KRT19 are useful for differentiating SqCC components from SmCC.",NCAM1;ENO2,
15279630,TTF1,TFMarker,Epithelial lung tumours cell,Cancer cell,Lung,low-throughput,Immunohistochemistry,Expression of TTF-1 and cytokeratins in primary and secondaryepithelial lung tumours: correlation with histological typeand grade,TTF-1 is a very sensitive and specific marker to document the pulmonary origin of an adenocarcinoma if a thyroid origin is excluded.,,
15502805,PAX2,TFMarker,Renal neoplasms cell,Cancer cell,Kidney,low-throughput,Immunohistochemistry;Microscopic observation,Expression of aquaporins and PAX-2 compared to CD10 and cytokeratin 7 in renal neoplasms: a tissue microarray study,"Diagnostic use of antibodies against aquaporin water channel proteins and PAX-2, a nuclear transcription factor in renal development, was tested in 202 renal neoplasms, using tissue microarray technique.",MME,
15517368,CDX2,TFMarker,Gastroenteropancreatic endocrine tumors cell,Cancer cell,Stomach,low-throughput,Immunohistochemistry;Microscopic observation,CDX2 as a marker of intestinal EC-cells and related well-differentiated endocrine tumors,CDX2 is a transcription factor that has been recently proposed as a marker of intestinal adenocarcinomas.,,
15572854,SOCS3,TFMarker,T cell,Cancer cell,Lymph,low-throughput,qRT-PCR,Increased mRNA Expression of Th1-Cytokine Signaling Molecules in Patients with HTLV-I-Associated Myelopathy/Tropical Spastic Paraparesis,"In contrast, expression of SOCS3, a marker for Th2 cells, was significantly decreased in HTLV-I-infected individuals.",SOCS1;GATA3,CL_0000084
15640551,CDX2,TFMarker,Epithelial cell,Cancer cell,Intestine,low-throughput,Western blot;Immunohistochemistry;Microscopic observation,Cdx2 as a Marker for Neuroendocrine Tumors of Unknown Primary Sites,The transcription factors CDX1 and CDX2 are homeobox genes that regulate development of the epithelium of the small and large intestine.,CDX1,CL_0000066
15640551,CDX1,TFMarker,Epithelial cell,Cancer cell,Intestine,low-throughput,Western blot;Immunohistochemistry;Microscopic observation,Cdx2 as a Marker for Neuroendocrine Tumors of Unknown Primary Sites,The transcription factors CDX1 and CDX2 are homeobox genes that regulate development of the epithelium of the small and large intestine.,CDX2,CL_0000066
15722794,CDX2,TFMarker,Lung carcinoma cell,Cancer cell,Lung,low-throughput,Immunohistochemistry;Microscopic observation,CDX2 Immunostaining as a Gastrointestinal MarkerExpression in Lung Carcinomas Is a Potential Pitfall,"CDX2 is a relatively spe-cific marker for tumors with intestinal differentiation, with the caveatthat its expression can be seen in primary large cell and adenocarci-nomas of the lung and mucinous carcinomas of the ovary.",TTF1,CL_0001064
15746035,CEBPA,TFMarker,Leukaemic cell,Cancer cell,Bone marrow,low-throughput + high-throughput,Immunophenotyping;Genomic DNA PCR;CEBPA sequences,Characterization ofCEBPAMutations in Acute Myeloid Leukemia:Most Patients withCEBPAMutations Have Biallelic Mutationsand Show a Distinct Immunophenotype of the Leukemic Cells,CEBPA as a transcription or makrer may play an important role in leukemogenesis andprognosis.,FUT4;CD7,
15746041,CEBPA,TFMarker,Acute lymphoblastic leukemia cell,Cancer cell,Bone marrow,low-throughput + high-throughput,Immunophenotyping;Cytogenetic Analysis;Tandemly duplicated sequences,Risk Assessment in Patients with Acute Myeloid Leukemiaand a Normal Karyotype,"Myeloid transcription factor geneCEBPA(for CCAAT/enhancer binding protein-A), for internal tandem duplica-tions (ITD) of the tyrosine kinase receptor geneFLT3(forfms-like tyrosine kinase 3), and for expression of theBAALCgene (for brain and acute leukemia, cytoplasmic).",FLT3;BAALC,
15746041,FLT3,TFMarker,Acute lymphoblastic leukemia cell,Cancer cell,Bone marrow,low-throughput + high-throughput,Immunophenotyping;Cytogenetic Analysis;Tandemly duplicated sequences,Risk Assessment in Patients with Acute Myeloid Leukemiaand a Normal Karyotype,"Myeloid transcription factor gene CEBPA , for internal tandem duplications (ITD) of the tyrosine kinase receptor gene FLT3, and for expression of the BAALC gene.",BAALC;CEBPA,
