PMID,Gene Name,Gene Type,Cell Name,Cell Type,Tissue Type,Experiment Type,Experimental Method,Title,Description of Gene,Interacting Gene,CellOntologyID
7957668,FOXA1,TF Pmarker,Liver cell,Cancer cell,Liver,low-throughput,Western blot;Microscopic observation;Immunofluorescent staining,Hepatocytic Transcription Factor Expression in Human EmbryonalCarcinoma and Yolk Sac Carcinoma Cell Lines: Expression of HNF 3a in Models of Early Endodermal Cell Differentiation,"He-patocytic transcription factors, especially HNF-3A, may play an important role in early human endodermal differentiation.",HNF1A,CL_0000182
7957668,HNF1A,TF Pmarker,Liver cell,Cancer cell,Liver,low-throughput,Western blot;Microscopic observation;Immunofluorescent staining,Hepatocytic Transcription Factor Expression in Human EmbryonalCarcinoma and Yolk Sac Carcinoma Cell Lines: Expression of HNF 3a in Models of Early Endodermal Cell Differentiation,We found that a yolk sac carcinoma cell line with a phenotype similar to rodent visceral endoderm expressed transcripts for HNF-1A.,FOXA1,CL_0000182
9020185,TAL1,TF Pmarker,T cell,Cancer cell,Lymph,low-throughput,Weston blot;RT-PCR;Flow cytometry,"Transcriptional Activity of TAL1 in T Cell Acute Lymphoblastic Leukemia (T-ALL) Requires RBTN1 or -2 and Induces TALLA1, a Highly Specific Tumor Marker of T-ALL","Ectopic TAL1 and RBTN1 or -2, together with some endogenous T cell-specific cofactors like GATA3, constitute a highly collaborative set of transcription factors whose aberrant activity in T cells may lead to leukemogenesis by modulating expression of downstream genes such as TALLA1.",LMO1;GATA3;LMO2,CL_0000084
14533935,NEUROD1,TF Pmarker,Adenocarcinoma of stomach cell,Cancer cell,Stomach,low-throughput,Western blot;Immunohistochemistry;Microscopic observation,"Neuroendocrine Tissue-specific Transcription Factor,BETA2/NeuroD, in Gastric Carcinomas: A Comparison with Chromogranin A and Synaptophysin Expressions",BETA2/NEUROD  (NEUROD)  is  a  basic  helix-loop-helixtype of transcription factor mainly involved in neuroen-docrine  differentiation.,NEUROD1,
14599768,APEX1,TF Pmarker,Stem cell,Cancer cell,Blood,low-throughput,Weston blot,APE/Ref-1 and the mammalian response to genotoxic stress,"Human apurinic/apyrimidinic endonuclease/redox factor-1 (hAPE/Ref-1) is a multifunctional protein involved in the repairof DNA damaged by oxidative or alkylating compounds as well as in the regulation of stress inducible transcription factors suchas AP-1, NF-KB, HIF-1 and p54.",JUN;HIF1A,CL_0000034
14599768,JUN,TF Pmarker,Stem cell,Cancer cell,Blood,low-throughput,Weston blot,APE/Ref-1 and the mammalian response to genotoxic stress,"Human apurinic/apyrimidinic endonuclease/redox factor-1 (hAPE/Ref-1) is a multifunctional protein involved in the repairof DNA damaged by oxidative or alkylating compounds as well as in the regulation of stress inducible transcription factors suchas AP-1, NF-KB, HIF-1 and p54.",APEX1;HIF1A,CL_0000034
14599768,HIF1A,TF Pmarker,Stem cell,Cancer cell,Blood,low-throughput,Weston blot,APE/Ref-1 and the mammalian response to genotoxic stress,"Human apurinic/apyrimidinic endonuclease/redox factor-1 (hAPE/Ref-1) is a multifunctional protein involved in the repairof DNA damaged by oxidative or alkylating compounds as well as in the regulation of stress inducible transcription factors suchas AP-1, NF-KB, HIF-1 and p54.",APEX1;JUN,CL_0000034
15226394,HNF1A,TF Pmarker,Liver cell,Cancer cell,Liver,low-throughput,RT-PCR;Immunofluorescent staining;Western blot;Microscopic observation,Notch signaling controls hepatoblast differentiation by altering the expression of liver-enriched transcription factors ,"Mature bile duct cells strongly expressed HNF1beta, but hardly expressed HNF1alpha, HNF4 and C/EBPalpha. Notch signal activation up-regulated HNF1beta, while down-regulated HNF1alpha, HNF4 and C/EBPalpha.These results suggest that Notch signaling contributes to the formation of a network of transcription factors suitable for bile duct cell differentiation.",,CL_0000182
15226394,HNF4A,TF Pmarker,Liver cell,Cancer cell,Liver,low-throughput,RT-PCR;Immunofluorescent staining;Western blot;Microscopic observation,Notch signaling controls hepatoblast differentiation by altering the expression of liver-enriched transcription factors ,"Mature bile duct cells strongly expressed HNF1beta, but hardly expressed HNF1alpha, HNF4 and C/EBPalpha. Notch signal activation up-regulated HNF1beta, while down-regulated HNF1alpha, HNF4 and C/EBPalpha.These results suggest that Notch signaling contributes to the formation of a network of transcription factors suitable for bile duct cell differentiation.",,CL_0000182
15226394,HNF1B,TF Pmarker,Liver cell,Cancer cell,Liver,low-throughput,RT-PCR;Immunofluorescent staining;Western blot;Microscopic observation,Notch signaling controls hepatoblast differentiation by altering the expression of liver-enriched transcription factors ,"Mature bile duct cells strongly expressed HNF1beta, but hardly expressed HNF1alpha, HNF4 and C/EBPalpha. Notch signal activation up-regulated HNF1beta, while down-regulated HNF1alpha, HNF4 and C/EBPalpha.These results suggest that Notch signaling contributes to the formation of a network of transcription factors suitable for bile duct cell differentiation.",,CL_0000182
