PMID,Gene Name,Gene Type,Cell Name,Cell Type,Tissue Type,Experiment Type,Experimental Method,Title,Description of Gene,Interacting Gene,CellOntologyID
8814256,IL2,T Marker,T cell,Cancer cell,Lymph,low-throughput,Flow-throughput cytometry;Western blot,Severe combined immunodeficiency due to defective binding of the nuclear factor of activated T cells in T lymphocytes of two male siblings,"Furthermore both childrens' T cells were unable to produce the cytokines IL-2, interferon-y (IFN-y), IL-4 and tumor necrosis factor-a (TNF-a).",JUN,CL_0000084
8814256,IL4,T Marker,T cell,Cancer cell,Lymph,low-throughput,Flow-throughput cytometry;Western blot,Severe combined immunodeficiency due to defective binding of the nuclear factor of activated T cells in T lymphocytes of two male siblings,"Furthermore both childrens' T cells were unable to produce the cytokines IL-2, interferon-y (IFN-y), IL-4 and tumor necrosis factor-a (TNF-a).",JUN,CL_0000084
12082635,IFI27,T Marker,Breast cancer cell,Cancer cell,Breast,low-throughput,Luciferase assays;Weston blot;Microscopic observation;Immunohistochemistry;EMSA,BRCA1 transactivates the cyclin-dependent kinase inhibitor p27,P27 protein is a marker expressed in breast cancer cells and is regulated by the breast cancer susceptibility gene BRCA1,BRCA1,
12360049,CD19,T Marker,B cell,Cancer cell,Lymph,low-throughput,Immunohistochemistry;Microscopic observation;Flow-throughput cytometry;Immunohistochemistry,The Value of anti-pax-5 Immunostaining in Routinely Fixed and Paraffin-Embedded Sections: A Novel Pan pre-B and B-cell Marker,CD19 is upregulated by Pax-5,PAX5,CL_0000236
12360049,CD79A,T Marker,B cell,Cancer cell,Lymph,low-throughput,Immunohistochemistry;Microscopic observation;Flow-throughput cytometry;Immunohistochemistry,The Value of anti-pax-5 Immunostaining in Routinely Fixed and Paraffin-Embedded Sections: A Novel Pan pre-B and B-cell Marker,CD79a is upregulated by Pax-5,PAX5,CL_0000236
12360049,MS4A1,T Marker,B cell,Cancer cell,Lymph,low-throughput,Immunohistochemistry;Microscopic observation;Flow-throughput cytometry;Immunohistochemistry,The Value of anti-pax-5 Immunostaining in Routinely Fixed and Paraffin-Embedded Sections: A Novel Pan pre-B and B-cell Marker,There was a strong association between Pax-5 and CD20 expression.,PAX5,CL_0000236
14512183,UCHL1,T Marker,Nerve cell,Cancer cell,Lung,low-throughput,Western blot,Stimulation of the murine Uchl1 gene promoter bythe B-Myb transcription factor,"A possible explanation for the co-expression of these markers is that UCHL1 is subject to transcriptional regulation by B-MYB, and in tumors the ectopic expression of UCHL1 is a direct consequence of B-Myb overexpression.",MYBL2,CL_0002319
14534133,DLX2,T Marker,Nerve cell,Cancer cell,Nerve,low-throughput + high-throughput,Immunohistochemistry;Weston blot;Microscopic observation;RT-PCR;RNA-seq,lockjawencodes a zebrafish tfap2arequired for early neural crestdevelopment,"In the cranialneural crest, gene expression in the mandibular arch is unaffected in lowmutants, in contrast to the hyoid arch,which shows severe reductions in DLX2 and HOXA2 expression.",TFAP2A,CL_0002319
14534133,HOXA2,T Marker,Nerve cell,Cancer cell,Nerve,low-throughput + high-throughput,Immunohistochemistry;Weston blot;Microscopic observation;RT-PCR;RNA-seq,lockjawencodes a zebrafish tfap2arequired for early neural crestdevelopment,"In the cranialneural crest, gene expression in the mandibular arch is unaffected in lowmutants, in contrast to the hyoid arch,which shows severe reductions in DLX2 and HOXA2 expression.",TFAP2A,CL_0002319
14550747,TP53,T Marker,Epithelial cell,Cancer cell,Epidermis,low-throughput,Flow cytometry;;Weston blot,Alteration of keratinocyte differentiation and senescenceby the tumor promoter dioxin,"These changes were accompanied by decreases in the expression levels of key cell cycle regulatory proteins TP53, CDKN2A, andp14ARF.",AHR,CL_0000066
14550747,CDKN2A,T Marker,Epithelial cell,Cancer cell,Epidermis,low-throughput,Flow cytometry;;Weston blot,Alteration of keratinocyte differentiation and senescenceby the tumor promoter dioxin,"These changes were accompanied by decreases in the expression levels of key cell cycle regulatory proteins TP53, CDKN2A, andp14ARF.",AHR,CL_0000066
14608905,MS4A1,T Marker,B cell,Cancer cell,Lymph,low-throughput,Western blot;Microscopic observation;Immunohistochemistry,"The B-cell Transcription Factors BSAP, Oct-2, and BOB.1 and the pan-B-cell Markers CD20, CD22, and CD79a Are Useful in the Differential Diagnosis of Classic Hodgkin Lymphoma",MS4A1  is a marker expressed in B cell.,POU2F2;PAX5,CL_0000236
14608905,CD22,T Marker,B cell,Cancer cell,Lymph,low-throughput,Western blot;Microscopic observation;Immunohistochemistry,"The B-cell Transcription Factors BSAP, Oct-2, and BOB.1 and the pan-B-cell Markers CD20, CD22, and CD79a Are Useful in the Differential Diagnosis of Classic Hodgkin Lymphoma",CD22  is a marker expressed in B cell.,POU2F2;PAX5,CL_0000236
14608905,CD79A,T Marker,B cell,Cancer cell,Lymph,low-throughput,Western blot;Microscopic observation;Immunohistochemistry,"The B-cell Transcription Factors BSAP, Oct-2, and BOB.1 and the pan-B-cell Markers CD20, CD22, and CD79a Are Useful in the Differential Diagnosis of Classic Hodgkin Lymphoma",CD79A  is a marker expressed in B cell.,POU2F2;PAX5,CL_0000236
15252308,KRT7,T Marker,Sinonasal adenocarcinomas cell,Cancer cell,Respiratory tract,low-throughput,Immunohistochemistry;Microscopic observation,Immunophenotypic Differences Between Intestinal-type and Low-grade Papillary Sinonasal Adenocarcinomas,"Antibodies to CDX2, a transcription factor gene highly specific for intestinal adenocarcinomas, MUC2, a mucin gene expressed in adenocarcinomas from various sites, and cytokeratins (CK) 7 and 20 were used to examine the two groups of tumors.",CDX2;MUC2,
15252308,KRT20,T Marker,Sinonasal adenocarcinomas cell,Cancer cell,Respiratory tract,low-throughput,Immunohistochemistry;Microscopic observation,Immunophenotypic Differences Between Intestinal-type and Low-grade Papillary Sinonasal Adenocarcinomas,"Antibodies to CDX2, a transcription factor gene highly specific for intestinal adenocarcinomas, MUC2, a mucin gene expressed in adenocarcinomas from various sites, and cytokeratins (CK) 7 and 20 were used to examine the two groups of tumors.",CDX2;MUC2,
15466453,IL2RA,T Marker,T cell,Cancer cell,Lymph,low-throughput,Western blot;Flow cytometry;qPCR;qRT-PCR;RT-PCR,Crucial role of FOXP3 in the development and function of human CD251CD41 regulatory T cells,"We also show that some human T cell leukemia virus type 1 (HTLV-1)-infected T cell lines, which constitutively express the CD25 molecule, also express FOXP3.",FOXP3,CL_0000084
15492262,CD79A,T Marker,B cell,Cancer cell,Lymph,low-throughput,Immunohistochemistry;RT-PCR;Weston blot;Microscopic observation,PAX5 Expression in Acute Leukemias: Higher B-Lineage Specificity Than CD79a and Selective Association with t(8;21)-Acute Myelogenous Leukemia,"Interestingly, PAX5(+) t(8;21)-AML also expressed CD79A and/or CD19 (major transcriptional targets of PAX5 in B-cells) in 10 of 12 evaluable cases.",PAX5,CL_0000236
15629370,DECR1,T Marker,Mononuclear cell,Cancer cell,Blood,low-throughput,HC,CD40 Ligand Enhances Monocyte Tissue Factor Expression and Thrombin Generation Via Oxidative Stress in Patients With Hypercholesterolemia,"This study indicates that in patients with hypercholesterolemia, CD40L over-expresses TF and increases the thrombin generation rate by an oxidative stress-mediated mechanism that requires the activation of NADPH oxidase.",CD40LG,CL_0000576
15644781,TFEB,T Marker,Renal carcinomas cell,Cancer cell,Kidney,low-throughput + high-throughput,RT-PCR;Western blot;Microscopic observation;DNA-Seq,"Finally, the special molecular features of the Alpha-TFEB gene fusion allow its molecular detection by DNA PCR as a robust alternative to RT-PCR in clinical",,TFEB,
15746035,CD7,T Marker,Leukaemic cell,Cancer cell,Bone marrow,low-throughput + high-throughput,Immunophenotyping;Genomic DNA PCR;CEBPA sequences,Characterization ofCEBPAMutations in Acute Myeloid Leukemia:Most Patients withCEBPAMutations Have Biallelic Mutationsand Show a Distinct Immunophenotype of the Leukemic Cells,"Patients with CEBPA mutations had significantly higher incidences of CD7 (73%), CD15 (100%), CD34 (93%), and HLA-DR (93%) expression on the leukemic cells.",CEBPA,
15746035,FUT4,T Marker,Leukaemic cell,Cancer cell,Bone marrow,low-throughput + high-throughput,Immunophenotyping;Genomic DNA PCR;CEBPA sequences,Characterization ofCEBPAMutations in Acute Myeloid Leukemia:Most Patients withCEBPAMutations Have Biallelic Mutationsand Show a Distinct Immunophenotype of the Leukemic Cells,"Patients with CEBPA mutations had significantly higher incidences of CD7 (73%), CD15 (100%), CD34 (93%), and HLA-DR (93%) expression on the leukemic cells.",CEBPA,
16049973,SHMT1,T Marker,Ovarian and breast cancer cell,Cancer cell,Breast,low-throughput,Weston blot,"Increased expression of cSHMT, Tbx3 and utrophin in plasma of ovarian and breast cancer patients","Truncated forms of cytosolic serine hydroxymethyl transferase (CSHMT), T-box transcription factor 3(TBX3) and utrophin were aberrantly expressed in samples from cancer patients as compared to samples from noncancerous cases.",TBX3,
16110260,IHH,T Marker,Ovarian germ cell tumors cell,Cancer cell,Ovary,low-throughput,Immunohistochemistry;Microscopic observation,"Transcription Factors GATA-4 and GATA-6, and their Potential Downstream Effectors in Ovarian Germ Cell Tumors","Dysgerminomas, on the contrary, expressed only GATA-4 and, in a minority of cases, IHH and BMP-2.",GATA6;GATA4,
16488887,CYP7A1,T Marker,Liver carcinoma cell,Cancer cell,Liver,low-throughput,Western blot;RT-qPCR;qRT-PCR,A Prospero-related homeodomain protein is a novel co-regulator of hepatocyte nuclear factor 4alpha that regulates the cholesterol 7alpha-hydroxylase gene,Prox1 strongly inhibited HNF4alpha and peroxisome proliferators-activated receptor gamma coactivator-1alpha co-activation of the CYP7A1 and PEPCK genes.,PROX1,CL_0001064
16489066,MLANA,T Marker,Melanocytes cell,Cancer cell,Brain,low-throughput + high-throughput,qRT-PCR;RT-PCR;immunohistochemistry,Microphthalmia transcription factor as a molecular marker for circulating tumor cell detection in blood of melanoma patients,MART-1 is a marker of circulating tumor cells in blood,MITF,
16489066,PAX3,T Marker,Melanocytes cell,Cancer cell,Brain,low-throughput + high-throughput,qRT-PCR;RT-PCR;immunohistochemistry,Microphthalmia transcription factor as a molecular marker for circulating tumor cell detection in blood of melanoma patients,PAX-3 is a marker of circulating tumor cells in blood,MITF,
16862183,TP63,T Marker,Stem cell,Cancer cell,Breast,low-throughput,RT–PCR;Western blot;Immunohistochemistry,NF-jB represses E-cadherin expression and enhances epithelial tomesenchymal transition of mammary epithelial cells: potential involvementof ZEB-1 and ZEB-2,The  myoepithelial marker TP63 stably over-expressing the constitutively active p65 subunit of NF-jB (MCF10A/p65).,ZEB2;ZEB1,CL_0000034
16882943,PECAM1,T Marker,Melanocytes cell,Cancer cell,Skin,low-throughput,Microscopic observation;Western blot;immunohistochemical,"Effect of Disrupted SOX18 Transcription Factor Function on Tumor Growth, Vascularization, and Endothelial Development",Expressing a dominant-negative form of SOX18 and measured tumor growth and microvessel density by immunohistochemical analysis with antibodies to the endothelial marker CD31 and the pericyte marker NG2.,CSPG4;SOX18,
16882943,CSPG4,T Marker,Melanocytes cell,Cancer cell,Skin,low-throughput,Microscopic observation;Western blot;immunohistochemical,"Effect of Disrupted SOX18 Transcription Factor Function on Tumor Growth, Vascularization, and Endothelial Development",Expressing a dominant-negative form of SOX18 and measured tumor growth and microvessel density by immunohistochemical analysis with antibodies to the endothelial marker CD31 and the pericyte marker NG2.,PECAM1;SOX18,
17322369,EPO,T Marker,Cyst cell,Cancer cell,Kidney,low-throughput + high-throughput,Western blot;Microscopic observation;Immunohistochemistry;DNA-seq,Involvement of Hypoxia-Inducible TranscriptionFactors in Polycystic Kidney Disease,Immunohistochemistry for selected target genesimplicated a role for HIF-1 in vascular endothelialgrowth factor and Glut-1 activation and HIF-2 inendoglin and EPO stimulation.,HIF1A,
17914561,IL2RA,T Marker,T cell,Cancer cell,Skin,low-throughput,Immunohistochemistry;Microscopic observation,Utility of tumour-infiltrating CD25+FOXP3+ regulatory T cell evaluation in predicting local recurrence in vertical growth phase cutaneous melanoma,Transcription factors FOXP3 and CD25 are considered to be the most reliable treg markers,FOXP3,CL_0000084
