Species	Ensembl ID	Coverage	Identity	Ortholog ID	Coverage	Identity	Ortholog Species
Drosophila_melanogaster	FBgn0000022	45.2736	18.408	ENSG00000176009	50.2762	20.442	Homo sapiens
Drosophila_melanogaster	FBgn0000022	48.7562	17.4129	ENSG00000187855	56.9767	20.3488	Homo sapiens
Drosophila_melanogaster	FBgn0000022	55.7214	19.9005	ENSG00000232237	54.3689	19.4175	Homo sapiens
Drosophila_melanogaster	FBgn0000022	56.7164	25.8706	ENSG00000183734	59.0674	26.943	Homo sapiens
Drosophila_melanogaster	FBgn0000022	58.7065	25.8706	ENSG00000139352	50	22.0339	Homo sapiens
Drosophila_melanogaster	FBgn0000028	45.4545	17.1717	ENSG00000248483	54.878	20.7317	Homo sapiens
Drosophila_melanogaster	FBgn0000028	47.7273	22.4747	ENSG00000064835	64.9485	30.5842	Homo sapiens
Drosophila_melanogaster	FBgn0000028	48.7374	21.2121	ENSG00000212993	53.7604	23.3983	Homo sapiens
Drosophila_melanogaster	FBgn0000028	48.9899	21.2121	ENSG00000204531	53.8889	23.3333	Homo sapiens
Drosophila_melanogaster	FBgn0000028	53.7879	24.7475	ENSG00000028277	34.1346	15.7051	Homo sapiens
Drosophila_melanogaster	FBgn0000028	54.2929	24.7475	ENSG00000185668	47.6718	21.7295	Homo sapiens
Drosophila_melanogaster	FBgn0000028	55.0505	12.1212	ENSG00000165259	31.5942	6.95652	Homo sapiens
Drosophila_melanogaster	FBgn0000028	55.5556	25.2525	ENSG00000184486	49.6614	22.5734	Homo sapiens
Drosophila_melanogaster	FBgn0000028	56.0606	24.4949	ENSG00000196767	61.4958	26.8698	Homo sapiens
Drosophila_melanogaster	FBgn0000028	58.3333	26.0101	ENSG00000198914	46.2	20.6	Homo sapiens
Drosophila_melanogaster	FBgn0000028	59.3434	23.2323	ENSG00000143190	30.6789	12.0104	Homo sapiens
Drosophila_melanogaster	FBgn0000028	61.1111	20.202	ENSG00000184271	39.6072	13.0933	Homo sapiens
Drosophila_melanogaster	FBgn0000028	61.8687	20.7071	ENSG00000106536	34.0278	11.3889	Homo sapiens
Drosophila_melanogaster	FBgn0000028	76.2626	46.7172	ENSG00000091010	89.3491	54.7337	Homo sapiens
Drosophila_melanogaster	FBgn0000028	77.2727	50.5051	ENSG00000152192	73.031	47.7327	Homo sapiens
Drosophila_melanogaster	FBgn0000028	77.5253	48.9899	ENSG00000151615	75.0611	47.4328	Homo sapiens
Drosophila_melanogaster	FBgn0000042	99.734	97.6064	ENSG00000075624	100	97.8667	Homo sapiens
Drosophila_melanogaster	FBgn0000057	91.5605	39.3312	ENSG00000142784	84.9335	36.4845	Homo sapiens
Drosophila_melanogaster	FBgn0000083	93.2099	49.3827	ENSG00000196975	94.081	49.8442	Homo sapiens
Drosophila_melanogaster	FBgn0000117	84.3416	53.618	ENSG00000173801	95.4362	60.6711	Homo sapiens
Drosophila_melanogaster	FBgn0000117	86.121	17.7936	ENSG00000151687	50.6276	10.4603	Homo sapiens
Drosophila_melanogaster	FBgn0000137	32.3045	9.25926	ENSG00000187855	91.2791	26.1628	Homo sapiens
Drosophila_melanogaster	FBgn0000137	32.716	9.67078	ENSG00000176009	87.8453	25.9669	Homo sapiens
Drosophila_melanogaster	FBgn0000137	34.1564	12.5514	ENSG00000183734	86.0104	31.6062	Homo sapiens
Drosophila_melanogaster	FBgn0000137	36.6255	10.2881	ENSG00000232237	86.4078	24.2718	Homo sapiens
Drosophila_melanogaster	FBgn0000137	38.0658	13.786	ENSG00000139352	78.3898	28.3898	Homo sapiens
Drosophila_melanogaster	FBgn0000139	96.9424	47.6619	ENSG00000129691	85.828	42.1975	Homo sapiens
Drosophila_melanogaster	FBgn0000157	38.0403	12.9683	ENSG00000151650	51.1628	17.4419	Homo sapiens
Drosophila_melanogaster	FBgn0000157	38.3285	14.4092	ENSG00000188909	57.0815	21.4592	Homo sapiens
Drosophila_melanogaster	FBgn0000157	50.4323	17.2911	ENSG00000111704	57.377	19.6721	Homo sapiens
Drosophila_melanogaster	FBgn0000157	50.4323	17.2911	ENSG00000255192	57.377	19.6721	Homo sapiens
Drosophila_melanogaster	FBgn0000157	53.3141	27.0893	ENSG00000108813	77.0833	39.1667	Homo sapiens
Drosophila_melanogaster	FBgn0000157	55.6196	30.8357	ENSG00000144355	75.6863	41.9608	Homo sapiens
Drosophila_melanogaster	FBgn0000157	57.0605	27.0893	ENSG00000105880	68.5121	32.526	Homo sapiens
Drosophila_melanogaster	FBgn0000157	57.3487	28.5303	ENSG00000064195	69.338	34.4948	Homo sapiens
Drosophila_melanogaster	FBgn0000157	58.5014	28.8184	ENSG00000115844	61.8902	30.4878	Homo sapiens
Drosophila_melanogaster	FBgn0000212	85.766	52.4125	ENSG00000080503	89.434	54.6541	Homo sapiens
Drosophila_melanogaster	FBgn0000287	26.914	6.62983	ENSG00000165804	47.2299	11.6343	Homo sapiens
Drosophila_melanogaster	FBgn0000287	52.5651	14.0489	ENSG00000165821	66.2687	17.7114	Homo sapiens
Drosophila_melanogaster	FBgn0000404	43.7882	12.831	ENSG00000110092	72.8814	21.3559	Homo sapiens
Drosophila_melanogaster	FBgn0000492	43.301	21.5534	ENSG00000120149	83.5206	41.573	Homo sapiens
Drosophila_melanogaster	FBgn0000492	45.0485	22.5243	ENSG00000163132	76.5677	38.2838	Homo sapiens
Drosophila_melanogaster	FBgn0000499	84.5907	47.9936	ENSG00000161202	73.6034	41.7598	Homo sapiens
Drosophila_melanogaster	FBgn0000520	42.7365	11.1486	ENSG00000163795	46.7653	12.1996	Homo sapiens
Drosophila_melanogaster	FBgn0000520	42.7365	13.3446	ENSG00000249471	46.5074	14.5221	Homo sapiens
Drosophila_melanogaster	FBgn0000520	43.75	11.4865	ENSG00000114853	34.672	9.10308	Homo sapiens
Drosophila_melanogaster	FBgn0000520	43.75	13.3446	ENSG00000083812	46.8354	14.2857	Homo sapiens
Drosophila_melanogaster	FBgn0000520	45.1014	12.6689	ENSG00000198740	44.0594	12.3762	Homo sapiens
Drosophila_melanogaster	FBgn0000520	50	14.0203	ENSG00000122034	81.0959	22.7397	Homo sapiens
Drosophila_melanogaster	FBgn0000543	88.4503	30.4094	ENSG00000122882	93.9441	32.2981	Homo sapiens
Drosophila_melanogaster	FBgn0000546	33.713	10.1367	ENSG00000198963	64.488	19.39	Homo sapiens
Drosophila_melanogaster	FBgn0000546	34.2825	11.0478	ENSG00000112033	68.254	21.9955	Homo sapiens
Drosophila_melanogaster	FBgn0000546	34.9658	11.2756	ENSG00000174738	53.0225	17.0984	Homo sapiens
Drosophila_melanogaster	FBgn0000546	35.0797	11.2756	ENSG00000143365	59.4595	19.112	Homo sapiens
Drosophila_melanogaster	FBgn0000546	35.7631	11.7312	ENSG00000132170	66.1053	21.6842	Homo sapiens
Drosophila_melanogaster	FBgn0000546	36.6743	10.9339	ENSG00000069667	61.5679	18.3556	Homo sapiens
Drosophila_melanogaster	FBgn0000546	36.7882	10.7062	ENSG00000186951	69.0171	20.0855	Homo sapiens
Drosophila_melanogaster	FBgn0000546	36.7882	12.1868	ENSG00000111424	75.644	25.0585	Homo sapiens
Drosophila_melanogaster	FBgn0000546	37.1298	11.0478	ENSG00000126368	53.0945	15.798	Homo sapiens
Drosophila_melanogaster	FBgn0000546	37.8132	11.0478	ENSG00000126351	80.9756	23.6585	Homo sapiens
Drosophila_melanogaster	FBgn0000546	37.8132	11.2756	ENSG00000144852	76.4977	22.8111	Homo sapiens
Drosophila_melanogaster	FBgn0000546	39.4077	12.7563	ENSG00000131759	74.8918	24.2424	Homo sapiens
Drosophila_melanogaster	FBgn0000546	40.6606	13.0979	ENSG00000077092	79.6875	25.6696	Homo sapiens
Drosophila_melanogaster	FBgn0000546	43.3941	16.6287	ENSG00000131408	82.8261	31.7391	Homo sapiens
Drosophila_melanogaster	FBgn0000546	45.1025	16.6287	ENSG00000025434	88.5906	32.6622	Homo sapiens
Drosophila_melanogaster	FBgn0000566	99.2366	62.0865	ENSG00000116761	96.2963	60.2469	Homo sapiens
Drosophila_melanogaster	FBgn0000575	42.2111	19.0955	ENSG00000117318	70.5882	31.9328	Homo sapiens
Drosophila_melanogaster	FBgn0000575	49.2462	23.6181	ENSG00000172201	60.8696	29.1925	Homo sapiens
Drosophila_melanogaster	FBgn0000575	51.2563	23.6181	ENSG00000125968	65.8064	30.3226	Homo sapiens
Drosophila_melanogaster	FBgn0000575	53.2663	25.6281	ENSG00000115738	79.1045	38.0597	Homo sapiens
Drosophila_melanogaster	FBgn0000577	21.9203	5.97826	ENSG00000284484	30.25	8.25	Homo sapiens
Drosophila_melanogaster	FBgn0000577	22.6449	5.61594	ENSG00000283755	30.8642	7.65432	Homo sapiens
Drosophila_melanogaster	FBgn0000577	57.971	24.4565	ENSG00000163064	81.6327	34.4388	Homo sapiens
Drosophila_melanogaster	FBgn0000579	86.4	63	ENSG00000074800	99.5392	72.5806	Homo sapiens
Drosophila_melanogaster	FBgn0000591	58.6592	20.1117	ENSG00000173673	56.4516	19.3548	Homo sapiens
Drosophila_melanogaster	FBgn0000591	59.2179	19.5531	ENSG00000197921	63.8554	21.0843	Homo sapiens
Drosophila_melanogaster	FBgn0000591	61.4525	15.0838	ENSG00000187821	45.4545	11.157	Homo sapiens
Drosophila_melanogaster	FBgn0000591	67.0391	20.1117	ENSG00000179111	52.1739	15.6522	Homo sapiens
Drosophila_melanogaster	FBgn0000591	68.1564	22.3464	ENSG00000069812	70.5202	23.1214	Homo sapiens
Drosophila_melanogaster	FBgn0000591	68.1564	22.3464	ENSG00000188290	55.2036	18.0995	Homo sapiens
Drosophila_melanogaster	FBgn0000591	68.7151	21.229	ENSG00000144485	54.9107	16.9643	Homo sapiens
Drosophila_melanogaster	FBgn0000591	69.2737	20.1117	ENSG00000135547	36.7953	10.6825	Homo sapiens
Drosophila_melanogaster	FBgn0000591	70.9497	19.5531	ENSG00000164683	41.7763	11.5132	Homo sapiens
Drosophila_melanogaster	FBgn0000591	74.8603	20.1117	ENSG00000134107	32.5243	8.73786	Homo sapiens
Drosophila_melanogaster	FBgn0000591	76.5363	17.8771	ENSG00000163909	41.7683	9.7561	Homo sapiens
Drosophila_melanogaster	FBgn0000591	76.5363	24.0223	ENSG00000114315	48.9286	15.3571	Homo sapiens
Drosophila_melanogaster	FBgn0000591	77.095	20.1117	ENSG00000123095	28.6307	7.46888	Homo sapiens
Drosophila_melanogaster	FBgn0000611	27.3936	6.91489	ENSG00000176679	55.6757	14.0541	Homo sapiens
Drosophila_melanogaster	FBgn0000611	28.9894	8.24468	ENSG00000118707	45.9916	13.0802	Homo sapiens
Drosophila_melanogaster	FBgn0000611	29.5213	7.71277	ENSG00000153779	46.0581	12.0332	Homo sapiens
Drosophila_melanogaster	FBgn0000611	32.1809	9.04255	ENSG00000177426	44.4853	12.5	Homo sapiens
Drosophila_melanogaster	FBgn0000611	53.9894	16.4894	ENSG00000160199	46.5596	14.2202	Homo sapiens
Drosophila_melanogaster	FBgn0000611	56.117	20.4787	ENSG00000105419	56.2667	20.5333	Homo sapiens
Drosophila_melanogaster	FBgn0000611	56.117	21.0106	ENSG00000143995	54.1026	20.2564	Homo sapiens
Drosophila_melanogaster	FBgn0000611	56.383	17.0213	ENSG00000165495	44.9153	13.5593	Homo sapiens
Drosophila_melanogaster	FBgn0000611	60.6383	21.5426	ENSG00000134138	47.7987	16.9811	Homo sapiens
Drosophila_melanogaster	FBgn0000611	86.7021	59.3085	ENSG00000105717	87.1658	59.6257	Homo sapiens
Drosophila_melanogaster	FBgn0000611	89.3617	69.1489	ENSG00000204304	78.1395	60.4651	Homo sapiens
Drosophila_melanogaster	FBgn0000611	90.6915	70.4787	ENSG00000185630	79.3023	61.6279	Homo sapiens
Drosophila_melanogaster	FBgn0000611	90.9574	71.5426	ENSG00000167081	78.8018	61.9816	Homo sapiens
Drosophila_melanogaster	FBgn0000617	83.813	33.0935	ENSG00000187325	92.8287	36.6534	Homo sapiens
Drosophila_melanogaster	FBgn0000617	84.5324	35.6115	ENSG00000273841	89.0152	37.5	Homo sapiens
Drosophila_melanogaster	FBgn0000618	90.099	41.5842	ENSG00000120533	90.099	41.5842	Homo sapiens
Drosophila_melanogaster	FBgn0000659	54.0462	28.1792	ENSG00000125798	80.7775	42.1166	Homo sapiens
Drosophila_melanogaster	FBgn0000667	96.7285	67.7208	ENSG00000072110	97.046	67.9431	Homo sapiens
Drosophila_melanogaster	FBgn0000709	98.0096	57.086	ENSG00000177731	97.0055	56.5012	Homo sapiens
Drosophila_melanogaster	FBgn0000964	23.2432	10.4505	ENSG00000197063	79.6296	35.8025	Homo sapiens
Drosophila_melanogaster	FBgn0000964	23.964	10.2703	ENSG00000185022	81.0976	34.7561	Homo sapiens
Drosophila_melanogaster	FBgn0000964	23.964	10.991	ENSG00000198517	85.2564	39.1026	Homo sapiens
Drosophila_melanogaster	FBgn0000964	36.5766	17.1171	ENSG00000129535	85.654	40.0844	Homo sapiens
Drosophila_melanogaster	FBgn0000964	45.045	21.2613	ENSG00000182759	70.8215	33.4278	Homo sapiens
Drosophila_melanogaster	FBgn0000964	45.4054	20.9009	ENSG00000204103	78.0186	35.9133	Homo sapiens
Drosophila_melanogaster	FBgn0000964	49.009	23.6036	ENSG00000178573	67.4938	32.5062	Homo sapiens
Drosophila_melanogaster	FBgn0001078	40.3116	17.8189	ENSG00000136931	89.8048	39.6963	Homo sapiens
Drosophila_melanogaster	FBgn0001078	47.3223	22.7848	ENSG00000116833	89.8336	43.2532	Homo sapiens
Drosophila_melanogaster	FBgn0001138	44.6629	20.5056	ENSG00000102145	76.9976	35.3511	Homo sapiens
Drosophila_melanogaster	FBgn0001168	37.3887	13.0564	ENSG00000197921	75.9036	26.506	Homo sapiens
Drosophila_melanogaster	FBgn0001168	51.0386	17.5074	ENSG00000163909	52.439	17.9878	Homo sapiens
Drosophila_melanogaster	FBgn0001179	96.8672	68.797	ENSG00000163161	98.8491	70.2046	Homo sapiens
Drosophila_melanogaster	FBgn0001180	15.0396	2.90237	ENSG00000124444	67.0588	12.9412	Homo sapiens
Drosophila_melanogaster	FBgn0001180	20.5805	5.14512	ENSG00000167528	36.7925	9.19811	Homo sapiens
Drosophila_melanogaster	FBgn0001180	20.8443	4.61741	ENSG00000103343	38.8206	8.59951	Homo sapiens
Drosophila_melanogaster	FBgn0001180	21.504	5.27704	ENSG00000105261	85.7895	21.0526	Homo sapiens
Drosophila_melanogaster	FBgn0001180	22.1636	4.08971	ENSG00000167685	51.3761	9.48012	Homo sapiens
Drosophila_melanogaster	FBgn0001180	22.4274	3.0343	ENSG00000152467	41.6667	5.63725	Homo sapiens
Drosophila_melanogaster	FBgn0001180	24.2744	4.74934	ENSG00000083838	40.8889	8	Homo sapiens
Drosophila_melanogaster	FBgn0001180	25.1979	3.43008	ENSG00000121413	37.451	5.09804	Homo sapiens
Drosophila_melanogaster	FBgn0001180	26.781	6.33245	ENSG00000154957	36.9763	8.74317	Homo sapiens
Drosophila_melanogaster	FBgn0001180	27.1768	5.67282	ENSG00000171606	31.5467	6.58499	Homo sapiens
Drosophila_melanogaster	FBgn0001180	27.3087	5.40897	ENSG00000197213	41.8182	8.28283	Homo sapiens
Drosophila_melanogaster	FBgn0001180	27.3087	5.67282	ENSG00000131848	41.7339	8.66935	Homo sapiens
Drosophila_melanogaster	FBgn0001180	27.3087	5.67282	ENSG00000204532	41.7339	8.66935	Homo sapiens
Drosophila_melanogaster	FBgn0001180	27.4406	6.99208	ENSG00000140987	29.8422	7.60402	Homo sapiens
Drosophila_melanogaster	FBgn0001180	27.9683	6.72823	ENSG00000166261	32.716	7.87037	Homo sapiens
Drosophila_melanogaster	FBgn0001180	28.3641	6.59631	ENSG00000125850	78.1818	18.1818	Homo sapiens
Drosophila_melanogaster	FBgn0001180	28.628	5.67282	ENSG00000162714	36.9676	7.32538	Homo sapiens
Drosophila_melanogaster	FBgn0001180	29.4195	6.86016	ENSG00000140265	26.1737	6.10329	Homo sapiens
Drosophila_melanogaster	FBgn0001180	29.8153	6.72823	ENSG00000155592	23.3713	5.27404	Homo sapiens
Drosophila_melanogaster	FBgn0001180	30.8707	6.99208	ENSG00000198146	33.864	7.67004	Homo sapiens
Drosophila_melanogaster	FBgn0001180	31.9261	5.93668	ENSG00000172262	38.8443	7.22311	Homo sapiens
Drosophila_melanogaster	FBgn0001180	32.8496	6.0686	ENSG00000118495	53.7797	9.93521	Homo sapiens
Drosophila_melanogaster	FBgn0001180	33.7731	5.93668	ENSG00000126003	51.6129	9.07258	Homo sapiens
Drosophila_melanogaster	FBgn0001180	35.0924	5.93668	ENSG00000181690	53.2	9	Homo sapiens
Drosophila_melanogaster	FBgn0001180	41.6887	8.44327	ENSG00000084093	28.8058	5.83409	Homo sapiens
Drosophila_melanogaster	FBgn0001180	54.8813	9.63061	ENSG00000198300	26.1965	4.59698	Homo sapiens
Drosophila_melanogaster	FBgn0001180	8.97098	2.24274	ENSG00000171222	37.9888	9.49721	Homo sapiens
Drosophila_melanogaster	FBgn0001197	89.3617	86.5248	ENSG00000164032	98.4375	95.3125	Homo sapiens
Drosophila_melanogaster	FBgn0001222	28.9222	6.68486	ENSG00000283697	63.6637	14.7147	Homo sapiens
Drosophila_melanogaster	FBgn0001222	28.9222	6.82128	ENSG00000283463	63.6637	15.015	Homo sapiens
Drosophila_melanogaster	FBgn0001222	33.6971	6.82128	ENSG00000169953	61.596	12.4688	Homo sapiens
Drosophila_melanogaster	FBgn0001222	33.6971	6.82128	ENSG00000172468	61.596	12.4688	Homo sapiens
Drosophila_melanogaster	FBgn0001222	33.8336	7.23056	ENSG00000171116	58.6288	12.5296	Homo sapiens
Drosophila_melanogaster	FBgn0001222	33.8336	7.23056	ENSG00000268738	58.6288	12.5296	Homo sapiens
Drosophila_melanogaster	FBgn0001222	45.4297	10.6412	ENSG00000176160	55.8725	13.0872	Homo sapiens
Drosophila_melanogaster	FBgn0001222	58.663	20.0546	ENSG00000102878	87.3984	29.878	Homo sapiens
Drosophila_melanogaster	FBgn0001222	64.2565	26.1937	ENSG00000185122	89.0359	36.2949	Homo sapiens
Drosophila_melanogaster	FBgn0001222	64.5293	20.0546	ENSG00000025156	88.2463	27.4254	Homo sapiens
Drosophila_melanogaster	FBgn0001235	20.9446	9.03491	ENSG00000118707	43.038	18.5654	Homo sapiens
Drosophila_melanogaster	FBgn0001235	21.9713	7.18686	ENSG00000176679	57.8378	18.9189	Homo sapiens
Drosophila_melanogaster	FBgn0001235	23.8193	11.7043	ENSG00000177426	42.6471	20.9559	Homo sapiens
Drosophila_melanogaster	FBgn0001235	24.6407	8.00821	ENSG00000153779	49.7925	16.1826	Homo sapiens
Drosophila_melanogaster	FBgn0001235	44.7639	14.5791	ENSG00000105717	58.2888	18.984	Homo sapiens
Drosophila_melanogaster	FBgn0001235	49.692	16.2218	ENSG00000204304	56.2791	18.3721	Homo sapiens
Drosophila_melanogaster	FBgn0001235	49.692	16.8378	ENSG00000185630	56.2791	19.0698	Homo sapiens
Drosophila_melanogaster	FBgn0001235	49.8973	16.8378	ENSG00000167081	55.9908	18.894	Homo sapiens
Drosophila_melanogaster	FBgn0001235	61.3963	29.3634	ENSG00000160199	68.578	32.7982	Homo sapiens
Drosophila_melanogaster	FBgn0001235	63.655	28.5421	ENSG00000165495	65.678	29.4492	Homo sapiens
Drosophila_melanogaster	FBgn0001235	70.2259	44.5585	ENSG00000105419	91.2	57.8667	Homo sapiens
Drosophila_melanogaster	FBgn0001235	72.6899	49.2813	ENSG00000143995	90.7692	61.5385	Homo sapiens
Drosophila_melanogaster	FBgn0001235	75.5647	51.3347	ENSG00000134138	77.1488	52.4109	Homo sapiens
Drosophila_melanogaster	FBgn0001269	22.2222	4.86111	ENSG00000284484	32	7	Homo sapiens
Drosophila_melanogaster	FBgn0001269	22.2222	5.03472	ENSG00000283755	31.6049	7.16049	Homo sapiens
Drosophila_melanogaster	FBgn0001269	49.8264	22.5694	ENSG00000163064	73.2143	33.1633	Homo sapiens
Drosophila_melanogaster	FBgn0001291	61.828	26.3441	ENSG00000171223	66.2824	28.2421	Homo sapiens
Drosophila_melanogaster	FBgn0001291	62.0968	29.3011	ENSG00000177606	69.7885	32.9305	Homo sapiens
Drosophila_melanogaster	FBgn0001291	62.3656	27.1505	ENSG00000130522	66.8588	29.1066	Homo sapiens
Drosophila_melanogaster	FBgn0001319	69.8113	51.3788	ENSG00000221818	83.6522	61.5652	Homo sapiens
Drosophila_melanogaster	FBgn0001319	70.9724	49.6372	ENSG00000088881	81.2292	56.8106	Homo sapiens
Drosophila_melanogaster	FBgn0001319	71.1176	53.8462	ENSG00000164330	82.9103	62.775	Homo sapiens
Drosophila_melanogaster	FBgn0001319	71.2627	53.5559	ENSG00000108001	78.0604	58.6645	Homo sapiens
Drosophila_melanogaster	FBgn0001324	76.8471	34.0577	ENSG00000184634	89.3431	39.5958	Homo sapiens
Drosophila_melanogaster	FBgn0001324	77.0842	33.9392	ENSG00000144893	89.4954	39.4037	Homo sapiens
Drosophila_melanogaster	FBgn0001491	100	86.8056	ENSG00000106245	100	86.8056	Homo sapiens
Drosophila_melanogaster	FBgn0001978	86.3472	32.9114	ENSG00000086102	85.2679	32.5	Homo sapiens
Drosophila_melanogaster	FBgn0001983	47.4453	23.1752	ENSG00000019549	97.0149	47.3881	Homo sapiens
Drosophila_melanogaster	FBgn0001983	52.0073	23.3577	ENSG00000185669	97.6027	43.8356	Homo sapiens
Drosophila_melanogaster	FBgn0001990	68.0851	15.1064	ENSG00000020256	46.9897	10.4258	Homo sapiens
Drosophila_melanogaster	FBgn0001990	78.9362	17.4468	ENSG00000198026	27.6453	6.11028	Homo sapiens
Drosophila_melanogaster	FBgn0001994	49.6038	19.4929	ENSG00000090447	92.6036	36.3905	Homo sapiens
Drosophila_melanogaster	FBgn0002031	98.5507	73.913	ENSG00000167085	100	75	Homo sapiens
Drosophila_melanogaster	FBgn0002174	84.0385	42.1154	ENSG00000103423	91.0417	45.625	Homo sapiens
Drosophila_melanogaster	FBgn0002183	92.6025	56.4171	ENSG00000092201	99.2359	60.4585	Homo sapiens
Drosophila_melanogaster	FBgn0002283	99.0991	60.3604	ENSG00000185619	90.9091	55.3719	Homo sapiens
Drosophila_melanogaster	FBgn0002521	61.3462	31.7308	ENSG00000100811	77.0531	39.8551	Homo sapiens
Drosophila_melanogaster	FBgn0002542	87.1819	31.6682	ENSG00000116830	79.6041	28.9157	Homo sapiens
Drosophila_melanogaster	FBgn0002561	47.4708	19.0661	ENSG00000232237	59.2233	23.7864	Homo sapiens
Drosophila_melanogaster	FBgn0002561	48.6381	22.5681	ENSG00000183734	64.7668	30.0518	Homo sapiens
Drosophila_melanogaster	FBgn0002573	55.4529	26.0628	ENSG00000162676	71.09	33.4123	Homo sapiens
Drosophila_melanogaster	FBgn0002576	54.2373	22.8814	ENSG00000159216	93.3333	39.375	Homo sapiens
Drosophila_melanogaster	FBgn0002609	52.2321	16.5179	ENSG00000197921	70.4819	22.2892	Homo sapiens
Drosophila_melanogaster	FBgn0002609	53.5714	15.625	ENSG00000187821	49.5868	14.4628	Homo sapiens
Drosophila_melanogaster	FBgn0002609	58.4821	17.4107	ENSG00000144485	58.4821	17.4107	Homo sapiens
Drosophila_melanogaster	FBgn0002609	60.2679	19.6429	ENSG00000173673	72.5806	23.6559	Homo sapiens
Drosophila_melanogaster	FBgn0002609	61.1607	16.9643	ENSG00000179111	59.5652	16.5217	Homo sapiens
Drosophila_melanogaster	FBgn0002609	61.6071	18.75	ENSG00000069812	79.7688	24.2775	Homo sapiens
Drosophila_melanogaster	FBgn0002609	65.1786	16.9643	ENSG00000164683	48.0263	12.5	Homo sapiens
Drosophila_melanogaster	FBgn0002609	65.1786	19.6429	ENSG00000134107	35.4369	10.6796	Homo sapiens
Drosophila_melanogaster	FBgn0002609	65.625	15.1786	ENSG00000163909	44.8171	10.3659	Homo sapiens
Drosophila_melanogaster	FBgn0002609	65.625	18.3036	ENSG00000135547	43.6202	12.1662	Homo sapiens
Drosophila_melanogaster	FBgn0002609	66.0714	20.5357	ENSG00000123095	30.7054	9.54357	Homo sapiens
Drosophila_melanogaster	FBgn0002609	71.4286	20.9821	ENSG00000188290	72.3982	21.267	Homo sapiens
Drosophila_melanogaster	FBgn0002609	75.4464	23.6607	ENSG00000114315	60.3571	18.9286	Homo sapiens
Drosophila_melanogaster	FBgn0002631	59.5506	17.4157	ENSG00000173673	56.9892	16.6667	Homo sapiens
Drosophila_melanogaster	FBgn0002631	60.1124	12.9213	ENSG00000187821	44.2149	9.50413	Homo sapiens
Drosophila_melanogaster	FBgn0002631	62.3596	20.2247	ENSG00000197921	66.8675	21.6867	Homo sapiens
Drosophila_melanogaster	FBgn0002631	67.9775	20.2247	ENSG00000179111	52.6087	15.6522	Homo sapiens
Drosophila_melanogaster	FBgn0002631	68.5393	21.3483	ENSG00000069812	70.5202	21.9653	Homo sapiens
Drosophila_melanogaster	FBgn0002631	70.2247	20.2247	ENSG00000144485	55.8036	16.0714	Homo sapiens
Drosophila_melanogaster	FBgn0002631	71.3483	20.7865	ENSG00000188290	57.4661	16.7421	Homo sapiens
