Species	Ensembl ID	Coverage	Identity	Ortholog ID	Coverage	Identity	Ortholog Species
Caenorhabditis_elegans	WBGene00000064	99.734	97.6064	ENSG00000075624	100	97.8667	Homo sapiens
Caenorhabditis_elegans	WBGene00000095	75.0552	17.8808	ENSG00000170485	41.2621	9.8301	Homo sapiens
Caenorhabditis_elegans	WBGene00000095	75.2759	20.3091	ENSG00000134852	40.3073	10.8747	Homo sapiens
Caenorhabditis_elegans	WBGene00000095	82.7815	29.8013	ENSG00000029153	58.9623	21.2264	Homo sapiens
Caenorhabditis_elegans	WBGene00000095	82.7815	30.4636	ENSG00000133794	59.9042	22.0447	Homo sapiens
Caenorhabditis_elegans	WBGene00000095	91.17	48.3444	ENSG00000172379	57.6011	30.5439	Homo sapiens
Caenorhabditis_elegans	WBGene00000095	92.936	49.0066	ENSG00000143437	53.3587	28.1369	Homo sapiens
Caenorhabditis_elegans	WBGene00000099	96.3934	57.377	ENSG00000178999	85.4651	50.8721	Homo sapiens
Caenorhabditis_elegans	WBGene00000105	83.1867	58.26	ENSG00000123908	99.0687	69.383	Homo sapiens
Caenorhabditis_elegans	WBGene00000122	62.0833	17.9167	ENSG00000160679	60.0806	17.3387	Homo sapiens
Caenorhabditis_elegans	WBGene00000122	83.75	31.6667	ENSG00000183684	76.1364	28.7879	Homo sapiens
Caenorhabditis_elegans	WBGene00000123	98.9224	71.5517	ENSG00000181222	93.198	67.4112	Homo sapiens
Caenorhabditis_elegans	WBGene00000195	88.2759	50.8046	ENSG00000141480	93.8875	54.0342	Homo sapiens
Caenorhabditis_elegans	WBGene00000195	89.4253	53.1034	ENSG00000137486	93.0622	55.2632	Homo sapiens
Caenorhabditis_elegans	WBGene00000220	35.1621	10.7232	ENSG00000268480	48.7889	14.8789	Homo sapiens
Caenorhabditis_elegans	WBGene00000220	59.8504	16.4589	ENSG00000165030	51.9481	14.2857	Homo sapiens
Caenorhabditis_elegans	WBGene00000221	67.3077	19.7115	ENSG00000169136	49.6454	14.539	Homo sapiens
Caenorhabditis_elegans	WBGene00000221	78.3654	22.1154	ENSG00000128272	46.4387	13.1054	Homo sapiens
Caenorhabditis_elegans	WBGene00000222	33.7861	7.97963	ENSG00000107175	53.6388	12.6685	Homo sapiens
Caenorhabditis_elegans	WBGene00000222	34.2954	9.16808	ENSG00000123268	74.5387	19.9262	Homo sapiens
Caenorhabditis_elegans	WBGene00000222	34.4652	8.14941	ENSG00000095794	67.893	16.0535	Homo sapiens
Caenorhabditis_elegans	WBGene00000222	37.1817	9.8472	ENSG00000118260	66.9725	17.737	Homo sapiens
Caenorhabditis_elegans	WBGene00000222	39.3888	8.48896	ENSG00000143578	58.7342	12.6582	Homo sapiens
Caenorhabditis_elegans	WBGene00000222	43.4635	10.6961	ENSG00000213676	36.4154	8.96159	Homo sapiens
Caenorhabditis_elegans	WBGene00000222	43.9728	9.67742	ENSG00000060566	56.1822	12.3644	Homo sapiens
Caenorhabditis_elegans	WBGene00000222	44.9915	10.5263	ENSG00000157613	51.0597	11.946	Homo sapiens
Caenorhabditis_elegans	WBGene00000222	45.1613	9.50764	ENSG00000118217	39.7015	8.35821	Homo sapiens
Caenorhabditis_elegans	WBGene00000222	46.0102	9.8472	ENSG00000182158	52.1154	11.1538	Homo sapiens
Caenorhabditis_elegans	WBGene00000223	66.2083	19.6464	ENSG00000146592	66.3386	19.685	Homo sapiens
Caenorhabditis_elegans	WBGene00000223	67.387	17.4853	ENSG00000267281	74.0821	19.2225	Homo sapiens
Caenorhabditis_elegans	WBGene00000223	69.3517	18.4676	ENSG00000170653	73.0849	19.4617	Homo sapiens
Caenorhabditis_elegans	WBGene00000223	71.9057	19.4499	ENSG00000115966	72.4753	19.604	Homo sapiens
Caenorhabditis_elegans	WBGene00000228	95.4348	60.5435	ENSG00000077522	98.2103	62.3042	Homo sapiens
Caenorhabditis_elegans	WBGene00000271	79.6247	34.0483	ENSG00000185024	87.74	37.5185	Homo sapiens
Caenorhabditis_elegans	WBGene00000272	94.7368	27.6316	ENSG00000067955	77.0053	22.4599	Homo sapiens
Caenorhabditis_elegans	WBGene00000274	92.359	29.8969	ENSG00000095564	82.3689	26.6631	Homo sapiens
Caenorhabditis_elegans	WBGene00000366	79.8215	38.0764	ENSG00000100393	66.6943	31.8144	Homo sapiens
Caenorhabditis_elegans	WBGene00000366	81.6559	38.1259	ENSG00000005339	67.4447	31.4906	Homo sapiens
Caenorhabditis_elegans	WBGene00000369	89.6774	41.6129	ENSG00000155508	95.2055	44.1781	Homo sapiens
Caenorhabditis_elegans	WBGene00000369	89.6774	41.9355	ENSG00000198791	97.5439	45.614	Homo sapiens
Caenorhabditis_elegans	WBGene00000376	74.4461	32.3486	ENSG00000113300	90.4847	39.3178	Homo sapiens
Caenorhabditis_elegans	WBGene00000376	75.3324	33.8257	ENSG00000138767	91.8919	41.2613	Homo sapiens
