Interaction ID,LR Pair,Ligand_gene,Receptor_gene,Evidence,AI summary,Ligand_aliases,Receptor_aliases,Ligand XX ID,Receptor XX ID,Ligand ENSEMBL ID,Receptor ENSEMBL ID,Human Ligand Symbols,Human Receptor Symbols,Ligand Location,Receptor Location
CDB15:0000001,A2M LRP1,A2M,LRP1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-A2M%20LRP1-based-on-Pubmed-ID-10652313,%2012194978,%201702392-in-chimp",A2M,LRP1,-,-,ENSPTRG00000004650,ENSPTRG00000005122,"A2M (FWP007, S863-7, CPAMD5)","LRP1 (APR, A2MR, LRP, CD91, LRP1A, APOER, IGFBP3R1, IGFBP-3R)",secreted,cell membrane
CDB15:0000002,ACE BDKRB2,ACE,BDKRB2,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ACE%20BDKRB2-based-on-Pubmed-ID-10748135-in-chimp,ACE,BDKRB2,-,-,ENSPTRG00000009513,ENSPTRG00000047114,"ACE (DCP1, ACE1, CD143)",BDKRB2 (BK-2),"secreted, cell membrane",cell membrane
CDB15:0000003,ADAM10 EPHA3,ADAM10,EPHA3,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ADAM10%20EPHA3-based-on-Pubmed-ID-16239146,%2019823572-in-chimp",ADAM10,EPHA3,-,-,ENSPTRG00000007116,ENSPTRG00000015127,"ADAM10 (kuz, MADM, HsT18717, CD156C)","EPHA3 (ETK, ETK1, TYRO4, HEK, HEK4)",cell membrane,cell membrane
CDB15:0000004,ADAM12 ITGA9,ADAM12,ITGA9,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ADAM12%20ITGA9-based-on-Pubmed-ID-10944520-in-chimp,ADAM12,ITGA9,-,-,ENSPTRG00000003046,ENSPTRG00000014748,"ADAM12 (MCMPMltna, MLTN)","ITGA9 (RLC, ITGA4L, ALPHA-RLC)","secreted, cell membrane",cell membrane
CDB15:0000005,ADAM12 ITGB1,ADAM12,ITGB1,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ADAM12%20ITGB1-based-on-Pubmed-ID-10944520-in-chimp,ADAM12,ITGB1,-,-,ENSPTRG00000003046,ENSPTRG00000002413,"ADAM12 (MCMPMltna, MLTN)","ITGB1 (FNRB, MSK12, MDF2, CD29, GPIIA)","secreted, cell membrane",cell membrane
CDB15:0000006,ADAM12 SDC4,ADAM12,SDC4,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ADAM12%20SDC4-based-on-Pubmed-ID-12509413-in-chimp,ADAM12,SDC4,-,-,ENSPTRG00000003046,ENSPTRG00000049711,"ADAM12 (MCMPMltna, MLTN)","SDC4 (SYND4, amphiglycan, ryudocan)","secreted, cell membrane",cell membrane
CDB15:0000007,ADAM15 ITGA5,ADAM15,ITGA5,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ADAM15%20ITGA5-based-on-Pubmed-ID-9914169-in-chimp,ADAM15,ITGA5,-,-,ENSPTRG00000001404,ENSPTRG00000005040,ADAM15 (MDC15),"ITGA5 (FNRA, CD49e)",cell membrane,cell membrane
CDB15:0000008,ADAM15 ITGA9,ADAM15,ITGA9,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ADAM15%20ITGA9-based-on-Pubmed-ID-10944520-in-chimp,ADAM15,ITGA9,-,-,ENSPTRG00000001404,ENSPTRG00000014748,ADAM15 (MDC15),"ITGA9 (RLC, ITGA4L, ALPHA-RLC)",cell membrane,cell membrane
CDB15:0000009,ADAM15 ITGAV,ADAM15,ITGAV,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ADAM15%20ITGAV-based-on-Pubmed-ID-9516430,%209914169-in-chimp",ADAM15,ITGAV,-,-,ENSPTRG00000001404,ENSPTRG00000012719,ADAM15 (MDC15),"ITGAV (VNRA, MSK8, VTNR, CD51)",cell membrane,cell membrane
CDB15:0000010,ADAM15 ITGB1,ADAM15,ITGB1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ADAM15%20ITGB1-based-on-Pubmed-ID-10944520,%209914169-in-chimp",ADAM15,ITGB1,-,-,ENSPTRG00000001404,ENSPTRG00000002413,ADAM15 (MDC15),"ITGB1 (FNRB, MSK12, MDF2, CD29, GPIIA)",cell membrane,cell membrane
