Species	Ensembl ID	Coverage	Identity	Ortholog ID	Coverage	Identity	Ortholog Species
Mus_musculus	ENSMUSG00000000078	88.9937	84.5912	ENSG00000067082	100	95.053	Homo sapiens
Mus_musculus	ENSMUSG00000000085	88.3853	81.728	ENSG00000010803	96.2963	89.0432	Homo sapiens
Mus_musculus	ENSMUSG00000000093	99.7187	95.218	ENSG00000121068	99.5787	95.0843	Homo sapiens
Mus_musculus	ENSMUSG00000000094	98.5507	92.7536	ENSG00000121075	99.6337	93.7729	Homo sapiens
Mus_musculus	ENSMUSG00000000103	29.0862	8.62291	ENSG00000179909	51.7162	15.3318	Homo sapiens
Mus_musculus	ENSMUSG00000000103	32.9472	8.88031	ENSG00000171466	60.0939	16.1972	Homo sapiens
Mus_musculus	ENSMUSG00000000103	33.9768	10.5534	ENSG00000083828	65.6716	20.398	Homo sapiens
Mus_musculus	ENSMUSG00000000103	33.9768	7.59331	ENSG00000178935	64.8649	14.4963	Homo sapiens
Mus_musculus	ENSMUSG00000000103	33.9768	9.65251	ENSG00000188227	65.0246	18.4729	Homo sapiens
Mus_musculus	ENSMUSG00000000103	35.6499	9.13771	ENSG00000167554	59.9567	15.368	Homo sapiens
Mus_musculus	ENSMUSG00000000103	36.036	9.78121	ENSG00000213762	65.5738	17.7986	Homo sapiens
Mus_musculus	ENSMUSG00000000103	36.9369	11.0682	ENSG00000152439	64.9321	19.457	Homo sapiens
Mus_musculus	ENSMUSG00000000103	37.1943	9.00901	ENSG00000171574	68.6461	16.6271	Homo sapiens
Mus_musculus	ENSMUSG00000000103	38.3526	11.0682	ENSG00000197128	66.5179	19.1964	Homo sapiens
Mus_musculus	ENSMUSG00000000103	39.5109	10.8108	ENSG00000152475	57.8154	15.8192	Homo sapiens
Mus_musculus	ENSMUSG00000000103	40.0257	11.4543	ENSG00000171469	63.9918	18.3128	Homo sapiens
Mus_musculus	ENSMUSG00000000103	40.9266	12.2265	ENSG00000105136	62.3529	18.6275	Homo sapiens
Mus_musculus	ENSMUSG00000000103	42.5997	11.7117	ENSG00000198464	61.8692	17.0093	Homo sapiens
Mus_musculus	ENSMUSG00000000103	43.6293	12.4839	ENSG00000196724	50.1479	14.3491	Homo sapiens
