Interaction ID,LR Pair,Ligand_gene,Receptor_gene,Evidence,AI summary,Ligand_aliases,Receptor_aliases,Ligand RGD ID,Receptor RGD ID,Ligand ENSEMBL ID,Receptor ENSEMBL ID,Human Ligand Symbols,Human Receptor Symbols,Ligand Location,Receptor Location
CDB15:0000001,A2m Lrp1,A2m,Lrp1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-A2m%20Lrp1-based-on-Pubmed-ID-10652313,%2012194978,%201702392-in-rat","A2m (D4Arb15, D4Mit20, D4Wox16, A2MAC1, A2m1, A2maa, A2mb, AI893533, LOC100911545, MGC114358, Mam, RATA2MAC1)","Lrp1 (RH132158, LOC299858, LRP-1)",RGD:2004,RGD:1307535,ENSRNOG00000028896,ENSRNOG00000025053,"A2M (FWP007, S863-7, CPAMD5)","LRP1 (APR, A2MR, LRP, CD91, LRP1A, APOER, IGFBP3R1, IGFBP-3R)",secreted,cell membrane
CDB15:0000002,Ace Bdkrb2,Ace,Bdkrb2,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Ace%20Bdkrb2-based-on-Pubmed-ID-10748135-in-rat,"Ace (D10Mit1, D10Wox18, RH94768, CD143, Dcp1, LOC102556346, StsRR92)","Bdkrb2 (L27595, PMC126639P3, PMC150944P1, RH94464, B2BKR, B2BRA, B2R)",RGD:2493,RGD:2201,ENSRNOG00000062101,ENSRNOG00000047300,"ACE (DCP1, ACE1, CD143)",BDKRB2 (BK-2),"secreted, cell membrane",cell membrane
CDB15:0000003,Adam10 Epha3,Adam10,Epha3,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adam10%20Epha3-based-on-Pubmed-ID-16239146,%2019823572-in-rat","Adam10 (RH17532, ADAM 10, LOC501019, MADM, RGD1566370)","Epha3 (Epha3, UniSTS:498373, EK4, rEK4)",RGD:2032,RGD:68389,ENSRNOG00000054257,ENSRNOG00000030285,"ADAM10 (kuz, MADM, HsT18717, CD156C)","EPHA3 (ETK, ETK1, TYRO4, HEK, HEK4)",cell membrane,cell membrane
CDB15:0000004,Adam12 Itga9,Adam12,Itga9,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adam12%20Itga9-based-on-Pubmed-ID-10944520-in-rat,"Adam12 (AU049711, D1Got337, D1Rat365, LOC309072, LOC679837)","Itga9 (AU047111, AU048253, AU049476, BE102516, D2Mgh4, D8Got167, D8Got193, D8Got195, D9Ertd428e, RH132998, RH144307, Itga9l, LOC316055, LOC685004)",RGD:1583652,RGD:1311191,ENSRNOG00000018384,ENSRNOG00000043167,"ADAM12 (MCMPMltna, MLTN)","ITGA9 (RLC, ITGA4L, ALPHA-RLC)","secreted, cell membrane",cell membrane
CDB15:0000005,Adam12 Itgb1,Adam12,Itgb1,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adam12%20Itgb1-based-on-Pubmed-ID-10944520-in-rat,"Adam12 (AU049711, D1Got337, D1Rat365, LOC309072, LOC679837)","Itgb1 (AU048052, Itgb1, RH138141, UniSTS:256618, LOC102556297)",RGD:1583652,RGD:2927,ENSRNOG00000018384,ENSRNOG00000010966,"ADAM12 (MCMPMltna, MLTN)","ITGB1 (FNRB, MSK12, MDF2, CD29, GPIIA)","secreted, cell membrane",cell membrane
CDB15:0000006,Adam12 Sdc4,Adam12,Sdc4,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adam12%20Sdc4-based-on-Pubmed-ID-12509413-in-rat,"Adam12 (AU049711, D1Got337, D1Rat365, LOC309072, LOC679837)","Sdc4 (D3Arb12, D3Uwm8, D3Wox5, RH127752, SYND4)",RGD:1583652,RGD:3650,ENSRNOG00000018384,ENSRNOG00000014297,"ADAM12 (MCMPMltna, MLTN)","SDC4 (SYND4, amphiglycan, ryudocan)","secreted, cell membrane",cell membrane
CDB15:0000007,Adam15 Itga5,Adam15,Itga5,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adam15%20Itga5-based-on-Pubmed-ID-9914169-in-rat,"Adam15 (RH135252, RH139781, ADAM 15, CRII-7, MDC-15, MDC15, tMDC VI, tMDCVI)","Itga5 (Itga5_mapped, Itga5_retired)",RGD:620402,RGD:2925,ENSRNOG00000020590,ENSRNOG00000057451,ADAM15 (MDC15),"ITGA5 (FNRA, CD49e)",cell membrane,cell membrane
CDB15:0000008,Adam15 Itga9,Adam15,Itga9,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adam15%20Itga9-based-on-Pubmed-ID-10944520-in-rat,"Adam15 (RH135252, RH139781, ADAM 15, CRII-7, MDC-15, MDC15, tMDC VI, tMDCVI)","Itga9 (AU047111, AU048253, AU049476, BE102516, D2Mgh4, D8Got167, D8Got193, D8Got195, D9Ertd428e, RH132998, RH144307, Itga9l, LOC316055, LOC685004)",RGD:620402,RGD:1311191,ENSRNOG00000020590,ENSRNOG00000043167,ADAM15 (MDC15),"ITGA9 (RLC, ITGA4L, ALPHA-RLC)",cell membrane,cell membrane
CDB15:0000009,Adam15 Itgav,Adam15,Itgav,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adam15%20Itgav-based-on-Pubmed-ID-9516430,%209914169-in-rat","Adam15 (RH135252, RH139781, ADAM 15, CRII-7, MDC-15, MDC15, tMDC VI, tMDCVI)","Itgav (D3Got143, RH140315, Cd51)",RGD:620402,RGD:1310613,ENSRNOG00000020590,ENSRNOG00000004912,ADAM15 (MDC15),"ITGAV (VNRA, MSK8, VTNR, CD51)",cell membrane,cell membrane
CDB15:0000010,Adam15 Itgb1,Adam15,Itgb1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adam15%20Itgb1-based-on-Pubmed-ID-10944520,%209914169-in-rat","Adam15 (RH135252, RH139781, ADAM 15, CRII-7, MDC-15, MDC15, tMDC VI, tMDCVI)","Itgb1 (AU048052, Itgb1, RH138141, UniSTS:256618, LOC102556297)",RGD:620402,RGD:2927,ENSRNOG00000020590,ENSRNOG00000010966,ADAM15 (MDC15),"ITGB1 (FNRB, MSK12, MDF2, CD29, GPIIA)",cell membrane,cell membrane
