Interaction ID,LR Pair,Ligand_gene,Receptor_gene,Evidence,AI summary,Ligand_aliases,Receptor_aliases,Ligand ZFIN ID,Receptor ZFIN ID,Ligand ENSEMBL ID,Receptor ENSEMBL ID,Ligand Location,Receptor Location
CDB15:0000001,si:dkey-46g23.5 lrp1ab,si:dkey-46g23.5,lrp1ab,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-si:dkey-46g23.5%20lrp1ab-based-on-Pubmed-ID-10652313,%2012194978,%201702392-in-zebrafish","si:dkey-46g23.5 (alpha-2-macroglobulin 3, member e, fa56g11), si:dkey-46g23.5 (alpha-2-macroglobulin 3, member e, si:dkey-46g23.5), si:dkey-46g23.5 (alpha-2-macroglobulin 3, member e, wu:fa56g11)","lrp1ab (low density lipoprotein receptor-related protein 1Ab, fk86b07), lrp1ab (low density lipoprotein receptor-related protein 1Ab, lrp1), lrp1ab (low density lipoprotein receptor-related protein 1Ab, lrp1b), lrp1ab (low density lipoprotein receptor-related protein 1Ab, si:ch73-60e21.3), lrp1ab (low density lipoprotein receptor-related protein 1Ab, wu:fk86b07)",ZDB-GENE-030131-9306,ZDB-GENE-030131-7126,ENSDARG00000008835,ENSDARG00000029146,secreted,cell membrane
CDB15:0000002,ace bdkrb2,ace,bdkrb2,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ace%20bdkrb2-based-on-Pubmed-ID-10748135-in-zebrafish,"ace (angiotensin I converting enzyme (peptidyl-dipeptidase A) 1, fb81h03), ace (angiotensin I converting enzyme (peptidyl-dipeptidase A) 1, si:ch211-124e16.1), ace (angiotensin I converting enzyme (peptidyl-dipeptidase A) 1, wu:fb81h03)",bdkrb2,ZDB-GENE-030131-1826,ZDB-GENE-041210-292,ENSDARG00000079166,ENSDARG00000043664,"secreted, cell membrane",cell membrane
CDB15:0000003,adam10b epha3,adam10b,epha3,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adam10b%20epha3-based-on-Pubmed-ID-16239146,%2019823572-in-zebrafish","adam10b (ADAM metallopeptidase domain 10b, zgc:64203)","epha3 (eph receptor A3, epha3l), epha3 (eph receptor A3, si:ch211-176k6.1), epha3 (eph receptor A3, si:dkey-114e9.1)",ZDB-GENE-071115-1,ZDB-GENE-010724-10,ENSDARG00000015502,ENSDARG00000039373,cell membrane,cell membrane
CDB15:0000004,adam12b itga9,adam12b,itga9,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adam12b%20itga9-based-on-Pubmed-ID-10944520-in-zebrafish,"adam12b (ADAM metallopeptidase domain 12b, adam12), adam12b (ADAM metallopeptidase domain 12b, adam12a)","itga9 (integrin, alpha 9, zgc:63474)",ZDB-GENE-070809-1,ZDB-GENE-040426-1129,ENSDARG00000079068,ENSDARG00000032435,"secreted, cell membrane",cell membrane
CDB15:0000005,adam12b itgb1a,adam12b,itgb1a,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adam12b%20itgb1a-based-on-Pubmed-ID-10944520-in-zebrafish,"adam12b (ADAM metallopeptidase domain 12b, adam12), adam12b (ADAM metallopeptidase domain 12b, adam12a)","itgb1a (integrin, beta 1a, beta1-1)",ZDB-GENE-070809-1,ZDB-GENE-060803-2,ENSDARG00000079068,ENSDARG00000071863,"secreted, cell membrane",cell membrane
CDB15:0000006,adam12b sdc4,adam12b,sdc4,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adam12b%20sdc4-based-on-Pubmed-ID-12509413-in-zebrafish,"adam12b (ADAM metallopeptidase domain 12b, adam12), adam12b (ADAM metallopeptidase domain 12b, adam12a)","sdc4 (syndecan 4, sdc4l), sdc4 (syndecan 4, syn4), sdc4 (syndecan 4, wu:fc47g09)",ZDB-GENE-070809-1,ZDB-GENE-061111-1,ENSDARG00000079068,ENSDARG00000059906,"secreted, cell membrane",cell membrane
CDB15:0000007,adam15 itga5,adam15,itga5,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adam15%20itga5-based-on-Pubmed-ID-9914169-in-zebrafish,"adam15 (ADAM metallopeptidase domain 15, si:dkey-24i24.1)","itga5 (integrin, alpha 5 (fibronectin receptor, alpha polypeptide), before eight), itga5 (integrin, alpha 5 (fibronectin receptor, alpha polypeptide), bfe), itga5 (integrin, alpha 5 (fibronectin receptor, alpha polypeptide), sb:cb665), itga5 (integrin, alpha 5 (fibronectin receptor, alpha polypeptide), wu:fe02h07)",ZDB-GENE-070809-4,ZDB-GENE-031116-52,ENSDARG00000089213,ENSDARG00000006353,cell membrane,cell membrane
CDB15:0000008,adam15 itga9,adam15,itga9,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adam15%20itga9-based-on-Pubmed-ID-10944520-in-zebrafish,"adam15 (ADAM metallopeptidase domain 15, si:dkey-24i24.1)","itga9 (integrin, alpha 9, zgc:63474)",ZDB-GENE-070809-4,ZDB-GENE-040426-1129,ENSDARG00000089213,ENSDARG00000032435,cell membrane,cell membrane
CDB15:0000009,adam15 itgav,adam15,itgav,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adam15%20itgav-based-on-Pubmed-ID-9516430,%209914169-in-zebrafish","adam15 (ADAM metallopeptidase domain 15, si:dkey-24i24.1)","itgav (integrin, alpha V, zgc:136222)",ZDB-GENE-070809-4,ZDB-GENE-060616-382,ENSDARG00000089213,ENSDARG00000006314,cell membrane,cell membrane
CDB15:0000010,adam15 itgb1a,adam15,itgb1a,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adam15%20itgb1a-based-on-Pubmed-ID-10944520,%209914169-in-zebrafish","adam15 (ADAM metallopeptidase domain 15, si:dkey-24i24.1)","itgb1a (integrin, beta 1a, beta1-1)",ZDB-GENE-070809-4,ZDB-GENE-060803-2,ENSDARG00000089213,ENSDARG00000071863,cell membrane,cell membrane
