Interaction ID,LR Pair,Ligand_gene,Receptor_gene,Evidence,AI summary,Ligand_aliases,Receptor_aliases,Ligand XX ID,Receptor XX ID,Ligand ENSEMBL ID,Receptor ENSEMBL ID,Human Ligand Symbols,Human Receptor Symbols,Ligand Location,Receptor Location
CDB15:0000001,A2M LRP1,A2M,LRP1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-A2M%20LRP1-based-on-Pubmed-ID-10652313,%2012194978,%201702392-in-horse",A2M,LRP1,-,-,ENSECAG00000012558,ENSECAG00000012166,"A2M (FWP007, S863-7, CPAMD5)","LRP1 (APR, A2MR, LRP, CD91, LRP1A, APOER, IGFBP3R1, IGFBP-3R)",secreted,cell membrane
CDB15:0000002,ACE BDKRB2,ACE,BDKRB2,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ACE%20BDKRB2-based-on-Pubmed-ID-10748135-in-horse,ACE,BDKRB2,-,-,ENSECAG00000012910,,"ACE (DCP1, ACE1, CD143)",BDKRB2 (BK-2),"secreted, cell membrane",cell membrane
CDB15:0000003,ADAM10 EPHA3,ADAM10,EPHA3,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ADAM10%20EPHA3-based-on-Pubmed-ID-16239146,%2019823572-in-horse",ADAM10,EPHA3,-,-,ENSECAG00000007963,ENSECAG00000023211,"ADAM10 (kuz, MADM, HsT18717, CD156C)","EPHA3 (ETK, ETK1, TYRO4, HEK, HEK4)",cell membrane,cell membrane
CDB15:0000004,ADAM12 ITGA9,ADAM12,ITGA9,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ADAM12%20ITGA9-based-on-Pubmed-ID-10944520-in-horse,ADAM12,ITGA9,-,-,ENSECAG00000012744,ENSECAG00000007848,"ADAM12 (MCMPMltna, MLTN)","ITGA9 (RLC, ITGA4L, ALPHA-RLC)","secreted, cell membrane",cell membrane
CDB15:0000005,ADAM12 ITGB1,ADAM12,ITGB1,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ADAM12%20ITGB1-based-on-Pubmed-ID-10944520-in-horse,ADAM12,ITGB1,-,-,ENSECAG00000012744,ENSECAG00000022498,"ADAM12 (MCMPMltna, MLTN)","ITGB1 (FNRB, MSK12, MDF2, CD29, GPIIA)","secreted, cell membrane",cell membrane
CDB15:0000006,ADAM12 SDC4,ADAM12,SDC4,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ADAM12%20SDC4-based-on-Pubmed-ID-12509413-in-horse,ADAM12,SDC4,-,-,ENSECAG00000012744,ENSECAG00000036088,"ADAM12 (MCMPMltna, MLTN)","SDC4 (SYND4, amphiglycan, ryudocan)","secreted, cell membrane",cell membrane
CDB15:0000007,ADAM15 ITGA5,ADAM15,ITGA5,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ADAM15%20ITGA5-based-on-Pubmed-ID-9914169-in-horse,ADAM15,ITGA5,-,-,ENSECAG00000008411,ENSECAG00000024979,ADAM15 (MDC15),"ITGA5 (FNRA, CD49e)",cell membrane,cell membrane
CDB15:0000008,ADAM15 ITGA9,ADAM15,ITGA9,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ADAM15%20ITGA9-based-on-Pubmed-ID-10944520-in-horse,ADAM15,ITGA9,-,-,ENSECAG00000008411,ENSECAG00000007848,ADAM15 (MDC15),"ITGA9 (RLC, ITGA4L, ALPHA-RLC)",cell membrane,cell membrane
CDB15:0000009,ADAM15 ITGAV,ADAM15,ITGAV,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ADAM15%20ITGAV-based-on-Pubmed-ID-9516430,%209914169-in-horse",ADAM15,ITGAV,-,-,ENSECAG00000008411,ENSECAG00000021377,ADAM15 (MDC15),"ITGAV (VNRA, MSK8, VTNR, CD51)",cell membrane,cell membrane
CDB15:0000010,ADAM15 ITGB1,ADAM15,ITGB1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ADAM15%20ITGB1-based-on-Pubmed-ID-10944520,%209914169-in-horse",ADAM15,ITGB1,-,-,ENSECAG00000008411,ENSECAG00000022498,ADAM15 (MDC15),"ITGB1 (FNRB, MSK12, MDF2, CD29, GPIIA)",cell membrane,cell membrane
CDB15:0000011,ADAM15 ITGB3,ADAM15,ITGB3,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ADAM15%20ITGB3-based-on-Pubmed-ID-9516430,%209914169-in-horse",ADAM15,ITGB3,-,-,ENSECAG00000008411,ENSECAG00000017625,ADAM15 (MDC15),"ITGB3 (GP3A, CD61, GPIIIa)",cell membrane,cell membrane
CDB15:0000012,ADAM17 ITGA5,ADAM17,ITGA5,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ADAM17%20ITGA5-based-on-Pubmed-ID-14970227-in-horse,ADAM17,ITGA5,-,-,ENSECAG00000005760,ENSECAG00000024979,"ADAM17 (TACE, cSVP, CD156B)","ITGA5 (FNRA, CD49e)",cell membrane,cell membrane
CDB15:0000013,ADAM17 ITGB1,ADAM17,ITGB1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ADAM17%20ITGB1-based-on-Pubmed-ID-14970227,%2023888051-in-horse",ADAM17,ITGB1,-,-,ENSECAG00000005760,ENSECAG00000022498,"ADAM17 (TACE, cSVP, CD156B)","ITGB1 (FNRB, MSK12, MDF2, CD29, GPIIA)",cell membrane,cell membrane
CDB15:0000014,ADAM23 ITGB3,ADAM23,ITGB3,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ADAM23%20ITGB3-based-on-Pubmed-ID-10749942,%2019549921-in-horse",ADAM23,ITGB3,-,-,ENSECAG00000018514,ENSECAG00000017625,ADAM23 (MDC3),"ITGB3 (GP3A, CD61, GPIIIa)","secreted, cell membrane",cell membrane
CDB15:0000015,ADAM28 ITGA4,ADAM28,ITGA4,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ADAM28%20ITGA4-based-on-Pubmed-ID-11724793-in-horse,ADAM28,ITGA4,-,-,ENSECAG00000014577,ENSECAG00000010500,"ADAM28 (eMDCII, MDC-Lm, MDC-Ls, ADAM23)","ITGA4 (CD49D, CD49d)","secreted, cell membrane",cell membrane
