Species	Ensembl ID	Coverage	Identity	Ortholog ID	Coverage	Identity	Ortholog Species
Rattus_norvegicus	ENSRNOG00000000008	99.7494	92.4812	ENSG00000052850	96.837	89.781	Homo sapiens
Rattus_norvegicus	ENSRNOG00000000012	100	95.3846	ENSG00000125878	97.99	93.4673	Homo sapiens
Rattus_norvegicus	ENSRNOG00000000062	91.635	89.7338	ENSG00000185619	99.5868	97.5207	Homo sapiens
Rattus_norvegicus	ENSRNOG00000000070	100	99.4253	ENSG00000117505	98.8636	98.2955	Homo sapiens
Rattus_norvegicus	ENSRNOG00000000075	98.1788	94.8675	ENSG00000143033	100	96.6273	Homo sapiens
Rattus_norvegicus	ENSRNOG00000000082	98.5265	82.22	ENSG00000071794	99.4053	82.9534	Homo sapiens
Rattus_norvegicus	ENSRNOG00000000111	100	74.5665	ENSG00000172301	94.0217	70.1087	Homo sapiens
Rattus_norvegicus	ENSRNOG00000000138	99.4956	83.9849	ENSG00000174332	99.2453	83.7736	Homo sapiens
Rattus_norvegicus	ENSRNOG00000000150	96.4602	83.3628	ENSG00000136770	98.3755	85.0181	Homo sapiens
Rattus_norvegicus	ENSRNOG00000000175	94.5591	76.3602	ENSG00000105556	92.4771	74.6789	Homo sapiens
Rattus_norvegicus	ENSRNOG00000000248	100	100	ENSG00000161547	100	100	Homo sapiens
Rattus_norvegicus	ENSRNOG00000000250	99.7487	90.201	ENSG00000070495	98.5112	89.0819	Homo sapiens
Rattus_norvegicus	ENSRNOG00000000258	98.2955	82.6705	ENSG00000132600	100	84.104	Homo sapiens
Rattus_norvegicus	ENSRNOG00000000282	92.9907	69.6262	ENSG00000063515	97.0732	72.6829	Homo sapiens
Rattus_norvegicus	ENSRNOG00000000299	100	94.6429	ENSG00000118689	99.8514	94.5022	Homo sapiens
Rattus_norvegicus	ENSRNOG00000000308	97.6056	81.2676	ENSG00000112365	99.4261	82.7834	Homo sapiens
Rattus_norvegicus	ENSRNOG00000000323	96.0327	84.1307	ENSG00000057657	99.7576	87.3939	Homo sapiens
Rattus_norvegicus	ENSRNOG00000000384	98.6577	81.8792	ENSG00000179774	96.7105	80.2632	Homo sapiens
Rattus_norvegicus	ENSRNOG00000000397	99.1357	94.2956	ENSG00000060339	99.7391	94.8696	Homo sapiens
Rattus_norvegicus	ENSRNOG00000000405	97.2136	83.9009	ENSG00000170162	99.0536	85.489	Homo sapiens
Rattus_norvegicus	ENSRNOG00000000420	95.3488	88.6305	ENSG00000204356	97.1053	90.2632	Homo sapiens
Rattus_norvegicus	ENSRNOG00000000431	93.3244	81.4419	ENSG00000213676	99.431	86.771	Homo sapiens
Rattus_norvegicus	ENSRNOG00000000440	100	98.1395	ENSG00000204304	100	98.1395	Homo sapiens
Rattus_norvegicus	ENSRNOG00000000442	100	80.7751	ENSG00000204301	97.9031	79.0814	Homo sapiens
Rattus_norvegicus	ENSRNOG00000000461	99.8747	96.8672	ENSG00000204256	99.5006	96.5044	Homo sapiens
Rattus_norvegicus	ENSRNOG00000000464	75.1814	73.2946	ENSG00000204231	97.1857	94.7467	Homo sapiens
Rattus_norvegicus	ENSRNOG00000000467	98.2885	91.198	ENSG00000204227	99.0148	91.8719	Homo sapiens
Rattus_norvegicus	ENSRNOG00000000476	99.0566	85.8491	ENSG00000236104	99.3691	86.1199	Homo sapiens
Rattus_norvegicus	ENSRNOG00000000477	98.2385	72.2222	ENSG00000204209	97.973	72.027	Homo sapiens
Rattus_norvegicus	ENSRNOG00000000480	93.3333	87.8333	ENSG00000112511	98.7654	92.9453	Homo sapiens
Rattus_norvegicus	ENSRNOG00000000488	49.7175	35.5932	ENSG00000137309	82.243	58.8785	Homo sapiens
Rattus_norvegicus	ENSRNOG00000000491	100	89.2308	ENSG00000124664	97.0149	86.5672	Homo sapiens
Rattus_norvegicus	ENSRNOG00000000501	98.3516	84.9817	ENSG00000065029	94.2105	81.4035	Homo sapiens
Rattus_norvegicus	ENSRNOG00000000503	100	91.5909	ENSG00000112033	99.7732	91.3832	Homo sapiens
Rattus_norvegicus	ENSRNOG00000000506	93.7365	90.2808	ENSG00000007866	99.7701	96.092	Homo sapiens
Rattus_norvegicus	ENSRNOG00000000507	97.2426	79.0441	ENSG00000112041	97.6015	79.3358	Homo sapiens
Rattus_norvegicus	ENSRNOG00000000524	89.2031	75.3213	ENSG00000198663	100	84.438	Homo sapiens
Rattus_norvegicus	ENSRNOG00000000529	100	97.1246	ENSG00000137193	100	97.1246	Homo sapiens
Rattus_norvegicus	ENSRNOG00000000543	99.6024	88.2704	ENSG00000111816	99.2079	87.9208	Homo sapiens
Rattus_norvegicus	ENSRNOG00000000604	100	98.9754	ENSG00000196591	100	98.9754	Homo sapiens
