Interaction ID,LR Pair,Ligand_gene,Receptor_gene,Evidence,AI summary,Ligand_aliases,Receptor_aliases,Ligand XEN ID,Receptor XEN ID,Ligand ENSEMBL ID,Receptor ENSEMBL ID,Human Ligand Symbols,Human Receptor Symbols,Ligand Location,Receptor Location
CDB15:0000001,a2m lrp1,a2m,lrp1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-a2m%20lrp1-based-on-Pubmed-ID-10652313,%2012194978,%201702392-in-frog","a2m (endod, Alpha2-macroglobulin, endodermin, edd, LOC108695707, ovomacroglobulin, A2Moo)","lrp1 (cd91, lrp, apr, a2mr, apoer, tgfbr5, igfbp3r)",XB-GENE-481725,XB-GENE-479843,ENSXETG00000024219,ENSXETG00000010934,"A2M (FWP007, S863-7, CPAMD5)","LRP1 (APR, A2MR, LRP, CD91, LRP1A, APOER, IGFBP3R1, IGFBP-3R)",secreted,cell membrane
CDB15:0000002,ace bdkrb2,ace,bdkrb2,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ace%20bdkrb2-based-on-Pubmed-ID-10748135-in-frog,"ace (xace, LOC108701765)","bdkrb2 (bradykinin, bk2, bk2r, bkr2)",XB-GENE-479789,XB-GENE-987923,ENSXETG00000005315,ENSXETG00000013954,"ACE (DCP1, ACE1, CD143)",BDKRB2 (BK-2),"secreted, cell membrane",cell membrane
CDB15:0000003,adam10 epha3,adam10,epha3,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adam10%20epha3-based-on-Pubmed-ID-16239146,%2019823572-in-frog","adam10 (xadam10, kuz, ad10, madm, cd156c, kuzbanian, LOC108711361)","epha3 (LOC108707897, LOC108709206)",XB-GENE-945388,XB-GENE-6035245,ENSXETG00000010850,ENSXETG00000020173,"ADAM10 (kuz, MADM, HsT18717, CD156C)","EPHA3 (ETK, ETK1, TYRO4, HEK, HEK4)",cell membrane,cell membrane
CDB15:0000004,adam12 itga9,adam12,itga9,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adam12%20itga9-based-on-Pubmed-ID-10944520-in-frog,"adam12 (mltn, mltna, MCMPMltna)",itga9,XB-GENE-982139,XB-GENE-994231,ENSXETG00000022538,ENSXETG00000023422,"ADAM12 (MCMPMltna, MLTN)","ITGA9 (RLC, ITGA4L, ALPHA-RLC)","secreted, cell membrane",cell membrane
CDB15:0000005,adam12 itgb1,adam12,itgb1,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adam12%20itgb1-based-on-Pubmed-ID-10944520-in-frog,"adam12 (mltn, mltna, MCMPMltna)","itgb1 (cd29, fnrb, mdf2, vlab, gpiia, msk12, vla-beta, Beta 1 integrin, itgb1-a, itgb1-b)",XB-GENE-982139,XB-GENE-946725,ENSXETG00000022538,ENSXETG00000026716,"ADAM12 (MCMPMltna, MLTN)","ITGB1 (FNRB, MSK12, MDF2, CD29, GPIIA)","secreted, cell membrane",cell membrane
CDB15:0000006,adam12 sdc4,adam12,sdc4,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adam12%20sdc4-based-on-Pubmed-ID-12509413-in-frog,"adam12 (mltn, mltna, MCMPMltna)","sdc4 (amphiglycan, ryudocan, syndecan-4, syn4, syn-4, Syndecan4, sdc4-b, sdc4-a)",XB-GENE-982139,XB-GENE-5727116,ENSXETG00000022538,ENSXETG00000022838,"ADAM12 (MCMPMltna, MLTN)","SDC4 (SYND4, amphiglycan, ryudocan)","secreted, cell membrane",cell membrane
CDB15:0000007,adam15 itga5,adam15,itga5,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adam15%20itga5-based-on-Pubmed-ID-9914169-in-frog,adam15 (mdc15),"itga5 (VLA-5, Integrin alpha5)",XB-GENE-5944438,XB-GENE-493953,ENSXETG00000045265,ENSXETG00000021265,ADAM15 (MDC15),"ITGA5 (FNRA, CD49e)",cell membrane,cell membrane
CDB15:0000008,adam15 itga9,adam15,itga9,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adam15%20itga9-based-on-Pubmed-ID-10944520-in-frog,adam15 (mdc15),itga9,XB-GENE-5944438,XB-GENE-994231,ENSXETG00000045265,ENSXETG00000023422,ADAM15 (MDC15),"ITGA9 (RLC, ITGA4L, ALPHA-RLC)",cell membrane,cell membrane
CDB15:0000009,adam15 itgav,adam15,itgav,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adam15%20itgav-based-on-Pubmed-ID-9516430,%209914169-in-frog",adam15 (mdc15),"itgav (itgav-b, itgav-a)",XB-GENE-5944438,XB-GENE-488969,ENSXETG00000045265,ENSXETG00000013317,ADAM15 (MDC15),"ITGAV (VNRA, MSK8, VTNR, CD51)",cell membrane,cell membrane
CDB15:0000010,adam15 itgb1,adam15,itgb1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adam15%20itgb1-based-on-Pubmed-ID-10944520,%209914169-in-frog",adam15 (mdc15),"itgb1 (cd29, fnrb, mdf2, vlab, gpiia, msk12, vla-beta, Beta 1 integrin, itgb1-a, itgb1-b)",XB-GENE-5944438,XB-GENE-946725,ENSXETG00000045265,ENSXETG00000026716,ADAM15 (MDC15),"ITGB1 (FNRB, MSK12, MDF2, CD29, GPIIA)",cell membrane,cell membrane
