Species	Ensembl ID	Coverage	Identity	Ortholog ID	Coverage	Identity	Ortholog Species
Danio_rerio	ENSDARG00000000018	99.0079	91.2698	ENSG00000106459	99.2048	91.4513	Homo sapiens
Danio_rerio	ENSDARG00000000151	93.911	77.2834	ENSG00000126351	97.8049	80.4878	Homo sapiens
Danio_rerio	ENSDARG00000000175	83.3741	51.5892	ENSG00000173917	95.7865	59.2697	Homo sapiens
Danio_rerio	ENSDARG00000000476	95.7589	46.7634	ENSG00000064933	92.0601	44.9571	Homo sapiens
Danio_rerio	ENSDARG00000000516	98	48	ENSG00000151687	95.6764	46.8619	Homo sapiens
Danio_rerio	ENSDARG00000000567	87.5147	42.5206	ENSG00000162702	83.0168	40.3352	Homo sapiens
Danio_rerio	ENSDARG00000000568	87.8788	55.303	ENSG00000105656	93.3977	58.7762	Homo sapiens
Danio_rerio	ENSDARG00000000729	82.2626	34.0782	ENSG00000204209	79.5946	32.973	Homo sapiens
Danio_rerio	ENSDARG00000000760	85.1986	41.1552	ENSG00000198546	93.6508	45.2381	Homo sapiens
Danio_rerio	ENSDARG00000000767	86.8243	52.3649	ENSG00000066336	95.1852	57.4074	Homo sapiens
Danio_rerio	ENSDARG00000000796	93.0314	57.6655	ENSG00000123358	89.2977	55.3512	Homo sapiens
Danio_rerio	ENSDARG00000000966	91.4039	55.0324	ENSG00000196498	84.1687	50.6762	Homo sapiens
Danio_rerio	ENSDARG00000001015	74.7856	48.7136	ENSG00000126746	71.7105	46.7105	Homo sapiens
Danio_rerio	ENSDARG00000001249	87.1186	69.1525	ENSG00000115289	99.2278	78.7645	Homo sapiens
Danio_rerio	ENSDARG00000001447	93.3198	60.7287	ENSG00000198160	81.5929	53.0973	Homo sapiens
Danio_rerio	ENSDARG00000001549	96.0236	60.3829	ENSG00000172845	83.4827	52.4968	Homo sapiens
Danio_rerio	ENSDARG00000001621	91.369	74.4048	ENSG00000001167	88.4726	72.0461	Homo sapiens
Danio_rerio	ENSDARG00000001754	96.5426	55.8511	ENSG00000188976	96.9292	56.0748	Homo sapiens
Danio_rerio	ENSDARG00000001785	98.6111	71.2963	ENSG00000170561	90.4459	65.3928	Homo sapiens
Danio_rerio	ENSDARG00000001857	95.7525	61.6805	ENSG00000072364	89.1659	57.4377	Homo sapiens
Danio_rerio	ENSDARG00000001859	97.5155	65.2174	ENSG00000109851	91.5452	61.2245	Homo sapiens
Danio_rerio	ENSDARG00000001929	96.6899	53.6585	ENSG00000158828	95.525	53.012	Homo sapiens
Danio_rerio	ENSDARG00000001940	94.4867	60.2662	ENSG00000136770	89.7112	57.2202	Homo sapiens
Danio_rerio	ENSDARG00000001969	91.002	61.3497	ENSG00000086712	84.2803	56.8182	Homo sapiens
Danio_rerio	ENSDARG00000002002	97.6608	54.6784	ENSG00000071282	91.5069	51.2329	Homo sapiens
Danio_rerio	ENSDARG00000002006	95.7346	70.3792	ENSG00000204231	75.7974	55.7223	Homo sapiens
Danio_rerio	ENSDARG00000002031	75.7664	41.1679	ENSG00000092203	83.5749	45.4106	Homo sapiens
Danio_rerio	ENSDARG00000002060	91.7258	34.0426	ENSG00000104221	92.6014	34.3675	Homo sapiens
Danio_rerio	ENSDARG00000002077	99.3528	74.7573	ENSG00000020426	99.3528	74.7573	Homo sapiens
Danio_rerio	ENSDARG00000002196	86.076	32.2785	ENSG00000156273	73.913	27.7174	Homo sapiens
