Species	Ensembl ID	Coverage	Identity	Ortholog ID	Coverage	Identity	Ortholog Species
Macaca_mulatta	ENSMMUG00000000033	100	99.4094	ENSG00000112658	100	99.4094	Homo sapiens
Macaca_mulatta	ENSMMUG00000000067	85.3053	70.8015	ENSG00000151090	96.9631	80.4772	Homo sapiens
Macaca_mulatta	ENSMMUG00000000092	76.1616	52.9293	ENSG00000198715	92.8571	64.532	Homo sapiens
Macaca_mulatta	ENSMMUG00000000107	100	98.0494	ENSG00000196967	100	98.0494	Homo sapiens
Macaca_mulatta	ENSMMUG00000000110	100	99.0354	ENSG00000162227	100	99.0354	Homo sapiens
Macaca_mulatta	ENSMMUG00000000117	100	98.2143	ENSG00000101336	95.8175	94.1065	Homo sapiens
Macaca_mulatta	ENSMMUG00000000118	100	99.5968	ENSG00000126003	100	99.5968	Homo sapiens
Macaca_mulatta	ENSMMUG00000000152	97.0986	96.9052	ENSG00000135457	100	99.8008	Homo sapiens
Macaca_mulatta	ENSMMUG00000000156	100	100	ENSG00000167085	100	100	Homo sapiens
Macaca_mulatta	ENSMMUG00000000157	100	100	ENSG00000064195	100	100	Homo sapiens
Macaca_mulatta	ENSMMUG00000000171	100	97.451	ENSG00000197114	99.8043	97.2603	Homo sapiens
Macaca_mulatta	ENSMMUG00000000190	100	99.6689	ENSG00000118263	100	99.6689	Homo sapiens
Macaca_mulatta	ENSMMUG00000000208	88.8571	70.4286	ENSG00000157168	97.6452	77.394	Homo sapiens
Macaca_mulatta	ENSMMUG00000000286	100	97.8827	ENSG00000256463	94.4615	92.4615	Homo sapiens
Macaca_mulatta	ENSMMUG00000000302	100	98.2254	ENSG00000198554	99.8229	98.0514	Homo sapiens
Macaca_mulatta	ENSMMUG00000000335	99.1936	86.4919	ENSG00000132256	99.7972	87.0183	Homo sapiens
Macaca_mulatta	ENSMMUG00000000338	100	91.5663	ENSG00000132274	100	91.5663	Homo sapiens
Macaca_mulatta	ENSMMUG00000000340	100	100	ENSG00000113658	100	100	Homo sapiens
Macaca_mulatta	ENSMMUG00000000362	94.3431	90.6934	ENSG00000018869	100	96.1315	Homo sapiens
Macaca_mulatta	ENSMMUG00000000381	100	99.8099	ENSG00000030419	100	99.8099	Homo sapiens
Macaca_mulatta	ENSMMUG00000000421	100	98.713	ENSG00000113580	100	98.713	Homo sapiens
Macaca_mulatta	ENSMMUG00000000424	98.3402	96.9295	ENSG00000150347	99.7475	98.3165	Homo sapiens
Macaca_mulatta	ENSMMUG00000000427	100	100	ENSG00000106245	100	100	Homo sapiens
Macaca_mulatta	ENSMMUG00000000454	99.697	98.7879	ENSG00000107438	100	99.0881	Homo sapiens
Macaca_mulatta	ENSMMUG00000000455	100	99.4889	ENSG00000120733	100	99.4889	Homo sapiens
Macaca_mulatta	ENSMMUG00000000458	86.1607	79.9107	ENSG00000157110	98.4694	91.3265	Homo sapiens
Macaca_mulatta	ENSMMUG00000000466	100	98.1693	ENSG00000155966	100	98.1693	Homo sapiens
Macaca_mulatta	ENSMMUG00000000495	100	100	ENSG00000171448	97.2789	97.2789	Homo sapiens
Macaca_mulatta	ENSMMUG00000000496	100	99.0566	ENSG00000186130	100	99.0566	Homo sapiens
Macaca_mulatta	ENSMMUG00000000504	95.5801	95.5801	ENSG00000185811	100	100	Homo sapiens
Macaca_mulatta	ENSMMUG00000000519	99.3884	97.2477	ENSG00000206538	99.6933	97.546	Homo sapiens
Macaca_mulatta	ENSMMUG00000000520	100	97.8947	ENSG00000105261	100	97.8947	Homo sapiens
Macaca_mulatta	ENSMMUG00000000541	100	98.855	ENSG00000143437	99.6198	98.4791	Homo sapiens
Macaca_mulatta	ENSMMUG00000000547	99.7613	97.136	ENSG00000186017	100	97.3684	Homo sapiens
Macaca_mulatta	ENSMMUG00000000553	100	98.402	ENSG00000100425	100	98.402	Homo sapiens
Macaca_mulatta	ENSMMUG00000000605	99.4233	97.3472	ENSG00000103126	100	97.9118	Homo sapiens
Macaca_mulatta	ENSMMUG00000000615	94.1075	91.4211	ENSG00000103326	100	97.1455	Homo sapiens
Macaca_mulatta	ENSMMUG00000000634	100	97.8805	ENSG00000171163	100	97.8805	Homo sapiens
Macaca_mulatta	ENSMMUG00000000643	93.6982	86.0696	ENSG00000198160	100	91.8584	Homo sapiens
Macaca_mulatta	ENSMMUG00000000687	64.5833	54.7348	ENSG00000010030	100	84.7507	Homo sapiens
Macaca_mulatta	ENSMMUG00000000713	84.3658	82.3009	ENSG00000168517	100	97.5524	Homo sapiens
Macaca_mulatta	ENSMMUG00000000735	98.8166	93.787	ENSG00000204356	87.8947	83.4211	Homo sapiens
Macaca_mulatta	ENSMMUG00000000752	99.8565	92.8264	ENSG00000063438	99.8565	92.8264	Homo sapiens
Macaca_mulatta	ENSMMUG00000000767	100	98.7539	ENSG00000197024	100	98.7539	Homo sapiens
Macaca_mulatta	ENSMMUG00000000775	99.8586	94.9081	ENSG00000131849	100	95.0425	Homo sapiens
Macaca_mulatta	ENSMMUG00000000795	100	97.8339	ENSG00000151917	99.2832	97.1326	Homo sapiens
Macaca_mulatta	ENSMMUG00000000802	98.5526	98.4211	ENSG00000080298	100	99.8665	Homo sapiens
Macaca_mulatta	ENSMMUG00000000803	100	97.0623	ENSG00000170581	100	97.0623	Homo sapiens
Macaca_mulatta	ENSMMUG00000000812	100	96.8421	ENSG00000121931	98.8297	95.7087	Homo sapiens
Macaca_mulatta	ENSMMUG00000000829	100	99.7148	ENSG00000153147	100	99.7148	Homo sapiens
Macaca_mulatta	ENSMMUG00000000857	100	98.7539	ENSG00000196975	100	98.7539	Homo sapiens
Macaca_mulatta	ENSMMUG00000000893	100	99.2129	ENSG00000100393	100	99.2129	Homo sapiens
Macaca_mulatta	ENSMMUG00000000896	95.0515	93.6082	ENSG00000140682	100	98.4816	Homo sapiens
Macaca_mulatta	ENSMMUG00000000924	100	98.0263	ENSG00000123388	100	98.0263	Homo sapiens
Macaca_mulatta	ENSMMUG00000000925	100	98.2456	ENSG00000180818	100	98.2456	Homo sapiens
Macaca_mulatta	ENSMMUG00000000935	100	93.6019	ENSG00000148300	100	93.6019	Homo sapiens
