Interaction ID,LR Pair,Ligand_gene,Receptor_gene,Evidence,AI summary,Ligand_aliases,Receptor_aliases,Ligand XX ID,Receptor XX ID,Ligand ENSEMBL ID,Receptor ENSEMBL ID,Human Ligand Symbols,Human Receptor Symbols,Ligand Location,Receptor Location
CDB15:0000001,A2M LRP1,A2M,LRP1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-A2M%20LRP1-based-on-Pubmed-ID-10652313,%2012194978,%201702392-in-dog",A2M,LRP1,-,-,ENSCAFG00845028486,ENSCAFG00845010106,"A2M (FWP007, S863-7, CPAMD5)","LRP1 (APR, A2MR, LRP, CD91, LRP1A, APOER, IGFBP3R1, IGFBP-3R)",secreted,cell membrane
CDB15:0000002,ACE BDKRB2,ACE,BDKRB2,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ACE%20BDKRB2-based-on-Pubmed-ID-10748135-in-dog,ACE,BDKRB2,-,-,ENSCAFG00845018336,ENSCAFG00845003553,"ACE (DCP1, ACE1, CD143)",BDKRB2 (BK-2),"secreted, cell membrane",cell membrane
CDB15:0000003,ADAM10 EPHA3,ADAM10,EPHA3,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ADAM10%20EPHA3-based-on-Pubmed-ID-16239146,%2019823572-in-dog",ADAM10,EPHA3,-,-,ENSCAFG00845015520,ENSCAFG00845030500,"ADAM10 (kuz, MADM, HsT18717, CD156C)","EPHA3 (ETK, ETK1, TYRO4, HEK, HEK4)",cell membrane,cell membrane
CDB15:0000004,ADAM12 ITGA9,ADAM12,ITGA9,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ADAM12%20ITGA9-based-on-Pubmed-ID-10944520-in-dog,ADAM12,ITGA9,-,-,ENSCAFG00845027056,ENSCAFG00845028890,"ADAM12 (MCMPMltna, MLTN)","ITGA9 (RLC, ITGA4L, ALPHA-RLC)","secreted, cell membrane",cell membrane
CDB15:0000005,ADAM12 ITGB1,ADAM12,ITGB1,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ADAM12%20ITGB1-based-on-Pubmed-ID-10944520-in-dog,ADAM12,ITGB1,-,-,ENSCAFG00845027056,ENSCAFG00845002947,"ADAM12 (MCMPMltna, MLTN)","ITGB1 (FNRB, MSK12, MDF2, CD29, GPIIA)","secreted, cell membrane",cell membrane
CDB15:0000006,ADAM12 SDC4,ADAM12,SDC4,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ADAM12%20SDC4-based-on-Pubmed-ID-12509413-in-dog,ADAM12,SDC4,-,-,ENSCAFG00845027056,ENSCAFG00845014521,"ADAM12 (MCMPMltna, MLTN)","SDC4 (SYND4, amphiglycan, ryudocan)","secreted, cell membrane",cell membrane
CDB15:0000007,ADAM15 ITGA5,ADAM15,ITGA5,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ADAM15%20ITGA5-based-on-Pubmed-ID-9914169-in-dog,ADAM15,ITGA5,-,-,ENSCAFG00845013659,ENSCAFG00845016791,ADAM15 (MDC15),"ITGA5 (FNRA, CD49e)",cell membrane,cell membrane
CDB15:0000008,ADAM15 ITGA9,ADAM15,ITGA9,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ADAM15%20ITGA9-based-on-Pubmed-ID-10944520-in-dog,ADAM15,ITGA9,-,-,ENSCAFG00845013659,ENSCAFG00845028890,ADAM15 (MDC15),"ITGA9 (RLC, ITGA4L, ALPHA-RLC)",cell membrane,cell membrane
CDB15:0000009,ADAM15 ITGAV,ADAM15,ITGAV,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ADAM15%20ITGAV-based-on-Pubmed-ID-9516430,%209914169-in-dog",ADAM15,ITGAV,-,-,ENSCAFG00845013659,ENSCAFG00845017805,ADAM15 (MDC15),"ITGAV (VNRA, MSK8, VTNR, CD51)",cell membrane,cell membrane
CDB15:0000010,ADAM15 ITGB1,ADAM15,ITGB1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ADAM15%20ITGB1-based-on-Pubmed-ID-10944520,%209914169-in-dog",ADAM15,ITGB1,-,-,ENSCAFG00845013659,ENSCAFG00845002947,ADAM15 (MDC15),"ITGB1 (FNRB, MSK12, MDF2, CD29, GPIIA)",cell membrane,cell membrane
